AUTHOR IDENTIFIERS: (0000-0001-8399-7771)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"High-efficiency solution processable polymer photovoltaic cells by self-organization of polymer blends","Li, G; Shrotriya, V; Huang, JS; Yao, Y; Moriarty, T; Emery, K; Yang, Y","","","","NATURE MATERIALS","NOV 2005","2005","4","11","","","","864","868","","10.1038/nmat1500","","","4718","314.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","181","288","354","460","532","527","490","493","396","293","256","239","117","0"
"Interface engineering of highly efficient perovskite solar cells","Zhou, Huanping; Chen, Qi; Li, Gang; Luo, Song; Song, Tze-bing; Duan, Hsin-Sheng; Hong, Ziruo; You, Jingbi; Liu, Yongsheng; Yang, Yang","","","","SCIENCE","AUG 1 2014","2014","345","6196","","","","542","546","","10.1126/science.1254050","","","3778","629.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","735","939","847","791","417","0"
"For the Bright Future-Bulk Heterojunction Polymer Solar Cells with Power Conversion Efficiency of 7.4%","Liang, Yongye; Xu, Zheng; Xia, Jiangbin; Tsai, Szu-Ting; Wu, Yue; Li, Gang; Ray, Claire; Yu, Luping","","","","ADVANCED MATERIALS","MAY 25 2010","2010","22","20","","","","E135","+","","10.1002/adma.200903528","","","3080","308.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","394","464","431","444","397","308","271","158","97","0"
"Polymer solar cells","Li, Gang; Zhu, Rui; Yang, Yang","","","","NATURE PHOTONICS","MAR 2012","2012","6","3","","","","153","161","","10.1038/NPHOTON.2012.11","","","2789","348.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","335","474","445","442","407","371","223","0"
"Polymer solar cells with enhanced open-circuit voltage and efficiency","Chen, Hsiang-Yu; Hou, Jianhui; Zhang, Shaoqing; Liang, Yongye; Yang, Guanwen; Yang, Yang; Yu, Luping; Wu, Yue; Li, Gang","","","","NATURE PHOTONICS","NOV 2009","2009","3","11","","","","649","653","","10.1038/NPHOTON.2009.192","","","2587","235.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","191","444","472","393","341","259","185","145","99","57","0"
"A polymer tandem solar cell with 10.6% power conversion efficiency","You, Jingbi; Dou, Letian; Yoshimura, Ken; Kato, Takehito; Ohya, Kenichiro; Moriarty, Tom; Emery, Keith; Chen, Chun-Chao; Gao, Jing; Li, Gang; Yang, Yang","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1446","10.1038/ncomms2411","","","2351","335.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172","579","594","438","272","195","101","0"
"Planar Heterojunction Perovskite Solar Cells via Vapor-Assisted Solution Process","Chen, Qi; Zhou, Huanping; Hong, Ziruo; Luo, Song; Duan, Hsin-Sheng; Wang, Hsin-Hua; Liu, Yongsheng; Li, Gang; Yang, Yang","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","JAN 15 2014","2014","136","2","","","","622","625","","10.1021/ja411509g","","","1517","252.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","330","359","286","297","135","0"
"Tandem polymer solar cells featuring a spectrally matched low-bandgap polymer","Dou, Letian; You, Jingbi; Yang, Jun; Chen, Chun-Chao; He, Youjun; Murase, Seiichiro; Moriarty, Tom; Emery, Keith; Li, Gang; Yang, Yang","","","","NATURE PHOTONICS","MAR 2012","2012","6","3","","","","180","185","","10.1038/NPHOTON.2011.356","","","1253","156.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","347","261","198","147","78","75","30","0"
"Highly Efficient Solar Cell Polymers Developed via Fine-Tuning of Structural and Electronic Properties","Liang, Yongye; Feng, Danqin; Wu, Yue; Tsai, Szu-Ting; Li, Gang; Ray, Claire; Yu, Luping","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","JUN 10 2009","2009","131","22","","","","7792","7799","","10.1021/ja901545q","","","1126","102.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","125","164","158","146","137","128","92","70","56","35","0"
"Recent Progress in Polymer Solar Cells: Manipulation of Polymer: Fullerene Morphology and the Formation of Efficient Inverted Polymer Solar Cells","Chen, Li-Min; Hong, Ziruo; Li, Gang; Yang, Yang","","","","ADVANCED MATERIALS","APR 20 2009","2009","21","14-15","","","","1434","1449","","10.1002/adma.200802854","","","1038","94.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","90","151","162","130","135","146","69","69","48","24","0"
