IDENTIFICADORES DE AUTOR: (0000-0001-9764-6120)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Graphene Plasmonics: A Platform for Strong Light-Matter Interactions","Koppens, Frank H. L.; Chang, Darrick E.; Javier Garcia de Abajo, F.","","","","NANO LETTERS","AUG 2011","2011","11","8","","","","3370","3377","","10.1021/nl201771h","","","1465","162.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","87","159","184","195","236","254","201","142","0"
"Photodetectors based on graphene, other two-dimensional materials and hybrid systems","Koppens, F. H. L.; Mueller, T.; Avouris, Ph.; Ferrari, A. C.; Vitiello, M. S.; Polini, M.","","","","NATURE NANOTECHNOLOGY","OCT 2014","2014","9","10","","","","780","793","","10.1038/NNANO.2014.215","","","1254","209.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","103","235","298","365","248","0"
"Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems","Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari","","","","NANOSCALE","2015","2015","7","11","","","","4598","4810","","10.1039/c4nr01600a","","","1241","248.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","85","290","342","321","201","0"
"Optical nano-imaging of gate-tunable graphene plasmons","Chen, Jianing; Badioli, Michela; Alonso-Gonzalez, Pablo; Thongrattanasiri, Sukosin; Huth, Florian; Osmond, Johann; Spasenovic, Marko; Centeno, Alba; Pesquera, Amaia; Godignon, Philippe; Zurutuza Elorza, Amaia; Camara, Nicolas; Javier Garcia de Abajo, F.; Hillenbrand, Rainer; Koppens, Frank H. L.","","","","NATURE","JUL 5 2012","2012","487","7405","","","","77","81","","10.1038/nature11254","","","1053","131.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","125","157","149","153","183","157","99","0"
"Hybrid graphene-quantum dot phototransistors with ultrahigh gain","Konstantatos, Gerasimos; Badioli, Michela; Gaudreau, Louis; Osmond, Johann; Bernechea, Maria; Garcia de Arquer, F. Pelayo; Gatti, Fabio; Koppens, Frank H. L.","","","","NATURE NANOTECHNOLOGY","JUN 2012","2012","7","6","","","","363","368","","10.1038/NNANO.2012.60","","","1045","130.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","64","104","139","173","213","213","125","0"
"Driven coherent oscillations of a single electron spin in a quantum dot","Koppens, F. H. L.; Buizert, C.; Tielrooij, K. J.; Vink, I. T.; Nowack, K. C.; Meunier, T.; Kouwenhoven, L. P.; Vandersypen, L. M. K.","","","","NATURE","AUG 17 2006","2006","442","7104","","","","766","771","","10.1038/nature05065","","","966","69.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","92","124","86","115","78","79","81","73","58","43","57","52","21","0"
"Complete Optical Absorption in Periodically Patterned Graphene","Thongrattanasiri, Sukosin; Koppens, Frank H. L.; Javier Garcia de Abajo, F.","","","","PHYSICAL REVIEW LETTERS","JAN 27 2012","2012","108","4","","","","","","047401","10.1103/PhysRevLett.108.047401","","","722","90.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","88","96","109","101","96","124","70","0"
"Coherent control of a single electron spin with electric fields","Nowack, K. C.; Koppens, F. H. L.; Nazarov, Yu. V.; Vandersypen, L. M. K.","","","","SCIENCE","NOV 30 2007","2007","318","5855","","","","1430","1433","","10.1126/science.1148092","","","617","47.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","53","67","60","48","72","64","39","47","52","51","29","0"
"Graphene Plasmon Waveguiding and Hybridization in Individual and Paired Nanoribbons","Christensen, Johan; Manjavacas, Alejandro; Thongrattanasiri, Sukosin; Koppens, Frank H. L.; Javier Garcia de Abajo, F.","","","","ACS NANO","JAN 2012","2012","6","1","","","","431","440","","10.1021/nn2037626","","","482","60.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","55","71","73","91","58","74","31","0"
"Control and detection of singlet-triplet mixing in a random nuclear field","Koppens, FHL; Folk, JA; Elzerman, JM; Hanson, R; van Beveren, LHW; Vink, IT; Tranitz, HP; Wegscheider, W; Kouwenhoven, LP; Vandersypen, LMK","","","","SCIENCE","AUG 26 2005","2005","309","5739","","","","1346","1350","","10.1126/science.1113719","","","436","29.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","55","54","59","47","40","33","25","31","16","18","18","24","9","2","0"
