AUTHOR IDENTIFIERS: (0000-0002-0972-1715)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Lithium Metal Anodes with an Adaptive "Solid-Liquid" Interfacial Protective Layer","Liu, Kai; Pei, Allen; Lee, Hye Ryoung; Kong, Biao; Liu, Nian; Lin, Dingchang; Liu, Yayuan; Liu, Chong; Hsu, Po-chun; Bao, Zhenan; Cui, Yi","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","APR 5 2017","2017","139","13","","","","4815","4820","","10.1021/jacs.6b13314","","","118","39.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","69","37"
"Surface Fluorination of Reactive Battery Anode Materials for Enhanced Stability","Zhao, Jie; Liao, Lei; Shi, Feifei; Lei, Ting; Chen, Guangxu; Pei, Allen; Sun, Jie; Yan, Kai; Zhou, Guangmin; Xie, Jin; Liu, Chong; Li, Yuzhang; Liang, Zheng; Bao, Zhenan; Cui, Yi","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","AUG 23 2017","2017","139","33","","","","11550","11558","","10.1021/jacs.7b05251","","","57","19.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","27"
"Quadruple H-Bonding Cross-Linked Supramolecular Polymeric Materials as Substrates for Stretchable, Antitearing, and Self-Healable Thin Film Electrodes","Yan, Xuzhou; Liu, Zhiyuan; Zhang, Qiuhong; Lopez, Jeffrey; Wang, Hui; Wu, Hung-Chin; Niu, Simiao; Yan, Hongping; Wang, Sihong; Lei, Ting; Li, Junheng; Qi, Dianpeng; Huang, Pingao; Huang, Jianping; Zhang, Yu; Wang, Yuanyuan; Li, Guanglin; Tok, Jeffery B. -H.; Chen, Xiaodong; Bao, Zhenan","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","APR 18 2018","2018","140","15","","","","5280","5289","","10.1021/jacs.8b01682","","","52","26.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","35"
"Skin-Inspired Electronics: An Emerging Paradigm","Wang, Sihong; Oh, Jin Young; Xu, Jie; Tran, Helen; Bao, Zhenan","","","","ACCOUNTS OF CHEMICAL RESEARCH","MAY 2018","2018","51","5","","","","1033","1045","","10.1021/acs.accounts.8b00015","","","46","23.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","36"
"Separation of Semiconducting Carbon Nanotubes for Flexible and Stretchable Electronics Using Polymer Removable Method","Lei, Ting; Pochorovski, Igor; Bao, Zhenan","","","","ACCOUNTS OF CHEMICAL RESEARCH","APR 2017","2017","50","4","","","","1096","1104","","10.1021/acs.accounts.7b00062","","","44","14.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","29","9"
"The meniscus-guided deposition of semiconducting polymers","Gu, Xiaodan; Shaw, Leo; Gu, Kevin; Toney, Michael F.; Bao, Zhenan","","","","NATURE COMMUNICATIONS","FEB 7 2018","2018","9","","","","","","","534","10.1038/s41467-018-02833-9","","","32","16.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","21"
"Stretchable Polymer Semiconductors for Plastic Electronics","Wang, Ging-Ji Nathan; Gasperini, Andrea; Bao, Zhenan","","","","ADVANCED ELECTRONIC MATERIALS","FEB 2018","2018","4","2","","","","","","1700429","10.1002/aelm.201700429","","","28","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","14"
"Taming Charge Transport in Semiconducting Polymers with Branched Alkyl Side Chains","Schroeder, Bob C.; Kurosawa, Tadanori; Fu, Tianren; Chiu, Yu-Cheng; Mun, Jaewan; Wang, Ging-Ji Nathan; Gu, Xiaodan; Shaw, Leo; Kneller, James W. E.; Kreouzis, Theo; Toney, Michael F.; Bao, Zhenan","","","","ADVANCED FUNCTIONAL MATERIALS","SEP 13 2017","2017","27","34","","","","","","1701973","10.1002/adfm.201701973","","","21","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","6"
"Mechanically tunable conductive interpenetrating network hydrogels that mimic the elastic moduli of biological tissue","Feig, Vivian R.; Tran, Helen; Lee, Minah; Bao, Zhenan","","","","NATURE COMMUNICATIONS","JUL 16 2018","2018","9","","","","","","","2740","10.1038/s41467-018-05222-4","","","18","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17"
"Effects of Polymer Coatings on Electrodeposited Lithium Metal","Lopez, Jeffrey; Pei, Allen; Oh, Jin Young; Wang, Ging-Ji Nathan; Cui, Yi; Bao, Zhenan","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","SEP 19 2018","2018","140","37","","","","11735","11744","","10.1021/jacs.8b06047","","","16","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13"
