PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Cheng, Xin-Bing; Zhang, Rui; Zhao, Chen-Zi; Zhang, Qiang								Toward Safe Lithium Metal Anode in Rechargeable Batteries: A Review								CHEMICAL REVIEWS				117	15			10403	10473		10.1021/acs.chemrev.7b00115			AUG 9 2017	2017										547							WOS:000407540500012		
J	Peng, Hong-Jie; Huang, Jia-Qi; Zhang, Qiang								A review of flexible lithium-sulfur and analogous alkali metal-chalcogen rechargeable batteries								CHEMICAL SOCIETY REVIEWS				46	17			5237	5288		10.1039/c7cs00139h			SEP 7 2017	2017										141							WOS:000408580300004		
J	Zhao, Chen-Zi; Zhang, Xue-Qiang; Cheng, Xin-Bing; Zhang, Rui; Xu, Rui; Chen, Peng-Yu; Peng, Hong-Jie; Huang, Jia-Qi; Zhang, Qiang								An anion-immobilized composite electrolyte for dendrite-free lithium metal anodes								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				114	42			11069	11074		10.1073/pnas.1708489114			OCT 17 2017	2017										130							WOS:000413237900037		
J	Lin, Dingchang; Liu, Yayuan; Chen, Wei; Zhou, Guangmin; Liu, Kai; Dunn, Bruce; Cui, Yi								Conformal Lithium Fluoride Protection Layer on Three-Dimensional Lithium by Nonhazardous Gaseous Reagent Freon								NANO LETTERS				17	6			3731	3737		10.1021/acs.nanolett.7b01020			JUN 2017	2017										80							WOS:000403631600060		
J	Li, Nian-Wu; Shi, Yang; Yin, Ya-Xia; Zeng, Xian-Xiang; Li, Jin-Yi; Li, Cong-Ju; Wan, Li-Jun; Wen, Rui; Guo, Yu-Guo								A Flexible Solid Electrolyte Interphase Layer for Long-Life Lithium Metal Anodes								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				57	6			1505	1509		10.1002/anie.201710806			FEB 5 2018	2018										75							WOS:000423494500010		
J	Zhang, Rui; Chen, Xiang; Shen, Xin; Zhang, Xue-Qiang; Chen, Xiao-Ru; Cheng, Xin-Bing; Yan, Chong; Zhao, Chen-Zi; Zhang, Qiang								Coralloid Carbon Fiber-Based Composite Lithium Anode for Robust Lithium Metal Batteries								JOULE				2	4			764	777		10.1016/j.joule.2018.02.001			APR 18 2018	2018										72							WOS:000435091900018		
J	Xu, Rui; Zhang, Xue-Qiang; Cheng, Xin-Bing; Peng, Hong-Jie; Zhao, Chen-Zi; Yan, Chong; Huang, Jia-Qi								Artificial Soft-Rigid Protective Layer for Dendrite-Free Lithium Metal Anode								ADVANCED FUNCTIONAL MATERIALS				28	8					1705838	10.1002/adfm.201705838			FEB 21 2018	2018										67							WOS:000425448200024		
J	Shen, Xin; Liu, He; Cheng, Xin-Bing; Yan, Chong; Huang, Jia-Qi								Beyond lithium ion batteries: Higher energy density battery systems based on lithium metal anodes								ENERGY STORAGE MATERIALS				12				161	175		10.1016/j.ensm.2017.12.002			MAY 2018	2018										64							WOS:000428083400021		
J	Jiang, Yuyan; Pu, Kanyi								Multimodal Biophotonics of Semiconducting Polymer Nanoparticles								ACCOUNTS OF CHEMICAL RESEARCH				51	8			1840	1849		10.1021/acs.accounts.8b00242			AUG 2018	2018										63							WOS:000442707400011		
J	Fan, Xiulin; Chen, Long; Ji, Xiao; Deng, Tao; Hou, Singyuk; Chen, Ji; Zheng, Jing; Wang, Fei; Jiang, Jianjun; Xu, Kang; Wang, Chunsheng								Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries								CHEM				4	1			174	185		10.1016/j.chempr.2017.10.017			JAN 11 2018	2018										58							WOS:000425276100018		
