AUTHOR: (Ajayan, PM)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Nanotubes from carbon","Ajayan, PM","","","","CHEMICAL REVIEWS","JUL 1999","1999","99","7","","","","1787","1799","","10.1021/cr970102g","","","2620","124.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","19","44","55","102","135","140","159","195","193","224","181","214","180","176","145","112","108","115","83","37"
"LARGE-SCALE SYNTHESIS OF CARBON NANOTUBES","EBBESEN, TW; AJAYAN, PM","","","","NATURE","JUL 16 1992","1992","358","6383","","","","220","222","","10.1038/358220a0","","","2461","87.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","77","76","86","87","87","96","79","85","101","115","115","130","115","125","107","108","123","102","115","84","96","70","67","71","61","42","34"
"New insights into the structure and reduction of graphite oxide","Gao, Wei; Alemany, Lawrence B.; Ci, Lijie; Ajayan, Pulickel M.","","","","NATURE CHEMISTRY","AUG 2009","2009","1","5","","","","403","408","","10.1038/NCHEM.281","","","1586","144.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","62","120","166","193","200","212","196","186","163","82"
"Large Scale Growth and Characterization of Atomic Hexagonal Boron Nitride Layers","Song, Li; Ci, Lijie; Lu, Hao; Sorokin, Pavel B.; Jin, Chuanhong; Ni, Jie; Kvashnin, Alexander G.; Kvashnin, Dmitry G.; Lou, Jun; Yakobson, Boris I.; Ajayan, Pulickel M.","","","","NANO LETTERS","AUG 2010","2010","10","8","","","","3209","3215","","10.1021/nl1022139","","","1297","129.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","49","78","103","147","147","193","227","231","120"
"Atomic layers of hybridized boron nitride and graphene domains","Ci, Lijie; Song, Li; Jin, Chuanhong; Jariwala, Deep; Wu, Dangxin; Li, Yongjie; Srivastava, Anchal; Wang, Z. F.; Storr, Kevin; Balicas, Luis; Liu, Feng; Ajayan, Pulickel M.","","","","NATURE MATERIALS","MAY 2010","2010","9","5","","","","430","435","","10.1038/nmat2711","","","1273","127.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","90","118","144","159","164","160","194","138","86"
"CAPILLARITY-INDUCED FILLING OF CARBON NANOTUBES","AJAYAN, PM; IIJIMA, S","","","","NATURE","JAN 28 1993","1993","361","6410","","","","333","334","","10.1038/361333a0","","","1270","47.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","49","40","36","32","48","49","45","55","55","72","77","62","75","68","64","56","69","51","39","37","40","29","23","19","34","14"
"Load transfer in carbon nanotube epoxy composites","Schadler, LS; Giannaris, SC; Ajayan, PM","","","","APPLIED PHYSICS LETTERS","DEC 28 1998","1998","73","26","","","","3842","3844","","10.1063/1.122911","","","1176","53.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","14","38","44","61","72","67","69","74","68","78","101","70","82","74","58","64","51","51","26"
"Graphene Quantum Dots Derived from Carbon Fibers","Peng, Juan; Gao, Wei; Gupta, Bipin Kumar; Liu, Zheng; Romero-Aburto, Rebeca; Ge, Liehui; Song, Li; Alemany, Lawrence B.; Zhan, Xiaobo; Gao, Guanhui; Vithayathil, Sajna Antony; Kaipparettu, Benny Abraham; Marti, Angel A.; Hayashi, Takuya; Zhu, Jun-Jie; Ajayan, Pulickel M.","","","","NANO LETTERS","FEB 2012","2012","12","2","","","","844","849","","10.1021/nl2038979","","","1172","146.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","102","142","185","220","188","189","112"
"ALIGNED CARBON NANOTUBE ARRAYS FORMED BY CUTTING A POLYMER RESIN-NANOTUBE COMPOSITE","AJAYAN, PM; STEPHAN, O; COLLIEX, C; TRAUTH, D","","","","SCIENCE","AUG 26 1994","1994","265","5176","","","","1212","1214","","10.1126/science.265.5176.1212","","","1170","45.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","11","23","30","21","26","31","52","51","45","67","60","65","60","67","92","64","90","66","59","60","41","48","28"
"Single-walled carbon nanotube-polymer composites: Strength and weakness","Ajayan, PM; Schadler, LS; Giannaris, C; Rubio, A","","","","ADVANCED MATERIALS","MAY 17 2000","2000","12","10","","","","750","+","","10.1002/(SICI)1521-4095(200005)12:10<750::AID-ADMA750>3.3.CO;2-Y","","","1162","58.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","33","51","69","57","80","72","98","87","77","93","79","77","74","52","50","44","36","20"
"Exfoliated Graphitic Carbon Nitride Nanosheets as Efficient Catalysts for Hydrogen Evolution Under Visible Light","Yang, Shubin; Gong, Yongji; Zhang, Jinshui; Zhan, Liang; Ma, Lulu; Fang, Zheyu; Vajtai, Robert; Wang, Xinchen; Ajayan, Pulickel M.","","","","ADVANCED MATERIALS","MAY 7 2013","2013","25","17","","","","2452","2456","","10.1002/adma.201204453","","","1097","156.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","89","152","178","265","242","162"
"Synthesis Of Nitrogen-Doped Graphene Films For Lithium Battery Application","Reddy, Arava Leela Mohana; Srivastava, Anchal; Gowda, Sanketh R.; Gullapalli, Hemtej; Dubey, Madan; Ajayan, Pulickel M.","","","","ACS NANO","NOV 2010","2010","4","11","","","","6337","6342","","10.1021/nn101926g","","","1050","105.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","89","111","156","158","140","132","132","97"
"Large-Area Vapor-Phase Growth and Characterization of MoS2 Atomic Layers on a SiO2 Substrate","Zhan, Yongjie; Liu, Zheng; Najmaei, Sina; Ajayan, Pulickel M.; Lou, Jun","","","","SMALL","APR 10 2012","2012","8","7","","","","966","971","","10.1002/smll.201102654","","","1039","129.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","91","135","185","167","179","173","83"
"Vapour phase growth and grain boundary structure of molybdenum disulphide atomic layers","Najmaei, Sina; Liu, Zheng; Zhou, Wu; Zou, Xiaolong; Shi, Gang; Lei, Sidong; Yakobson, Boris I.; Idrobo, Juan-Carlos; Ajayan, Pulickel M.; Lou, Jun","","","","NATURE MATERIALS","AUG 2013","2013","12","8","","","","754","759","","10.1038/NMAT3673","","","977","139.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","111","208","178","208","180","81"
