AUTHOR: (Bonn, D. A.)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Quantum oscillations and the Fermi surface in an underdoped high-T-c superconductor","Doiron-Leyraud, Nicolas; Proust, Cyril; LeBoeuf, David; Levallois, Julien; Bonnemaison, Jean-Baptiste; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Taillefer, Louis","","","","NATURE","MAY 31 2007","2007","447","7144","","","","565","568","","10.1038/nature05872","","","680","52.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","63","65","94","77","55","61","48","64","52","38","39","12"
"Direct observation of competition between superconductivity and charge density wave order in YBa2Cu3O6.67","Chang, J.; Blackburn, E.; Holmes, A. T.; Christensen, N. B.; Larsen, J.; Mesot, J.; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Watenphul, A.; von Zimmermann, M.; Forgan, E. M.; Hayden, S. M.","","","","NATURE PHYSICS","DEC 2012","2012","8","12","","","","871","876","","10.1038/NPHYS2456","","","574","71.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","54","87","111","108","92","85","33"
"Magnetic-field-induced charge-stripe order in the high-temperature superconductor YBa2Cu3Oy","Wu, Tao; Mayaffre, Hadrien; Kraemer, Steffen; Horvatic, Mladen; Berthier, Claude; Hardy, W. N.; Liang, Ruixing; Bonn, D. A.; Julien, Marc-Henri","","","","NATURE","SEP 8 2011","2011","477","7363","","","","191","194","","10.1038/nature10345","","","451","50.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","51","72","79","77","51","52","29"
"Electron pockets in the Fermi surface of hole-doped high-T-c superconductors","LeBoeuf, David; Doiron-Leyraud, Nicolas; Levallois, Julien; Daou, R.; Bonnemaison, J.-B.; Hussey, N. E.; Balicas, L.; Ramshaw, B. J.; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Adachi, S.; Proust, Cyril; Taillefer, Louis","","","","NATURE","NOV 22 2007","2007","450","7169","","","","533","536","","10.1038/nature06332","","","365","28.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","29","51","49","45","25","29","27","28","27","23","23","7"
"Broken rotational symmetry in the pseudogap phase of a high-T-c superconductor","Daou, R.; Chang, J.; LeBoeuf, David; Cyr-Choiniere, Olivier; Laliberte, Francis; Doiron-Leyraud, Nicolas; Ramshaw, B. J.; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Taillefer, Louis","","","","NATURE","JAN 28 2010","2010","463","7280","","","","519","522","","10.1038/nature08716","","","351","35.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","42","49","49","33","36","33","32","25","20"
"Polar Kerr-effect measurements of the high-temperature YBa2Cu3O6+x superconductor: Evidence for broken symmetry near the pseudogap temperature","Xia, Jing; Schemm, Elizabeth; Deutscher, G.; Kivelson, S. A.; Bonn, D. A.; Hardy, W. N.; Liang, R.; Siemons, W.; Koster, G.; Fejer, M. M.; Kapitulnik, A.","","","","PHYSICAL REVIEW LETTERS","MAR 28 2008","2008","100","12","","","","","","127002","10.1103/PhysRevLett.100.127002","","","250","20.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","22","22","22","10","23","33","39","20","18","15","10"
"Evaluation of CuO2 plane hole doping in YBa2Cu3O6+x single crystals","Liang, Ruixing; Bonn, D. A.; Hardy, W. N.","","","","PHYSICAL REVIEW B","MAY 2006","2006","73","18","","","","","","180505","10.1103/PhysRevB.73.180505","","","239","17.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","12","20","21","19","29","20","20","19","23","22","19","4"
"A multi-component Fermi surface in the vortex state of an underdoped high-T-c superconductor","Sebastian, Suchitra E.; Harrison, N.; Palm, E.; Murphy, T. P.; Mielke, C. H.; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Lonzarich, G. G.","","","","NATURE","JUL 10 2008","2008","454","7201","","","","200","203","","10.1038/nature07095","","","193","16.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","30","44","29","17","12","9","12","16","6","9","3"
"Distinct Charge Orders in the Planes and Chains of Ortho-III-Ordered YBa2Cu3O6+delta Superconductors Identified by Resonant Elastic X-ray Scattering","Achkar, A. J.; Sutarto, R.; Mao, X.; He, F.; Frano, A.; Blanco-Canosa, S.; Le Tacon, M.; Ghiringhelli, G.; Braicovich, L.; Minola, M.; Sala, M. Moretti; Mazzoli, C.; Liang, Ruixing; Bonn, D. A.; Hardy, W. N.; Keimer, B.; Sawatzky, G. A.; Hawthorn, D. G.","","","","PHYSICAL REVIEW LETTERS","OCT 17 2012","2012","109","16","","","","","","167001","10.1103/PhysRevLett.109.167001","","","182","22.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","25","39","43","32","17","21","3"
"Thermodynamic phase diagram of static charge order in underdoped YBa2Cu3Oy","LeBoeuf, David; Kraemer, S.; Hardy, W. N.; Liang, Ruixing; Bonn, D. A.; Proust, Cyril","","","","NATURE PHYSICS","FEB 2013","2013","9","2","","","","79","83","","","","","169","24.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","35","43","31","23","17","4"
