AUTHOR: (Bostedt, Christoph)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Femtosecond X-ray protein nanocrystallography","Chapman, Henry N.; Fromme, Petra; Barty, Anton; White, Thomas A.; Kirian, Richard A.; Aquila, Andrew; Hunter, Mark S.; Schulz, Joachim; DePonte, Daniel P.; Weierstall, Uwe; Doak, R. Bruce; Maia, Filipe R. N. C.; Martin, Andrew V.; Schlichting, Ilme; Lomb, Lukas; Coppola, Nicola; Shoeman, Robert L.; Epp, Sascha W.; Hartmann, Robert; Rolles, Daniel; Rudenko, Artem; Foucar, Lutz; Kimmel, Nils; Weidenspointner, Georg; Holl, Peter; Liang, Mengning; Barthelmess, Miriam; Caleman, Carl; Boutet, Sebastien; Bogan, Michael J.; Krzywinski, Jacek; Bostedt, Christoph; Bajt, Sasa; Gumprecht, Lars; Rudek, Benedikt; Erk, Benjamin; Schmidt, Carlo; Hoemke, Andre; Reich, Christian; Pietschner, Daniel; Strueder, Lothar; Hauser, Guenter; Gorke, Hubert; Ullrich, Joachim; Herrmann, Sven; Schaller, Gerhard; Schopper, Florian; Soltau, Heike; Kuehnel, Kai-Uwe; Messerschmidt, Marc; Bozek, John D.; Hau-Riege, Stefan P.; Frank, Matthias; Hampton, Christina Y.; Sierra, Raymond G.; Starodub, Dmitri; Williams, Garth J.; Hajdu, Janos; Timneanu, Nicusor; Seibert, M. Marvin; Andreasson, Jakob; Rocker, Andrea; Joensson, Olof; Svenda, Martin; Stern, Stephan; Nass, Karol; Andritschke, Robert; Schroeter, Claus-Dieter; Krasniqi, Faton; Bott, Mario; Schmidt, Kevin E.; Wang, Xiaoyu; Grotjohann, Ingo; Holton, James M.; Barends, Thomas R. M.; Neutze, Richard; Marchesini, Stefano; Fromme, Raimund; Schorb, Sebastian; Rupp, Daniela; Adolph, Marcus; Gorkhover, Tais; Andersson, Inger; Hirsemann, Helmut; Potdevin, Guillaume; Graafsma, Heinz; Nilsson, Bjoern; Spence, John C. H.","","","","NATURE","FEB 3 2011","2011","470","7332","","","","73","U81","","10.1038/nature09750","","","1067","118.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","114","112","173","158","143","127","114","72"
"Femtosecond diffractive imaging with a soft-X-ray free-electron laser","Chapman, Henry N.; Barty, Anton; Bogan, Michael J.; Boutet, Sebastien; Frank, Matthias; Hau-Riege, Stefan P.; Marchesini, Stefano; Woods, Bruce W.; Bajt, Sasa; Benner, Henry; London, Richard A.; Ploenjes, Elke; Kuhlmann, Marion; Treusch, Rolf; Duesterer, Stefan; Tschentscher, Thomas; Schneider, Jochen R.; Spiller, Eberhard; Moeller, Thomas; Bostedt, Christoph; Hoener, Matthias; Shapiro, David A.; Hodgson, Keith O.; Van der Spoel, David; Burmeister, Florian; Bergh, Magnus; Caleman, Carl; Huldt, Goesta; Seibert, M. Marvin; Maia, Filipe R. N. C.; Lee, Richard W.; Szoeke, Abraham; Timneanu, Nicusor; Hajdu, Janos","","","","NATURE PHYSICS","DEC 2006","2006","2","12","","","","839","843","","10.1038/nphys461","","","672","48.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","34","73","60","77","69","46","48","54","56","46","49","42","16"
"Single mimivirus particles intercepted and imaged with an X-ray laser","Seibert, M. Marvin; Ekeberg, Tomas; Maia, Filipe R. N. C.; Svenda, Martin; Andreasson, Jakob; Joensson, Olof; Odic, Dusko; Iwan, Bianca; Rocker, Andrea; Westphal, Daniel; Hantke, Max; DePonte, Daniel P.; Barty, Anton; Schulz, Joachim; Gumprecht, Lars; Coppola, Nicola; Aquila, Andrew; Liang, Mengning; White, Thomas A.; Martin, Andrew; Caleman, Carl; Stern, Stephan; Abergel, Chantal; Seltzer, Virginie; Claverie, Jean-Michel; Bostedt, Christoph; Bozek, John D.; Boutet, Sebastien; Miahnahri, A. Alan; Messerschmidt, Marc; Krzywinski, Jacek; Williams, Garth; Hodgson, Keith O.; Bogan, Michael J.; Hampton, Christina Y.; Sierra, Raymond G.; Starodub, Dmitri; Andersson, Inger; Bajt, Sasa; Barthelmess, Miriam; Spence, John C. H.; Fromme, Petra; Weierstall, Uwe; Kirian, Richard; Hunter, Mark; Doak, R. Bruce; Marchesini, Stefano; Hau-Riege, Stefan P.; Frank, Matthias; Shoeman, Robert L.; Lomb, Lukas; Epp, Sascha W.; Hartmann, Robert; Rolles, Daniel; Rudenko, Artem; Schmidt, Carlo; Foucar, Lutz; Kimmel, Nils; Holl, Peter; Rudek, Benedikt; Erk, Benjamin; Hoemke, Andre; Reich, Christian; Pietschner, Daniel; Weidenspointner, Georg; Strueder, Lothar; Hauser, Guenter; Gorke, Hubert; Ullrich, Joachim; Schlichting, Ilme; Herrmann, Sven; Schaller, Gerhard; Schopper, Florian; Soltau, Heike; Kuehnel, Kai-Uwe; Andritschke, Robert; Schroeter, Claus-Dieter; Krasniqi, Faton; Bott, Mario; Schorb, Sebastian; Rupp, Daniela; Adolph, Marcus; Gorkhover, Tais; Hirsemann, Helmut; Potdevin, Guillaume; Graafsma, Heinz; Nilsson, Bjoern; Chapman, Henry N.; Hajdu, Janos","","","","NATURE","FEB 3 2011","2011","470","7332","","","","78","U86","","10.1038/nature09748","","","512","56.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","80","66","73","64","66","47","57","18"
"Self-terminating diffraction gates femtosecond X-ray nanocrystallography measurements","Barty, Anton; Caleman, Carl; Aquila, Andrew; Timneanu, Nicusor; Lomb, Lukas; White, Thomas A.; Andreasson, Jakob; Arnlund, David; Bajt, Sasa; Barends, Thomas R. M.; Barthelmess, Miriam; Bogan, Michael J.; Bostedt, Christoph; Bozek, John D.; Coffee, Ryan; Coppola, Nicola; Davidsson, Jan; DePonte, Daniel P.; Doak, R. Bruce; Ekeberg, Tomas; Elser, Veit; Epp, Sascha W.; Erk, Benjamin; Fleckenstein, Holger; Foucar, Lutz; Fromme, Petra; Graafsma, Heinz; Gumprecht, Lars; Hajdu, Janos; Hampton, Christina Y.; Hartmann, Robert; Hartmann, Andreas; Hauser, Guenter; Hirsemann, Helmut; Holl, Peter; Hunter, Mark S.; Johansson, Linda; Kassemeyer, Stephan; Kimmel, Nils; Kirian, Richard A.; Liang, Mengning; Maia, Filipe R. N. C.; Malmerberg, Erik; Marchesini, Stefano; Martin, Andrew V.; Nass, Karol; Neutze, Richard; Reich, Christian; Rolles, Daniel; Rudek, Benedikt; Rudenko, Artem; Scott, Howard; Schlichting, Ilme; Schulz, Joachim; Seibert, M. Marvin; Shoeman, Robert L.; Sierra, Raymond G.; Soltau, Heike; Spence, John C. H.; Stellato, Francesco; Stern, Stephan; Strueder, Lothar; Ullrich, Joachim; Wang, X.; Weidenspointner, Georg; Weierstall, Uwe; Wunderer, Cornelia B.; Chapman, Henry N.","","","","NATURE PHOTONICS","JAN 2012","2012","6","1","","","","35","40","","10.1038/NPHOTON.2011.297","","","211","26.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","24","35","36","29","34","18","13"
"Atomic inner-shell X-ray laser at 1.46 nanometres pumped by an X-ray free-electron laser","Rohringer, Nina; Ryan, Duncan; London, Richard A.; Purvis, Michael; Albert, Felicie; Dunn, James; Bozek, John D.; Bostedt, Christoph; Graf, Alexander; Hill, Randal; Hau-Riege, Stefan P.; Rocca, Jorge J.","","","","NATURE","JAN 26 2012","2012","481","7382","","","","488","491","","10.1038/nature10721","","","201","25.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","35","27","36","34","17","24","10"
"Large-format, high-speed, X-ray pnCCDs combined with electron and ion imaging spectrometers in a multipurpose chamber for experiments at 4th generation light sources","Strueder, Lothar; Eppa, Sascha; Rolles, Daniel; Hartmann, Robert; Holl, Peter; Lutz, Gerhard; Soltau, Heike; Eckart, Rouven; Reich, Christian; Heinzinger, Klaus; Thamm, Christian; Rudenko, Artem; Krasniqi, Faton; Kuehnel, Kai-Uwe; Bauer, Christian; Schroeter, Claus-Dieter; Moshammer, Robert; Techert, Simone; Miessner, Danilo; Porro, Matteo; Haelker, Olaf; Meidinger, Norbert; Kimmel, Nils; Andritschke, Robert; Schopper, Florian; Weidenspointner, Georg; Ziegler, Alexander; Pietschner, Daniel; Herrmann, Sven; Pietsch, Ullrich; Walenta, Albert; Leitenberger, Wolfram; Bostedt, Christoph; Moeller, Thomas; Rupp, Daniela; Adolph, Marcus; Graafsma, Heinz; Hirsemann, Helmut; Gaertner, Klaus; Richter, Rainer; Foucar, Lutz; Shoeman, Robert L.; Schlichting, Ilme; Ullrich, Joachim","","","","NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT","MAR 11 2010","2010","614","3","","","","483","496","","10.1016/j.nima.2009.12.053","","","187","18.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","21","33","25","20","15","26","11","21","7"
"Linac Coherent Light Source: The first five years","Bostedt, Christoph; Boutet, Sebastien; Fritz, David M.; Huang, Zhirong; Lee, Hae Ja; Lemke, Henrik T.; Robert, Aymeric; Schlotter, William F.; Turner, Joshua J.; Williams, Garth J.","","","","REVIEWS OF MODERN PHYSICS","MAR 9 2016","2016","88","1","","","","","","015007","10.1103/RevModPhys.88.015007","","","185","46.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","66","56","40"
"Femtosecond time-delay X-ray holography","Chapman, Henry N.; Hau-Riege, Stefan P.; Bogan, Michael J.; Bajt, Sasa; Barty, Anton; Boutet, Sebastien; Marchesini, Stefano; Frank, Matthias; Woods, Bruce W.; Benner, W. Henry; London, Richard A.; Rohner, Urs; Szoeke, Abraham; Spiller, Eberhard; Moeller, Thomas; Bostedt, Christoph; Shapiro, David A.; Kuhlmann, Marion; Treusch, Rolf; Ploenjes, Elke; Burmeister, Florian; Bergh, Magnus; Caleman, Carl; Huldt, Goesta; Seibert, M. Marvin; Hajdu, Janos","","","","NATURE","AUG 9 2007","2007","448","7154","","","","676","679","","10.1038/nature06049","","","182","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","32","16","26","28","19","7","17","13","5","6","5","4"
"X-Ray Diffraction from Isolated and Strongly Aligned Gas-Phase Molecules with a Free-Electron Laser","Kuepper, Jochen; Stern, Stephan; Holmegaard, Lotte; Filsinger, Frank; Rouzee, Arnaud; Rudenko, Artem; Johnsson, Per; Martin, Andrew V.; Adolph, Marcus; Aquila, Andrew; Bajt, Sasa; Barty, Anton; Bostedt, Christoph; Bozek, John; Caleman, Carl; Coffee, Ryan; Coppola, Nicola; Delmas, Tjark; Epp, Sascha; Erk, Benjamin; Foucar, Lutz; Gorkhover, Tais; Gumprecht, Lars; Hartmann, Andreas; Hartmann, Robert; Hauser, Guenter; Holl, Peter; Hoemke, Andre; Kimmel, Nils; Krasniqi, Faton; Kuehnel, Kai-Uwe; Maurer, Jochen; Messerschmidt, Marc; Moshammer, Robert; Reich, Christian; Rudek, Benedikt; Santra, Robin; Schlichting, Ilme; Schmidt, Carlo; Schorb, Sebastian; Schulz, Joachim; Soltau, Heike; Spence, John C. H.; Starodub, Dmitri; Strueder, Lothar; Thogersen, Jan; Vrakking, Marc J. J.; Weidenspointner, Georg; White, Thomas A.; Wunderer, Cornelia; Meijer, Gerard; Ullrich, Joachim; Stapelfeldt, Henrik; Rolles, Daniel; Chapman, Henry N.","","","","PHYSICAL REVIEW LETTERS","FEB 28 2014","2014","112","8","","","","","","083002","10.1103/PhysRevLett.112.083002","","","141","23.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","28","22","31","28","14"
"Time-resolved protein nanocrystallography using an X-ray free-electron laser","Aquila, Andrew; Hunter, Mark S.; Doak, R. Bruce; Kirian, Richard A.; Fromme, Petra; White, Thomas A.; Andreasson, Jakob; Arnlund, David; Bajt, Sasa; Barends, Thomas R. M.; Barthelmess, Miriam; Bogan, Michael J.; Bostedt, Christoph; Bottin, Herve; Bozek, John D.; Caleman, Carl; Coppola, Nicola; Davidsson, Jan; DePonte, Daniel P.; Elser, Veit; Epp, Sascha W.; Erk, Benjamin; Fleckenstein, Holger; Foucar, Lutz; Frank, Matthias; Fromme, Raimund; Graafsma, Heinz; Grotjohann, Ingo; Gumprecht, Lars; Hajdu, Janos; Hampton, Christina Y.; Hartmann, Andreas; Hartmann, Robert; Hauriege, Stefan; Hauser, Guenter; Hirsemann, Helmut; Holl, Peter; Holton, James M.; Hoemke, Andre; Johansson, Linda; Kimmel, Nils; Kassemeyer, Stephan; Krasniqi, Faton; Kuehnel, Kaiuwe; Liang, Mengning; Lomb, Lukas; Malmerberg, Erik; Marchesini, Stefano; Martin, Andrew V.; Maia, Filipe R. N. C.; Messerschmidt, Marc; Nass, Karol; Reich, Christian; Neutze, Richard; Rolles, Daniel; Rudek, Benedikt; Rudenko, Artem; Schlichting, Ilme; Schmidt, Carlo; Schmidt, Kevin E.; Schulz, Joachim; Seibert, M. Marvin; Shoeman, Robert L.; Sierra, Raymond; Soltau, Heike; Starodub, Dmitri; Stellato, Francesco; Stern, Stephan; Strueder, Lothar; Timneanu, Nicusor; Ullrich, Joachim; Wang, Xiaoyu; Williams, Garth J.; Weidenspointner, Georg; Weierstall, Uwe; Wunderer, Cornelia; Barty, Anton; Spence, John C. H.; Chapman, Henry N.","","","","OPTICS EXPRESS","JAN 30 2012","2012","20","3","","","","2706","2716","","10.1364/OE.20.002706","","","136","17.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","17","34","25","16","12","10","6"
