AUTHOR: (Bulovic, Vladimir)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Large Area, Few-Layer Graphene Films on Arbitrary Substrates by Chemical Vapor Deposition","Reina, Alfonso; Jia, Xiaoting; Ho, John; Nezich, Daniel; Son, Hyungbin; Bulovic, Vladimir; Dresselhaus, Mildred S.; Kong, Jing","","","","NANO LETTERS","JAN 2009","2009","9","1","","","","30","35","","10.1021/nl801827v","","","3856","350.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","253","378","461","469","482","467","402","365","323","181"
"Emergence of colloidal quantum-dot light-emitting technologies","Shirasaki, Yasuhiro; Supran, Geoffrey J.; Bawendi, Moungi G.; Bulovic, Vladimir","","","","NATURE PHOTONICS","JAN 2013","2013","7","1","","","","13","23","","10.1038/nphoton.2012.328","","","1025","146.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","87","159","188","216","208","124"
"Improved performance and stability in quantum dot solar cells through band alignment engineering","Chuang, Chia-Hao M.; Brown, Patrick R.; Bulovic, Vladimir; Bawendi, Moungi G.","","","","NATURE MATERIALS","AUG 2014","2014","13","8","","","","796","801","","10.1038/NMAT3984","","","841","140.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","176","182","190","185","82"
"Quantum Dot Light-Emitting Devices with Electroluminescence Tunable over the Entire Visible Spectrum","Anikeeva, Polina O.; Halpert, Jonathan E.; Bawendi, Moungi G.; Bulovic, Vladimir","","","","NANO LETTERS","JUL 2009","2009","9","7","","","","2532","2536","","10.1021/nl9002969","","","556","50.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","30","45","60","69","59","71","57","76","46","39"
"High-efficiency quantum-dot light-emitting devices with enhanced charge injection","Mashford, Benjamin S.; Stevenson, Matthew; Popovic, Zoran; Hamilton, Charles; Zhou, Zhaoqun; Breen, Craig; Steckel, Jonathan; Bulovic, Vladimir; Bawendi, Moungi; Coe-Sullivan, Seth; Kazlas, Peter T.","","","","NATURE PHOTONICS","MAY 2013","2013","7","5","","","","407","412","","10.1038/NPHOTON.2013.70","","","537","76.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","54","82","97","122","104","67"
"Energy Level Modification in Lead Sulfide Quantum Dot Thin Films through Ligand Exchange","Brown, Patrick R.; Kim, Donghun; Lunt, Richard R.; Zhao, Ni; Bawendi, Moungi G.; Grossman, Jeffrey C.; Bulovic, Vladimir","","","","ACS NANO","JUN 2014","2014","8","6","","","","5863","5872","","10.1021/nn500897c","","","364","60.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","65","75","94","82","43"
"Inorganic-Organic Hybrid Solar Cell: Bridging Quantum Dots to Conjugated Polymer Nanowires","Ren, Shenqiang; Chang, Liang-Yi; Lim, Sung-Keun; Zhao, Jing; Smith, Matthew; Zhao, Ni; Bulovic, Vladimir; Bawendi, Moungi; Gradecak, Silvija","","","","NANO LETTERS","SEP 2011","2011","11","9","","","","3998","4002","","10.1021/nl202435t","","","342","38.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","59","81","57","38","37","23","16"
"Colloidal PbS Quantum Dot Solar Cells with High Fill Factor","Zhao, Ni; Osedach, Tim P.; Chang, Liang-Yi; Geyer, Scott M.; Wanger, Darcy; Binda, Maddalena T.; Arango, Alexi C.; Bawendi, Moungi G.; Bulovic, Vladimir","","","","ACS NANO","JUL 2010","2010","4","7","","","","3743","3752","","10.1021/nn100129j","","","311","31.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","32","38","39","39","48","39","27","37","10"
"Electroluminescence from a mixed red-green-blue colloidal quantum dot monolayer","Anikeeva, Polina O.; Halpert, Jonathan E.; Bawendi, Moungi G.; Bulovic, Vladimir","","","","NANO LETTERS","AUG 2007","2007","7","8","","","","2196","2200","","10.1021/nl0703424","","","310","23.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","27","21","25","36","31","33","36","31","27","22","7"
"Photo-induced halide redistribution in organic-inorganic perovskite films","deQuilettes, Dane W.; Zhang, Wei; Burlakov, Victor M.; Graham, Daniel J.; Leijtens, Tomas; Osherov, Anna; Bulovic, Vladimir; Snaith, Henry J.; Ginger, David S.; Stranks, Samuel D.","","","","NATURE COMMUNICATIONS","MAY 2016","2016","7","","","","","","","11683","10.1038/ncomms11683","","","305","76.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","117","105","58"
