AUTHOR: (Capasso, Federico)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Light Propagation with Phase Discontinuities: Generalized Laws of Reflection and Refraction","Yu, Nanfang; Genevet, Patrice; Kats, Mikhail A.; Aieta, Francesco; Tetienne, Jean-Philippe; Capasso, Federico; Gaburro, Zeno","","","","SCIENCE","OCT 21 2011","2011","334","6054","","","","333","337","","10.1126/science.1210713","","","2754","306.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","74","139","220","346","455","529","631","358"
"Flat optics with designer metasurfaces","Yu, Nanfang; Capasso, Federico","","","","NATURE MATERIALS","FEB 2014","2014","13","2","","","","139","150","","10.1038/nmat3839","","","1793","298.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","219","340","430","480","269"
"Self-Assembled Plasmonic Nanoparticle Clusters","Fan, Jonathan A.; Wu, Chihhui; Bao, Kui; Bao, Jiming; Bardhan, Rizia; Halas, Naomi J.; Manoharan, Vinothan N.; Nordlander, Peter; Shvets, Gennady; Capasso, Federico","","","","SCIENCE","MAY 28 2010","2010","328","5982","","","","1135","1138","","10.1126/science.1187949","","","1003","100.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","108","110","159","128","120","121","105","90","45"
"Aberration-Free Ultrathin Flat Lenses and Axicons at Telecom Wavelengths Based on Plasmonic Metasurfaces","Aieta, Francesco; Genevet, Patrice; Kats, Mikhail A.; Yu, Nanfang; Blanchard, Romain; Gahurro, Zeno; Capasso, Federico","","","","NANO LETTERS","SEP 2012","2012","12","9","","","","4932","4936","","10.1021/nl302516v","","","799","99.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","50","67","115","152","163","174","74"
"Metalenses at visible wavelengths: Diffraction-limited focusing and subwavelength resolution imaging","Khorasaninejad, Mohammadreza; Chen, Wei Ting; Devlin, Robert C.; Oh, Jaewon; Zhu, Alexander Y.; Capasso, Federico","","","","SCIENCE","JUN 3 2016","2016","352","6290","","","","1190","1194","","10.1126/science.aaf6644","","","652","163.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","217","272","140"
"Polarization-Controlled Tunable Directional Coupling of Surface Plasmon Polaritons","Lin, Jiao; Mueller, J. P. Balthasar; Wang, Qian; Yuan, Guanghui; Antoniou, Nicholas; Yuan, Xiao-Cong; Capasso, Federico","","","","SCIENCE","APR 19 2013","2013","340","6130","","","","331","334","","10.1126/science.1233746","","","590","84.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","85","101","105","112","117","58"
"A Broadband, Background-Free Quarter-Wave Plate Based on Plasmonic Metasurfaces","Yu, Nanfang; Aieta, Francesco; Genevet, Patrice; Kats, Mikhail A.; Gaburro, Zeno; Capasso, Federico","","","","NANO LETTERS","DEC 2012","2012","12","12","","","","6328","6333","","10.1021/nl303445u","","","569","71.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","51","71","107","123","123","60"
"Broadband ZnO single-nanowire light-emitting diode","Bao, Jiming; Zimmler, Mariano A.; Capasso, Federico; Wang, Xiaowei; Ren, Z. F.","","","","NANO LETTERS","AUG 9 2006","2006","6","8","","","","1719","1722","","10.1021/nl061080t","","","460","32.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","45","40","54","51","58","44","30","35","34","24","23","5"
"Fano Resonances in Plasmonic Nanoclusters: Geometrical and Chemical Tunability","Lassiter, J. Britt; Sobhani, Heidar; Fan, Jonathan A.; Kundu, Janardan; Capasso, Federico; Nordlander, Peter; Halas, Naomi J.","","","","NANO LETTERS","AUG 2010","2010","10","8","","","","3184","3189","","10.1021/nl102108u","","","448","44.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","43","60","58","48","63","46","60","45","21"
"Nanometre optical coatings based on strong interference effects in highly absorbing media","Kats, Mikhail A.; Blanchard, Romain; Genevet, Patrice; Capasso, Federico","","","","NATURE MATERIALS","JAN 2013","2013","12","1","","","","20","24","","10.1038/NMAT3443","","","402","57.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","48","67","77","69","81","40"
