PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										5918							WOS:000308825700001		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2237							WOS:000318143300005		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1225							WOS:000282683200001		
J	Paglione, Johnpierre; Greene, Richard L.								High-temperature superconductivity in iron-based materials								NATURE PHYSICS				6	9			645	658		10.1038/NPHYS1759			SEP 10 2010	2010										950							WOS:000281540200011		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										933							WOS:000298133800001		
J	Ando, Yoichi								Topological Insulator Materials								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				82	10					102001	10.7566/JPSJ.82.102001			OCT 2013	2013										699							WOS:000325108000001		
J	Hirschfeld, P. J.; Korshunov, M. M.; Mazin, I. I.								Gap symmetry and structure of Fe-based superconductors								REPORTS ON PROGRESS IN PHYSICS				74	12					124508	10.1088/0034-4885/74/12/124508			DEC 2011	2011										672							WOS:000298079500009		
J	Scalapino, D. J.								A common thread: The pairing interaction for unconventional superconductors								REVIEWS OF MODERN PHYSICS				84	4			1383	1417		10.1103/RevModPhys.84.1383			OCT 8 2012	2012										542							WOS:000309590600001		
J	Bert, Julie A.; Kalisky, Beena; Bell, Christopher; Kim, Minu; Hikita, Yasuyuki; Hwang, Harold Y.; Moler, Kathryn A.								Direct imaging of the coexistence of ferromagnetism and superconductivity at the LaAlO3/SrTiO3 interface								NATURE PHYSICS				7	10			767	771		10.1038/nphys2079			OCT 2011	2011										528							WOS:000295584200013		
J	Fernandes, R. M.; Chubukov, A. V.; Schmalian, J.								What drives nematic order in iron-based superconductors?								NATURE PHYSICS				10	2			97	104		10.1038/nphys2877			FEB 2014	2014										505							WOS:000332141800012		
J	Ren, Zhi; Taskin, A. A.; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Large bulk resistivity and surface quantum oscillations in the topological insulator Bi2Te2Se								PHYSICAL REVIEW B				82	24					241306	10.1103/PhysRevB.82.241306			DEC 9 2010	2010										419							WOS:000286895700001		
J	Chen, J.; Qin, H. J.; Yang, F.; Liu, J.; Guan, T.; Qu, F. M.; Zhang, G. H.; Shi, J. R.; Xie, X. C.; Yang, C. L.; Wu, K. H.; Li, Y. Q.; Lu, L.								Gate-Voltage Control of Chemical Potential and Weak Antilocalization in Bi2Se3								PHYSICAL REVIEW LETTERS				105	17					176602	10.1103/PhysRevLett.105.176602			OCT 19 2010	2010										413							WOS:000283126900015		
J	Dziawa, P.; Kowalski, B. J.; Dybko, K.; Buczko, R.; Szczerbakow, A.; Szot, M.; Lusakowska, E.; Balasubramanian, T.; Wojek, B. M.; Berntsen, M. H.; Tjernberg, O.; Story, T.								Topological crystalline insulator states in Pb1-xSnxSe								NATURE MATERIALS				11	12			1023	1027		10.1038/NMAT3449			DEC 2012	2012										406							WOS:000311432600019		
