Article Group for:  Averitt, Richard D.
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Nanoengineering of optical resonances","Oldenburg, SJ; Averitt, RD; Westcott, SL; Halas, NJ","","","","CHEMICAL PHYSICS LETTERS","MAY 22 1998","1998","288","2-4","","","","243","247","","10.1016/S0009-2614(98)00277-2","","","1733","78.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","12","26","40","46","51","87","113","121","130","116","129","134","120","121","127","85","96","77","53","37"
"Active terahertz metamaterial devices","Chen, Hou-Tong; Padilla, Willie J.; Zide, Joshua M. O.; Gossard, Arthur C.; Taylor, Antoinette J.; Averitt, Richard D.","","","","NATURE","NOV 30 2006","2006","444","7119","","","","597","600","","10.1038/nature05343","","","1359","97.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","57","77","73","103","91","134","147","150","152","150","135","60"
"A metamaterial absorber for the terahertz regime: Design, fabrication and characterization","Tao, Hu; Landy, Nathan I.; Bingham, Christopher M.; Zhang, Xin; Averitt, Richard D.; Padilla, Willie J.","","","","OPTICS EXPRESS","MAY 12 2008","2008","16","10","","","","7181","7188","","10.1364/OE.16.007181","","","766","63.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","22","32","41","53","70","86","126","90","85","100","57"
"Dynamical electric and magnetic metamaterial response at terahertz frequencies","Padilla, WJ; Taylor, AJ; Highstrete, C; Lee, M; Averitt, RD","","","","PHYSICAL REVIEW LETTERS","MAR 17 2006","2006","96","10","","","","","","107401","10.1103/PhysRevLett.96.107401","","","588","42.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","32","41","37","41","48","51","56","56","58","46","58","36","20"
"Plasmon resonance shifts of Au-coated Au2S nanoshells: Insight into multicomponent nanoparticle growth","Averitt, RD; Sarkar, D; Halas, NJ","","","","PHYSICAL REVIEW LETTERS","JUN 2 1997","1997","78","22","","","","4217","4220","","10.1103/PhysRevLett.78.4217","","","564","24.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","7","12","24","25","23","37","36","47","45","31","22","39","39","24","40","30","26","17","17","9"
"A metamaterial solid-state terahertz phase modulator","Chen, Hou-Tong; Padilla, Willie J.; Cich, Michael J.; Azad, Abul K.; Averitt, Richard D.; Taylor, Antoinette J.","","","","NATURE PHOTONICS","MAR 2009","2009","3","3","","","","148","151","","10.1038/NPHOTON.2009.3","","","562","51.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","39","43","38","72","49","65","65","65","79","38"
"Experimental demonstration of frequency-agile terahertz metamaterials","Chen, Hou-Tong; O'Hara, John F.; Azad, Abul K.; Taylor, Antoinette J.; Averitt, Richard D.; Shrekenhamer, David B.; Padilla, Willie J.","","","","NATURE PHOTONICS","MAY 2008","2008","2","5","","","","295","298","","10.1038/nphoton.2008.52","","","531","44.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","35","36","48","42","62","49","61","47","48","63","26"
"Highly flexible wide angle of incidence terahertz metamaterial absorber: Design, fabrication, and characterization","Tao, Hu; Bingham, C. M.; Strikwerda, A. C.; Pilon, D.; Shrekenhamer, D.; Landy, N. I.; Fan, K.; Zhang, X.; Padilla, W. J.; Averitt, R. D.","","","","PHYSICAL REVIEW B","DEC 2008","2008","78","24","","","","","","241103","10.1103/PhysRevB.78.241103","","","526","43.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","21","49","51","52","64","83","50","59","52","33"
"Terahertz-field-induced insulator-to-metal transition in vanadium dioxide metamaterial","Liu, Mengkun; Hwang, Harold Y.; Tao, Hu; Strikwerda, Andrew C.; Fan, Kebin; Keiser, George R.; Sternbach, Aaron J.; West, Kevin G.; Kittiwatanakul, Salinporn; Lu, Jiwei; Wolf, Stuart A.; Omenetto, Fiorenzo G.; Zhang, Xin; Nelson, Keith A.; Averitt, Richard D.","","","","NATURE","JUL 19 2012","2012","487","7407","","","","345","348","","10.1038/nature11231","","","499","62.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","58","69","75","80","68","89","56"
"Linear optical properties of gold nanoshells","Averitt, RD; Westcott, SL; Halas, NJ","","","","JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS","OCT 1999","1999","16","10","","","","1824","1832","","10.1364/JOSAB.16.001824","","","497","23.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","10","13","13","30","24","28","37","32","30","41","51","45","40","26","19","19","18","10"
