AUTHOR: (Avouris, Phaedon)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Carbon-based electronics","Avouris, Phaedon; Chen, Zhihong; Perebeinos, Vasili","","","","NATURE NANOTECHNOLOGY","OCT 2007","2007","2","10","","","","605","615","","10.1038/nnano.2007.300","","","1829","140.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77","132","197","215","195","206","183","158","157","137","119","53"
"Ultrafast graphene photodetector","Xia, Fengnian; Mueller, Thomas; Lin, Yu-ming; Valdes-Garcia, Alberto; Avouris, Phaedon","","","","NATURE NANOTECHNOLOGY","DEC 2009","2009","4","12","","","","839","843","","10.1038/NNANO.2009.292","","","1625","147.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","89","120","159","218","218","226","220","227","104"
"Graphene photodetectors for high-speed optical communications","Mueller, Thomas; Xia, Fengnian; Avouris, Phaedon","","","","NATURE PHOTONICS","MAY 2010","2010","4","5","","","","297","301","","10.1038/NPHOTON.2010.40","","","1227","122.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","52","86","119","160","168","150","186","191","96"
"Graphene nano-ribbon electronics","Chen, Zhihong; Lin, Yu-Ming; Rooks, Michael J.; Avouris, Phaedon","","","","PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES","DEC 2007","2007","40","2","","","","228","232","","10.1016/j.physe.2007.06.020","2nd International Symposium on Nanometer-Scale Quantum Physics","JAN 24-26, 2007","1143","87.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","72","109","152","128","116","109","101","92","90","88","49","36"
"Graphene Field-Effect Transistors with High On/Off Current Ratio and Large Transport Band Gap at Room Temperature","Xia, Fengnian; Farmer, Damon B.; Lin, Yu-ming; Avouris, Phaedon","","","","NANO LETTERS","FEB 2010","2010","10","2","","","","715","718","","10.1021/nl9039636","","","853","85.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","90","98","110","100","103","89","85","102","37"
"Graphene: Electronic and Photonic Properties and Devices","Avouris, Phaedon","","","","NANO LETTERS","NOV 2010","2010","10","11","","","","4285","4294","","10.1021/nl102824h","","","823","82.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","46","76","114","120","104","101","114","89","58"
"Carbon-nanotube photonics and optoelectronics","Avouris, Phaedon; Freitag, Marcus; Perebeinos, Vasili","","","","NATURE PHOTONICS","JUN 2008","2008","2","6","","","","341","350","","10.1038/nphoton.2008.94","","","765","63.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","43","56","58","85","102","79","88","77","75","64","29"
"Operation of Graphene Transistors at Gigahertz Frequencies","Lin, Yu-Ming; Jenkins, Keith A.; Valdes-Garcia, Alberto; Small, Joshua P.; Farmer, Damon B.; Avouris, Phaedon","","","","NANO LETTERS","JAN 2009","2009","9","1","","","","422","426","","10.1021/nl803316h","","","754","68.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","118","90","105","84","78","69","58","59","35","16"
"Tunable infrared plasmonic devices using graphene/insulator stacks","Yan, Hugen; Li, Xuesong; Chandra, Bhupesh; Tulevski, George; Wu, Yanqing; Freitag, Marcus; Zhu, Wenjuan; Avouris, Phaedon; Xia, Fengnian","","","","NATURE NANOTECHNOLOGY","MAY 2012","2012","7","5","","","","330","334","","10.1038/NNANO.2012.59","","","699","87.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","99","106","111","118","85","101","52"
"High-frequency, scaled graphene transistors on diamond-like carbon","Wu, Yanqing; Lin, Yu-ming; Bol, Ageeth A.; Jenkins, Keith A.; Xia, Fengnian; Farmer, Damon B.; Zhu, Yu; Avouris, Phaedon","","","","NATURE","APR 7 2011","2011","472","7341","","","","74","78","","10.1038/nature09979","","","601","66.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","105","94","81","76","78","60","48","28"
