AUTHOR: (Balents, Leon)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Spin liquids in frustrated magnets","Balents, Leon","","","","NATURE","MAR 11 2010","2010","464","7286","","","","199","208","","10.1038/nature08917","","","1681","168.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","101","126","150","172","204","235","270","262","136"
"Weyl Semimetal in a Topological Insulator Multilayer","Burkov, A. A.; Balents, Leon","","","","PHYSICAL REVIEW LETTERS","SEP 16 2011","2011","107","12","","","","","","127205","10.1103/PhysRevLett.107.127205","","","1072","119.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","49","94","137","204","244","207","105"
"Topological nodal semimetals","Burkov, A. A.; Hook, M. D.; Balents, Leon","","","","PHYSICAL REVIEW B","DEC 20 2011","2011","84","23","","","","","","235126","10.1103/PhysRevB.84.235126","","","658","73.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","29","36","60","113","148","169","91"
"Mott physics and band topology in materials with strong spin-orbit interaction","Pesin, Dmytro; Balents, Leon","","","","NATURE PHYSICS","MAY 2010","2010","6","5","","","","376","381","","10.1038/NPHYS1606","","","617","61.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","42","79","73","62","89","85","70","72","32"
"Correlated Quantum Phenomena in the Strong Spin-Orbit Regime","Witczak-Krempa, William; Chen, Gang; Kim, Yong Baek; Balents, Leon","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 5","2014","2014","5","","","","","57","82","","10.1146/annurev-conmatphys-020911-125138","","","467","77.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","70","90","87","118","68"
"Identifying topological order by entanglement entropy","Jiang, Hong-Chen; Wang, Zhenghan; Balents, Leon","","","","NATURE PHYSICS","DEC 2012","2012","8","12","","","","902","905","","10.1038/NPHYS2465","","","294","36.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","49","55","50","46","39","36","18"
"Quantum spin liquids: a review","Savary, Lucile; Balents, Leon","","","","REPORTS ON PROGRESS IN PHYSICS","JAN 2017","2017","80","1","","","","","","016502","10.1088/0034-4885/80/1/016502","","","266","88.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","60","131","73"
"Quantum Excitations in Quantum Spin Ice","Ross, Kate A.; Savary, Lucile; Gaulin, Bruce D.; Balents, Leon","","","","PHYSICAL REVIEW X","OCT 3 2011","2011","1","2","","","","","","021002","10.1103/PhysRevX.1.021002","","","251","27.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","26","28","34","43","48","34","20"
"Time-reversal invariant realization of the Weyl semimetal phase","Halasz, Gabor B.; Balents, Leon","","","","PHYSICAL REVIEW B","JAN 9 2012","2012","85","3","","","","","","035103","10.1103/PhysRevB.85.035103","","","231","28.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","20","32","39","44","35","29","22"
"Flat bands and Wigner crystallization in the Honeycomb optical lattice","Wu, Congjun; Bergman, Doron; Balents, Leon; Das Sarma, S.","","","","PHYSICAL REVIEW LETTERS","AUG 17 2007","2007","99","7","","","","","","070401","10.1103/PhysRevLett.99.070401","","","228","17.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","15","13","22","15","12","30","25","22","14","29","15"
