AUTHOR: (Bansil, Arun)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Discovery of a Weyl fermion semimetal and topological Fermi arcs","Xu, Su-Yang; Belopolski, Ilya; Alidoust, Nasser; Neupane, Madhab; Bian, Guang; Zhang, Chenglong; Sankar, Raman; Chang, Guoqing; Yuan, Zhujun; Lee, Chi-Cheng; Huang, Shin-Ming; Zheng, Hao; Ma, Jie; Sanchez, Daniel S.; Wang, BaoKai; Bansil, Arun; Chou, Fangcheng; Shibayev, Pavel P.; Lin, Hsin; Jia, Shuang; Hasan, M. Zahid","","","","SCIENCE","AUG 7 2015","2015","349","6248","","","","613","617","","10.1126/science.aaa9297","","","1305","261.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","293","413","349","190"
"A Weyl Fermion semimetal with surface Fermi arcs in the transition metal monopnictide TaAs class","Huang, Shin-Ming; Xu, Su-Yang; Belopolski, Ilya; Lee, Chi-Cheng; Chang, Guoqing; Wang, BaoKai; Alidoust, Nasser; Bian, Guang; Neupane, Madhab; Zhang, Chenglong; Jia, Shuang; Bansil, Arun; Lin, Hsin; Hasan, M. Zahid","","","","NATURE COMMUNICATIONS","JUN 2015","2015","6","","","","","","","7373","10.1038/ncomms8373","","","742","148.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","196","227","168","95"
"Observation of a three-dimensional topological Dirac semimetal phase in high-mobility Cd3As2","Neupane, Madhab; Xu, Su-Yang; Sankar, Raman; Alidoust, Nasser; Bian, Guang; Liu, Chang; Belopolski, Ilya; Chang, Tay-Rong; Jeng, Horng-Tay; Lin, Hsin; Bansil, Arun; Chou, Fangcheng; Hasan, M. Zahid","","","","NATURE COMMUNICATIONS","MAY 2014","2014","5","","","","","","","3786","10.1038/ncomms4786","","","671","111.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","117","148","170","138","68"
"Topological crystalline insulators in the SnTe material class","Hsieh, Timothy H.; Lin, Hsin; Liu, Junwei; Duan, Wenhui; Bansil, Arun; Fu, Liang","","","","NATURE COMMUNICATIONS","JUL 2012","2012","3","","","","","","","982","10.1038/ncomms1969","","","600","75.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","47","91","90","98","109","94","60"
"Direct observation of the transition from indirect to direct bandgap in atomically thin epitaxial MoSe2","Zhang, Yi; Chang, Tay-Rong; Zhou, Bo; Cui, Yong-Tao; Yan, Hao; Liu, Zhongkai; Schmitt, Felix; Lee, James; Moore, Rob; Chen, Yulin; Lin, Hsin; Jeng, Horng-Tay; Mo, Sung-Kwan; Hussain, Zahid; Bansil, Arun; Shen, Zhi-Xun","","","","NATURE NANOTECHNOLOGY","FEB 2014","2014","9","2","","","","111","115","","10.1038/NNANO.2013.277","","","553","92.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","80","89","133","135","84"
"Discovery of a Weyl fermion state with Fermi arcs in niobium arsenide","Xu, Su-Yang; Alidoust, Nasser; Belopolski, Ilya; Yuan, Zhujun; Bian, Guang; Chang, Tay-Rong; Zheng, Hao; Strocov, Vladimir N.; Sanchez, Daniel S.; Chang, Guoqing; Zhang, Chenglong; Mou, Daixiang; Wu, Yun; Huang, Lunan; Lee, Chi-Cheng; Huang, Shin-Ming; Wang, BaoKai; Bansil, Arun; Jeng, Horng-Tay; Neupert, Titus; Kaminski, Adam; Lin, Hsin; Jia, Shuang; Hasan, M. Zahid","","","","NATURE PHYSICS","SEP 2015","2015","11","9","","","","748","+","","10.1038/NPHYS3437","","","476","95.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","133","148","109","62"
"Half-Heusler ternary compounds as new multifunctional experimental platforms for topological quantum phenomena","Lin, Hsin; Wray, L. Andrew; Xia, Yuqi; Xu, Suyang; Jia, Shuang; Cava, Robert J.; Bansil, Arun; Hasan, M. Zahid","","","","NATURE MATERIALS","JUL 2010","2010","9","7","","","","546","549","","10.1038/NMAT2771","","","382","38.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","45","45","51","38","43","44","36","47","16"
"A topological insulator surface under strong Coulomb, magnetic and disorder perturbations","Wray, L. Andrew; Xu, Su-Yang; Xia, Yuqi; Hsieh, David; Fedorov, Alexei V.; Hor, Yew San; Cava, Robert J.; Bansil, Arun; Lin, Hsin; Hasan, M. Zahid","","","","NATURE PHYSICS","JAN 2011","2011","7","1","","","","32","37","","10.1038/NPHYS1838","","","344","38.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","46","51","46","39","47","45","31","15"
"Topological nodal-line fermions in spin-orbit metal PbTaSe2","Bian, Guang; Chang, Tay-Rong; Sankar, Raman; Xu, Su-Yang; Zheng, Hao; Neupert, Titus; Chiu, Ching-Kai; Huang, Shin-Ming; Chang, Guoqing; Belopolski, Ilya; Sanchez, Daniel S.; Neupane, Madhab; Alidoust, Nasser; Liu, Chang; Wang, BaoKai; Lee, Chi-Cheng; Jeng, Horng-Tay; Zhang, Chenglong; Yuan, Zhujun; Jia, Shuang; Bansil, Arun; Chou, Fangcheng; Lin, Hsin; Hasan, M. Zahid","","","","NATURE COMMUNICATIONS","FEB 2016","2016","7","","","","","","","10556","10.1038/ncomms10556","","","294","73.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","87","108","55"
"Observation of topological order in a superconducting doped topological insulator","Wray, L. Andrew; Xu, Su-Yang; Xia, Yuqi; Hor, Yew San; Qian, Dong; Fedorov, Alexei V.; Lin, Hsin; Bansil, Arun; Cava, Robert J.; Hasan, M. Zahid","","","","NATURE PHYSICS","NOV 2010","2010","6","11","","","","855","859","","10.1038/NPHYS1762","","","265","26.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","38","31","27","32","32","31","30","14"
