AUTHOR: (Berger, Claire)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Electronic confinement and coherence in patterned epitaxial graphene","Berger, Claire; Song, Zhimin; Li, Xuebin; Wu, Xiaosong; Brown, Nate; Naud, Cecile; Mayou, Didier; Li, Tianbo; Hass, Joanna; Marchenkov, Atexei N.; Conrad, Edward H.; First, Phillip N.; de Heer, Wait A.","","","","SCIENCE","MAY 26 2006","2006","312","5777","","","","1191","1196","","10.1126/science.1125925","","","4201","300.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","126","250","332","441","490","474","452","402","312","285","283","208","133"
"Epitaxial graphene","de Heer, Walt A.; Berger, Claire; Wu, Xiaosong; First, Phillip N.; Conrad, Edward H.; Li, Xuebin; Li, Tianbo; Sprinkle, Michael; Hass, Joanna; Sadowski, Marcin L.; Potemski, Marek; Martinez, Gerard","","","","SOLID STATE COMMUNICATIONS","JUL 2007","2007","143","1-2","","","","92","100","","10.1016/j.ssc.2007.04.023","","","624","48.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","34","43","78","60","83","77","59","58","54","40","23","13"
"Chemical Modification of Epitaxial Graphene: Spontaneous Grafting of Aryl Groups","Bekyarova, Elena; Itkis, Mikhail E.; Ramesh, Palanisamy; Berger, Claire; Sprinkle, Michael; de Heer, Walt A.; Haddon, Robert C.","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","FEB 4 2009","2009","131","4","","","","1336","+","","10.1021/ja8057327","","","566","51.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","46","63","67","91","69","57","53","60","33","12"
"Nanoscale Tunable Reduction of Graphene Oxide for Graphene Electronics","Wei, Zhongqing; Wang, Debin; Kim, Suenne; Kim, Soo-Young; Hu, Yike; Yakes, Michael K.; Laracuente, Arnaldo R.; Dai, Zhenting; Marder, Seth R.; Berger, Claire; King, William P.; de Heer, Walter A.; Sheehan, Paul E.; Riedo, Elisa","","","","SCIENCE","JUN 11 2010","2010","328","5984","","","","1373","1376","","10.1126/science.1188119","","","483","48.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","55","57","75","74","60","46","42","50","19"
"Spectroscopy of Covalently Functionalized Graphene","Niyogi, Sandip; Bekyarova, Elena; Itkis, Mikhail E.; Zhang, Hang; Shepperd, Kristin; Hicks, Jeremy; Sprinkle, Michael; Berger, Claire; Lau, Chun Ning; deHeer, Walt A.; Conrad, Edward H.; Haddon, Robert C.","","","","NANO LETTERS","OCT 2010","2010","10","10","","","","4061","4066","","10.1021/nl1021128","","","312","31.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","19","30","41","43","44","41","46","29","18"
"Exceptional ballistic transport in epitaxial graphene nanoribbons","Baringhaus, Jens; Ruan, Ming; Edler, Frederik; Tejeda, Antonio; Sicot, Muriel; Taleb-Ibrahimi, Amina; Li, An-Ping; Jiang, Zhigang; Conrad, Edward H.; Berger, Claire; Tegenkamp, Christoph; de Heer, Walt A.","","","","NATURE","FEB 20 2014","2014","506","7488","","","","349","354","","10.1038/nature12952","","","311","51.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","64","78","68","39","27"
"Room-temperature metastability of multilayer graphene oxide films","Kim, Suenne; Zhou, Si; Hu, Yike; Acik, Muge; Chabal, Yves J.; Berger, Claire; de Heer, Walt; Bongiorno, Angelo; Riedo, Elisa","","","","NATURE MATERIALS","JUN 2012","2012","11","6","","","","544","549","","10.1038/NMAT3316","","","309","38.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","37","46","43","43","38","61","35"
"Ultrafast Relaxation of Excited Dirac Fermions in Epitaxial Graphene Using Optical Differential Transmission Spectroscopy","Sun, Dong; Wu, Zong-Kwei; Divin, Charles; Li, Xuebin; Berger, Claire; de Heer, Walt A.; First, Phillip N.; Norris, Theodore B.","","","","PHYSICAL REVIEW LETTERS","OCT 10 2008","2008","101","15","","","","","","157402","10.1103/PhysRevLett.101.157402","","","307","25.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","38","44","32","35","35","29","22","24","20","6"
"Epitaxial graphene transistors on SIC substrates","Kedzierski, Jakub; Hsu, Pei-Lan; Healey, Paul; Wyatt, Peter W.; Keast, Craig L.; Sprinkle, Mike; Berger, Claire; de Heer, Walt A.","","","","IEEE TRANSACTIONS ON ELECTRON DEVICES","AUG 2008","2008","55","8","","","","2078","2085","","10.1109/TED.2008.926593","","","268","22.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","27","51","40","37","21","20","18","14","23","9","4"
"Weak antilocalization in epitaxial graphene: Evidence for chiral electrons","Wu, Xiaosong; Li, Xuebin; Song, Zhimin; Berger, Claire; de Heer, Walt A.","","","","PHYSICAL REVIEW LETTERS","MAR 30 2007","2007","98","13","","","","","","136801","10.1103/PhysRevLett.98.136801","","","267","20.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","28","28","27","22","22","25","27","16","16","17","17","9"
