AUTHOR: (Bernevig, B. Andrei)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Quantum spin Hall effect and topological phase transition in HgTe quantum wells","Bernevig, B. Andrei; Hughes, Taylor L.; Zhang, Shou-Cheng","","","","SCIENCE","DEC 15 2006","2006","314","5806","","","","1757","1761","","10.1126/science.1133734","","","3322","237.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","43","76","157","222","298","317","388","372","412","412","396","217"
"Weyl Semimetal Phase in Noncentrosymmetric Transition-Metal Monophosphides","Weng, Hongming; Fang, Chen; Fang, Zhong; Bernevig, B. Andrei; Dai, Xi","","","","PHYSICAL REVIEW X","MAR 17 2015","2015","5","1","","","","","","011029","10.1103/PhysRevX.5.011029","","","920","184.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","219","265","234","134"
"Observation of Majorana fermions in ferromagnetic atomic chains on a superconductor","Nadj-Perge, Stevan; Drozdov, Ilya K.; Li, Jian; Chen, Hua; Jeon, Sangjun; Seo, Jungpil; MacDonald, Allan H.; Bernevig, B. Andrei; Yazdani, Ali","","","","SCIENCE","OCT 31 2014","2014","346","6209","","","SI","602","607","","10.1126/science.1259327","","","797","132.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","151","185","193","173","91"
"Type-II Weyl semimetals","Soluyanov, Alexey A.; Gresch, Dominik; Wang, Zhijun; Wu, QuanSheng; Troyer, Matthias; Dai, Xi; Bernevig, B. Andrei","","","","NATURE","NOV 26 2015","2015","527","7579","","","","495","498","","10.1038/nature15768","","","762","152.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","117","255","265","124"
"Pairing Symmetry in a Two-Orbital Exchange Coupling Model of Oxypnictides","Seo, Kangjun; Bernevig, B. Andrei; Hu, Jiangping","","","","PHYSICAL REVIEW LETTERS","NOV 14 2008","2008","101","20","","","","","","206404","10.1103/PhysRevLett.101.206404","","","315","26.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","59","37","48","41","35","27","19","19","14","10","4"
"Exact SU(2) symmetry and persistent spin helix in a spin-orbit coupled system","Bernevig, B. Andrei; Orenstein, J.; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW LETTERS","DEC 8 2006","2006","97","23","","","","","","236601","10.1103/PhysRevLett.97.236601","","","301","21.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","16","31","47","16","27","11","29","26","31","28","17","9"
"Beyond Dirac and Weyl fermions: Unconventional quasiparticles in conventional crystals","Bradlyn, Barry; Cano, Jennifer; Wang, Zhijun; Vergniory, M. G.; Felser, C.; Cava, R. J.; Bernevig, B. Andrei","","","","SCIENCE","AUG 5 2016","2016","353","6299","","","","","","aaf5037","10.1126/science.aaf5037","","","276","69.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","81","116","68"
"Fractional Chern Insulator","Regnault, N.; Bernevig, B. Andrei","","","","PHYSICAL REVIEW X","DEC 2 2011","2011","1","2","","","","","","021014","10.1103/PhysRevX.1.021014","","","261","29.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","45","33","43","31","25","35","14"
"Multi-Weyl Topological Semimetals Stabilized by Point Group Symmetry","Fang, Chen; Gilbert, Matthew J.; Dai, Xi; Bernevig, B. Andrei","","","","PHYSICAL REVIEW LETTERS","JUN 27 2012","2012","108","26","","","","","","266802","10.1103/PhysRevLett.108.266802","","","252","31.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","11","19","44","69","61","31"
"Inversion-symmetric topological insulators","Hughes, Taylor L.; Prodan, Emil; Bernevig, B. Andrei","","","","PHYSICAL REVIEW B","JUN 28 2011","2011","83","24","","","","","","245132","10.1103/PhysRevB.83.245132","","","196","21.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","17","18","33","20","21","27","36","19"
