PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										13995							WOS:000264764600004		
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8415							WOS:000283929800001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										5926							WOS:000308825700001		
J	Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface								NATURE PHYSICS				5	6			438	442		10.1038/NPHYS1270			JUN 2009	2009										3281							WOS:000266544800024		
J	Koenig, Markus; Wiedmann, Steffen; Bruene, Christoph; Roth, Andreas; Buhmann, Hartmut; Molenkamp, Laurens W.; Qi, Xiao-Liang; Zhang, Shou-Cheng								Quantum spin hall insulator state in HgTe quantum wells								SCIENCE				318	5851			766	770		10.1126/science.1148047			NOV 2 2007	2007										3103							WOS:000250583900033		
J	Fu, Liang; Kane, C. L.								Topological insulators with inversion symmetry								PHYSICAL REVIEW B				76	4					045302	10.1103/PhysRevB.76.045302			JUL 2007	2007										2081							WOS:000248540000055		
J	Chen, Y. L.; Analytis, J. G.; Chu, J. -H.; Liu, Z. K.; Mo, S. -K.; Qi, X. L.; Zhang, H. J.; Lu, D. H.; Dai, X.; Fang, Z.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. -X.								Experimental Realization of a Three-Dimensional Topological Insulator, Bi2Te3								SCIENCE				325	5937			178	181		10.1126/science.1173034			JUL 10 2009	2009										2066							WOS:000267802000040		
J	Hsieh, D.; Qian, D.; Wray, L.; Xia, Y.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.								A topological Dirac insulator in a quantum spin Hall phase								NATURE				452	7190			970	U5		10.1038/nature06843			APR 24 2008	2008										2036							WOS:000255208600034		
J	Qi, Xiao-Liang; Hughes, Taylor L.; Zhang, Shou-Cheng								Topological field theory of time-reversal invariant insulators								PHYSICAL REVIEW B				78	19					195424	10.1103/PhysRevB.78.195424			NOV 2008	2008										1704							WOS:000262607800110		
J	Moore, Joel E.								The birth of topological insulators								NATURE				464	7286			194	198		10.1038/nature08916			MAR 11 2010	2010										1565							WOS:000275366100032		
J	Schnyder, Andreas P.; Ryu, Shinsei; Furusaki, Akira; Ludwig, Andreas W. W.								Classification of topological insulators and superconductors in three spatial dimensions								PHYSICAL REVIEW B				78	19					195125	10.1103/PhysRevB.78.195125			NOV 2008	2008										1557							WOS:000262607800049		
J	Nagaosa, Naoto; Sinova, Jairo; Onoda, Shigeki; MacDonald, A. H.; Ong, N. P.								Anomalous Hall effect								REVIEWS OF MODERN PHYSICS				82	2			1539	1592		10.1103/RevModPhys.82.1539			MAY 13 2010	2010										1425							WOS:000278228900001		
J	Xu, Su-Yang; Belopolski, Ilya; Alidoust, Nasser; Neupane, Madhab; Bian, Guang; Zhang, Chenglong; Sankar, Raman; Chang, Guoqing; Yuan, Zhujun; Lee, Chi-Cheng; Huang, Shin-Ming; Zheng, Hao; Ma, Jie; Sanchez, Daniel S.; Wang, BaoKai; Bansil, Arun; Chou, Fangcheng; Shibayev, Pavel P.; Lin, Hsin; Jia, Shuang; Hasan, M. Zahid								Discovery of a Weyl fermion semimetal and topological Fermi arcs								SCIENCE				349	6248			613	617		10.1126/science.aaa9297			AUG 7 2015	2015										1305							WOS:000359092900034		
J	Liu, Cheng-Cheng; Feng, Wanxiang; Yao, Yugui								Quantum Spin Hall Effect in Silicene and Two-Dimensional Germanium								PHYSICAL REVIEW LETTERS				107	7					076802	10.1103/PhysRevLett.107.076802			AUG 9 2011	2011										1297							WOS:000293705600018		
J	Alicea, Jason								New directions in the pursuit of Majorana fermions in solid state systems								REPORTS ON PROGRESS IN PHYSICS				75	7					076501	10.1088/0034-4885/75/7/076501			JUL 2012	2012										1263							WOS:000305907700002		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1227							WOS:000282683200001		
J	Lin, Y. -J.; Jimenez-Garcia, K.; Spielman, I. B.								Spin-orbit-coupled Bose-Einstein condensates								NATURE				471	7336			83	U99		10.1038/nature09887			MAR 3 2011	2011										1143							WOS:000287924100038		
J	Burkov, A. A.; Balents, Leon								Weyl Semimetal in a Topological Insulator Multilayer								PHYSICAL REVIEW LETTERS				107	12					127205	10.1103/PhysRevLett.107.127205			SEP 16 2011	2011										1072							WOS:000295003400011		
