IDENTIFICADORES DE AUTOR: (A-1035-2007)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Colloquium: Topological insulators","Hasan, M. Z.; Kane, C. L.","","","","REVIEWS OF MODERN PHYSICS","NOV 8 2010","2010","82","4","","","","3045","3067","","10.1103/RevModPhys.82.3045","","","8565","856.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","338","678","827","995","1117","1267","1287","1241","797","1"
"Quantum spin Hall effect in graphene","Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW LETTERS","NOV 25 2005","2005","95","22","","","","","","226801","10.1103/PhysRevLett.95.226801","","","3774","251.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","50","72","128","182","223","323","354","361","408","453","436","465","287","0"
"Z(2) topological order and the quantum spin Hall effect","Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW LETTERS","SEP 30 2005","2005","95","14","","","","","","146802","10.1103/PhysRevLett.95.146802","","","3220","214.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","27","43","89","162","213","260","311","339","367","407","390","359","231","0"
"Superconducting proximity effect and Majorana fermions at the surface of a topological insulator","Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW LETTERS","MAR 7 2008","2008","100","9","","","","","","096407","10.1103/PhysRevLett.100.096407","","","2522","210.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","29","109","172","249","267","296","326","294","309","292","176","0"
"Topological insulators in three dimensions","Fu, Liang; Kane, C. L.; Mele, E. J.","","","","PHYSICAL REVIEW LETTERS","MAR 9 2007","2007","98","10","","","","","","106803","10.1103/PhysRevLett.98.106803","","","2403","184.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","17","61","151","184","238","253","294","261","277","263","227","169","0"
"Topological insulators with inversion symmetry","Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW B","JUL 2007","2007","76","4","","","","","","045302","10.1103/PhysRevB.76.045302","","","2106","162.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","46","118","165","227","224","218","226","262","203","246","155","0"
"High-field electrical transport in single-wall carbon nanotubes","Yao, Z; Kane, CL; Dekker, C","","","","PHYSICAL REVIEW LETTERS","MAR 27 2000","2000","84","13","","","","2941","2944","","10.1103/PhysRevLett.84.2941","","","1121","56.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","21","29","24","54","64","81","84","95","100","80","92","78","65","53","44","43","51","40","19","0"
"TRANSMISSION THROUGH BARRIERS AND RESONANT TUNNELING IN AN INTERACTING ONE-DIMENSIONAL ELECTRON-GAS","KANE, CL; FISHER, MPA","","","","PHYSICAL REVIEW B","DEC 15 1992","1992","46","23","","","","15233","15262","","10.1103/PhysRevB.46.15233","","","1106","39.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","42","60","77","58","42","42","47","44","49","47","65","54","55","33","52","47","33","32","34","32","20","32","34","24","25","0"
"TRANSPORT IN A ONE-CHANNEL LUTTINGER LIQUID","KANE, CL; FISHER, MPA","","","","PHYSICAL REVIEW LETTERS","FEB 24 1992","1992","68","8","","","","1220","1223","","10.1103/PhysRevLett.68.1220","","","865","30.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","29","31","47","49","52","43","32","31","37","19","37","38","38","37","28","24","31","30","23","25","28","23","16","33","23","25","28","0"
"Size, shape, and low energy electronic structure of carbon nanotubes","Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW LETTERS","MAR 10 1997","1997","78","10","","","","1932","1935","","10.1103/PhysRevLett.78.1932","","","823","35.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","30","28","36","30","31","34","52","46","46","50","48","43","53","50","31","32","26","35","31","39","27","17","0"
