AUTHOR IDENTIFIERS: (A-7367-2016)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites","Lee, Michael M.; Teuscher, Joel; Miyasaka, Tsutomu; Murakami, Takurou N.; Snaith, Henry J.","","","","SCIENCE","NOV 2 2012","2012","338","6107","","","","643","647","","10.1126/science.1228604","","","5388","673.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","102","484","889","1097","1079","1132","602","0"
"Efficient planar heterojunction perovskite solar cells by vapour deposition","Liu, Mingzhen; Johnston, Michael B.; Snaith, Henry J.","","","","NATURE","SEP 19 2013","2013","501","7467","","","","395","+","","10.1038/nature12509","","","4503","643.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","466","816","971","904","861","469","0"
"Electron-Hole Diffusion Lengths Exceeding 1 Micrometer in an Organometal Trihalide Perovskite Absorber","Stranks, Samuel D.; Eperon, Giles E.; Grancini, Giulia; Menelaou, Christopher; Alcocer, Marcelo J. P.; Leijtens, Tomas; Herz, Laura M.; Petrozza, Annamaria; Snaith, Henry J.","","","","SCIENCE","OCT 18 2013","2013","342","6156","","","","341","344","","10.1126/science.1243982","","","4484","640.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","296","639","875","982","1030","658","0"
"The emergence of perovskite solar cells","Green, Martin A.; Ho-Baillie, Anita; Snaith, Henry J.","","","","NATURE PHOTONICS","JUL 2014","2014","8","7","","","","506","514","","10.1038/NPHOTON.2014.134","","","2559","426.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","332","530","613","638","418","0"
"Bright light-emitting diodes based on organometal halide perovskite","Tan, Zhi-Kuang; Moghaddam, Reza Saberi; Lai, May Ling; Docampo, Pablo; Higler, Ruben; Deschler, Felix; Price, Michael; Sadhanala, Aditya; Pazos, Luis M.; Credgington, Dan; Hanusch, Fabian; Bein, Thomas; Snaith, Henry J.; Friend, Richard H.","","","","NATURE NANOTECHNOLOGY","SEP 2014","2014","9","9","","","","687","692","","10.1038/NNANO.2014.149","","","1646","274.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","156","321","424","435","305","0"
"Formamidinium lead trihalide: a broadly tunable perovskite for efficient planar heterojunction solar cells","Eperon, Giles E.; Stranks, Samuel D.; Menelaou, Christopher; Johnston, Michael B.; Herz, Laura M.; Snaith, Henry J.","","","","ENERGY & ENVIRONMENTAL SCIENCE","MAR 2014","2014","7","3","","","","982","988","","10.1039/c3ee43822h","","","1545","257.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","184","319","354","366","254","0"
"Perovskites: The Emergence of a New Era for Low-Cost, High-Efficiency Solar Cells","Snaith, Henry J.","","","","JOURNAL OF PHYSICAL CHEMISTRY LETTERS","NOV 7 2013","2013","4","21","","","","3623","3630","","10.1021/jz4020162","","","1477","211.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","181","290","297","288","272","148","0"
"Anomalous Hysteresis in Perovskite Solar Cells","Snaith, Henry J.; Abate, Antonio; Ball, James M.; Eperon, Giles E.; Leijtens, Tomas; Noel, Nakita K.; Stranks, Samuel D.; Wang, Jacob Tse-Wei; Wojciechowski, Konrad; Zhang, Wei","","","","JOURNAL OF PHYSICAL CHEMISTRY LETTERS","MAY 1 2014","2014","5","9","","","","1511","1515","","10.1021/jz500113x","","","1414","235.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","288","339","302","284","141","0"
"High Charge Carrier Mobilities and Lifetimes in Organolead Trihalide Perovskites","Wehrenfennig, Christian; Eperon, Giles E.; Johnston, Michael B.; Snaith, Henry J.; Herz, Laura M.","","","","ADVANCED MATERIALS","MAR 2014","2014","26","10","","","","1584","1589","","10.1002/adma.201305172","","","1344","224.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","188","252","322","316","208","0"
"Morphological Control for High Performance, Solution-Processed Planar Heterojunction Perovskite Solar Cells","Eperon, Giles E.; Burlakov, Victor M.; Docampo, Pablo; Goriely, Alain; Snaith, Henry J.","","","","ADVANCED FUNCTIONAL MATERIALS","JAN 2014","2014","24","1","","","","151","157","","10.1002/adfm.201302090","","","1343","223.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","141","294","312","252","225","115","0"
