PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hagfeldt, Anders; Boschloo, Gerrit; Sun, Licheng; Kloo, Lars; Pettersson, Henrik								Dye-Sensitized Solar Cells								CHEMICAL REVIEWS				110	11			6595	6663		10.1021/cr900356p			NOV 2010	2010										5926							WOS:000284134300006		
J	Burschka, Julian; Pellet, Norman; Moon, Soo-Jin; Humphry-Baker, Robin; Gao, Peng; Nazeeruddin, Mohammad K.; Graetzel, Michael								Sequential deposition as a route to high-performance perovskite-sensitized solar cells								NATURE				499	7458			316	+		10.1038/nature12340			JUL 18 2013	2013										5455							WOS:000321910700031		
J	Li, G; Shrotriya, V; Huang, JS; Yao, Y; Moriarty, T; Emery, K; Yang, Y								High-efficiency solution processable polymer photovoltaic cells by self-organization of polymer blends								NATURE MATERIALS				4	11			864	868		10.1038/nmat1500			NOV 2005	2005										4718							WOS:000232931000016		
J	Yella, Aswani; Lee, Hsuan-Wei; Tsao, Hoi Nok; Yi, Chenyi; Chandiran, Aravind Kumar; Nazeeruddin, Md. Khaja; Diau, Eric Wei-Guang; Yeh, Chen-Yu; Zakeeruddin, Shaik M.; Graetzel, Michael								Porphyrin-Sensitized Solar Cells with Cobalt (II/III)-Based Redox Electrolyte Exceed 12 Percent Efficiency								SCIENCE				334	6056			629	634		10.1126/science.1209688			NOV 4 2011	2011										4667							WOS:000296494700044		
J	Kim, Hui-Seon; Lee, Chang-Ryul; Im, Jeong-Hyeok; Lee, Ki-Beom; Moehl, Thomas; Marchioro, Arianna; Moon, Soo-Jin; Humphry-Baker, Robin; Yum, Jun-Ho; Moser, Jacques E.; Graetzel, Michael; Park, Nam-Gyu								Lead Iodide Perovskite Sensitized All-Solid-State Submicron Thin Film Mesoscopic Solar Cell with Efficiency Exceeding 9%								SCIENTIFIC REPORTS				2						591	10.1038/srep00591			AUG 21 2012	2012										4180							WOS:000308140100001		
J	Zhou, Huanping; Chen, Qi; Li, Gang; Luo, Song; Song, Tze-bing; Duan, Hsin-Sheng; Hong, Ziruo; You, Jingbi; Liu, Yongsheng; Yang, Yang								Interface engineering of highly efficient perovskite solar cells								SCIENCE				345	6196			542	546		10.1126/science.1254050			AUG 1 2014	2014										3778							WOS:000339651300040		
J	Xing, Guichuan; Mathews, Nripan; Sun, Shuangyong; Lim, Swee Sien; Lam, Yeng Ming; Graetzel, Michael; Mhaisalkar, Subodh; Sum, Tze Chien								Long-Range Balanced Electron- and Hole-Transport Lengths in Organic-Inorganic CH3NH3PbI3								SCIENCE				342	6156			344	347		10.1126/science.1243167			OCT 18 2013	2013										3430							WOS:000325755100040		
J	Yang, Woon Seok; Noh, Jun Hong; Jeon, Nam Joong; Kim, Young Chan; Ryu, Seungchan; Seo, Jangwon; Seok, Sang Il								High-performance photovoltaic perovskite layers fabricated through intramolecular exchange								SCIENCE				348	6240			1234	1237		10.1126/science.aaa9272			JUN 12 2015	2015										3423							WOS:000356011500049		
J	Jeon, Nam Joong; Noh, Jun Hong; Kim, Young Chan; Yang, Woon Seok; Ryu, Seungchan; Seok, Sang Il								Solvent engineering for high-performance inorganic-organic hybrid perovskite solar cells								NATURE MATERIALS				13	9			897	903		10.1038/NMAT4014			SEP 2014	2014										3177							WOS:000341343500022		
J	Cheng, Yen-Ju; Yang, Sheng-Hsiung; Hsu, Chain-Shu								Synthesis of Conjugated Polymers for Organic Solar Cell Applications								CHEMICAL REVIEWS				109	11			5868	5923		10.1021/cr900182s			NOV 2009	2009										2911							WOS:000271856900020		
J	Jeon, Nam Joong; Noh, Jun Hong; Yang, Woon Seok; Kim, Young Chan; Ryu, Seungchan; Seo, Jangwon; Seok, Sang Il								Compositional engineering of perovskite materials for high-performance solar cells								NATURE				517	7535			476	+		10.1038/nature14133			JAN 22 2015	2015										2879							WOS:000348196500032		
