AUTHOR: (Budko, Sergey)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pressure induced superconductivity in CaFe(2)As(2)","Torikachvili, Milton S.; Bud'ko, Sergey L.; Ni, Ni; Canfield, Paul C.","","","","PHYSICAL REVIEW LETTERS","AUG 1 2008","2008","101","5","","","","","","057006","10.1103/PhysRevLett.101.057006","","","435","36.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","101","63","49","36","31","33","17","30","23","18","13"
"FeAs-Based Superconductivity: A Case Study of the Effects of Transition Metal Doping on BaFe2As2","Canfield, Paul C.; Bud'ko, Sergey L.","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 1","2010","2010","1","","","","","27","50","","10.1146/annurev-conmatphys-070909-104041","","","256","25.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","40","37","32","32","41","29","18","19","4"
"Evidence for a Lifshitz transition in electron-doped iron arsenic superconductors at the onset of superconductivity","Liu, Chang; Kondo, Takeshi; Fernandes, Rafael M.; Palczewski, An D.; Mun, Eun Deok; Ni, Ni; Thaler, Alexander N.; Bostwick, Aaron; Rotenberg, Eli; Schmalian, Joerg; Bud'ko, Sergey L.; Canfield, Paul C.; Kaminski, Adam","","","","NATURE PHYSICS","JUN 2010","2010","6","6","","","","419","423","","10.1038/NPHYS1656","","","176","17.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","31","18","19","21","13","18","20","17","9"
"Jump in specific heat at the superconducting transition temperature in Ba(Fe1-xCox)(2)As-2 and Ba(Fe1-xNix)(2)As-2 single crystals","Bud'ko, Sergey L.; Ni, Ni; Canfield, Paul C.","","","","PHYSICAL REVIEW B","JUN 2009","2009","79","22","","","","","","220516","10.1103/PhysRevB.79.220516","","","129","11.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","32","14","14","17","15","6","13","4","7","2"
"Temperature-Induced Lifshitz Transition in WTe2","Wu, Yun; Jo, Na Hyun; Ochi, Masayuki; Huang, Lunan; Mou, Daixiang; Bud'ko, Sergey L.; Canfield, P. C.; Trivedi, Nandini; Arita, Ryotaro; Kaminski, Adam","","","","PHYSICAL REVIEW LETTERS","OCT 12 2015","2015","115","16","","","","","","166602","10.1103/PhysRevLett.115.166602","","","84","16.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","23","26","23","8"
"Magnetic field effects on transport properties of PtSn4","Mun, Eundeok; Ko, Hyunjin; Miller, Gordon J.; Samolyuk, German D.; Bud'ko, Sergey L.; Canfield, Paul. C.","","","","PHYSICAL REVIEW B","JAN 31 2012","2012","85","3","","","","","","035135","10.1103/PhysRevB.85.035135","","","75","9.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","9","17","17","20","4"
"Thermoelectric power and Hall coefficient measurements on Ba(Fe1-xTx)(2)As-2 (T=Co and Cu)","Mun, Eun Deok; Bud'ko, Sergey L.; Ni, Ni; Thaler, Alex N.; Canfield, Paul C.","","","","PHYSICAL REVIEW B","AUG 2009","2009","80","5","","","","","","054517","10.1103/PhysRevB.80.054517","","","70","6.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","16","11","5","5","6","7","2","5","0"
"Effect of spatial confinement on magnetic hyperthermia via dipolar interactions in Fe3O4 nanoparticles for biomedical applications","Sadat, M. E.; Patel, Ronak; Sookoor, Jason; Bud'ko, Sergey L.; Ewing, Rodney C.; Zhang, Jiaming; Xu, Hong; Wang, Yilong; Pauletti, Giovanni M.; Mast, David B.; Shi, Donglu","","","","MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS","SEP 1 2014","2014","42","","","","","52","63","","10.1016/j.msec.2014.04.064","","","58","9.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","12","11","12","8"
"Metallic surface electronic state in half-Heusler compounds RPtBi (R = Lu, Dy, Gd)","Liu, Chang; Lee, Yongbin; Kondo, Takeshi; Mun, Eun Deok; Caudle, Malinda; Harmon, B. N.; Bud'ko, Sergey L.; Canfield, Paul C.; Kaminski, Adam","","","","PHYSICAL REVIEW B","MAY 26 2011","2011","83","20","","","","","","205133","10.1103/PhysRevB.83.205133","","","56","6.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","6","6","8","8","4","11","3"
"Anisotropic H-c2, thermodynamic and transport measurements, and pressure dependence of T-c in K2Cr3As3 single crystals","Kong, Tai; Bud'ko, Sergey L.; Canfield, Paul C.","","","","PHYSICAL REVIEW B","JAN 30 2015","2015","91","2","","","","","","020507","10.1103/PhysRevB.91.020507","","","49","9.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","10","12","8","5"
