AUTHOR IDENTIFIERS: (B-3957-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface","Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng","","","","NATURE PHYSICS","JUN 2009","2009","5","6","","","","438","442","","10.1038/NPHYS1270","","","3329","302.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","142","219","336","357","397","396","415","406","389","251","0"
"The quantum spin Hall effect: Theory and experiment","Koenig, Markus; Buhmann, Hartmut; Molenkamp, Laurens W.; Hughes, Taylor; Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, Shou-Cheng","","","","JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN","MAR 2008","2008","77","3","","","","","","031007","10.1143/JPSJ.77.031007","","","470","39.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","22","39","43","57","51","48","46","47","45","41","27","0"
"Model Hamiltonian for topological insulators","Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, HaiJun; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW B","JUL 26 2010","2010","82","4","","","","","","045122","10.1103/PhysRevB.82.045122","","","440","44.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","33","53","47","72","53","56","49","51","24","0"
"Quantum spin Hall effect in inverted Type-II semiconductors","Liu, Chaoxing; Hughes, Taylor L.; Qi, Xiao-Liang; Wang, Kang; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW LETTERS","JUN 13 2008","2008","100","23","","","","","","236601","10.1103/PhysRevLett.100.236601","","","438","36.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","10","9","25","41","62","59","83","64","62","17","0"
"Minimal two-band model of the superconducting iron oxypnictides","Raghu, S.; Qi, Xiao-Liang; Liu, Chao-Xing; Scalapino, D. J.; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW B","JUN 2008","2008","77","22","","","","","","220503","10.1103/PhysRevB.77.220503","","","386","32.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","68","48","44","27","35","29","27","34","17","17","14","0"
"Magnetic Impurities on the Surface of a Topological Insulator","Liu, Qin; Liu, Chao-Xing; Xu, Cenke; Qi, Xiao-Liang; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW LETTERS","APR 17 2009","2009","102","15","","","","","","156603","10.1103/PhysRevLett.102.156603","","","356","32.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","22","24","47","45","41","36","45","42","29","19","0"
"Quantum anomalous Hall effect in Hg1-yMnyTe quantum wells","Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW LETTERS","OCT 3 2008","2008","101","14","","","","","","146802","10.1103/PhysRevLett.101.146802","","","352","29.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","9","18","30","36","40","49","50","42","47","26","0"
"Oscillatory crossover from two-dimensional to three-dimensional topological insulators","Liu, Chao-Xing; Zhang, HaiJun; Yan, Binghai; Qi, Xiao-Liang; Frauenheim, Thomas; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW B","JAN 2010","2010","81","4","","","","","","041307","10.1103/PhysRevB.81.041307","","","312","31.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","30","38","37","40","40","31","39","26","12","0"
"Quantum Hall Effect from the Topological Surface States of Strained Bulk HgTe","Bruene, C.; Liu, C. X.; Novik, E. G.; Hankiewicz, E. M.; Buhmann, H.; Chen, Y. L.; Qi, X. L.; Shen, Z. X.; Zhang, S. C.; Molenkamp, L. W.","","","","PHYSICAL REVIEW LETTERS","MAR 22 2011","2011","106","12","","","","","","126803","10.1103/PhysRevLett.106.126803","","","291","32.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","36","44","34","37","36","39","29","24","0"
"Landau Quantization of Topological Surface States in Bi2Se3","Cheng, Peng; Song, Canli; Zhang, Tong; Zhang, Yanyi; Wang, Yilin; Jia, Jin-Feng; Wang, Jing; Wang, Yayu; Zhu, Bang-Fen; Chen, Xi; Ma, Xucun; He, Ke; Wang, Lili; Dai, Xi; Fang, Zhong; Xie, Xincheng; Qi, Xiao-Liang; Liu, Chao-Xing; Zhang, Shou-Cheng; Xue, Qi-Kun","","","","PHYSICAL REVIEW LETTERS","AUG 9 2010","2010","105","7","","","","","","076801","10.1103/PhysRevLett.105.076801","","","272","27.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","30","54","47","35","36","20","16","18","9","0"
