AUTHOR IDENTIFIERS: (B-7424-2008)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"QUANTIZED CONDUCTANCE OF POINT CONTACTS IN A TWO-DIMENSIONAL ELECTRON-GAS","VANWEES, BJ; VANHOUTEN, H; BEENAKKER, CWJ; WILLIAMSON, JG; KOUWENHOVEN, LP; VANDERMAREL, D; FOXON, CT","","","","PHYSICAL REVIEW LETTERS","FEB 29 1988","1988","60","9","","","","848","850","","10.1103/PhysRevLett.60.848","","","2422","75.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","117","121","113","126","100","93","95","94","76","75","71","70","76","70","66","74","78","86","77","93","64","70","66","64","56","45","53","58","72","55","23"
"Random-matrix theory of quantum transport","Beenakker, CWJ","","","","REVIEWS OF MODERN PHYSICS","JUL 1997","1997","69","3","","","","731","808","","10.1103/RevModPhys.69.731","","","1705","74.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","56","71","80","88","79","93","67","118","85","86","94","80","75","69","68","79","77","69","81","86","62","36"
"QUANTUM TRANSPORT IN SEMICONDUCTOR NANOSTRUCTURES","BEENAKKER, CWJ; VANHOUTEN, H","","","","SOLID STATE PHYSICS","1991","1991","44","","","","","1","228","","","","","1107","38.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","41","54","75","78","67","58","59","51","28","33","31","34","18","27","32","30","37","32","28","30","41","29","30","40","33","31","31","17"
"THEORY OF COULOMB-BLOCKADE OSCILLATIONS IN THE CONDUCTANCE OF A QUANTUM DOT","BEENAKKER, CWJ","","","","PHYSICAL REVIEW B","JUL 15 1991","1991","44","4","","","","1646","1656","","10.1103/PhysRevB.44.1646","","","1094","37.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","20","33","51","38","40","30","35","31","36","50","57","48","41","47","55","45","44","42","42","41","39","39","29","35","33","38","31","16"
"Valley filter and valley valve in graphene","Rycerz, A.; Tworzydlo, J.; Beenakker, C. W. J.","","","","NATURE PHYSICS","MAR 2007","2007","3","3","","","","172","175","","10.1038/nphys547","","","914","70.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","41","50","56","54","69","63","89","104","96","117","108","42"
"Search for Majorana Fermions in Superconductors","Beenakker, C. W. J.","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 4","2013","2013","4","","","","","113","136","","10.1146/annurev-conmatphys-030212-184337","","","849","121.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","72","113","130","152","144","141","96"
"Colloquium: Andreev reflection and Klein tunneling in graphene","Beenakker, C. W. J.","","","","REVIEWS OF MODERN PHYSICS","OCT-DEC 2008","2008","80","4","","","","1337","1354","","10.1103/RevModPhys.80.1337","","","789","65.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","69","89","94","91","68","75","62","69","74","58","35"
"Sub-Poissonian shot noise in graphene","Tworzydlo, J.; Trauzettel, B.; Titov, M.; Rycerz, A.; Beenakker, C. W. J.","","","","PHYSICAL REVIEW LETTERS","JUN 23 2006","2006","96","24","","","","","","246802","10.1103/PhysRevLett.96.246802","","","600","42.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","52","65","51","60","59","43","51","54","41","35","27","28","20"
"ANDREEV REFLECTION IN FERROMAGNET-SUPERCONDUCTOR JUNCTIONS","DEJONG, MJM; BEENAKKER, CWJ","","","","PHYSICAL REVIEW LETTERS","FEB 27 1995","1995","74","9","","","","1657","1660","","10.1103/PhysRevLett.74.1657","","","467","18.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","24","36","36","37","28","22","35","21","24","31","16","18","23","26","16","11","14","14","8","12","4"
"Specular andreev Reflection in graphene","Beenakker, C. W. J.","","","","PHYSICAL REVIEW LETTERS","AUG 11 2006","2006","97","6","","","","","","067007","10.1103/PhysRevLett.97.067007","","","464","33.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","35","28","48","40","42","34","48","36","43","41","36","12"
