AUTHOR IDENTIFIERS: (C-1004-2011)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Observation of the spin Seebeck effect","Uchida, K.; Takahashi, S.; Harii, K.; Ieda, J.; Koshibae, W.; Ando, K.; Maekawa, S.; Saitoh, E.","","","","NATURE","OCT 9 2008","2008","455","7214","","","","778","781","","10.1038/nature07321","","","1123","93.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","52","62","86","104","136","138","130","148","165","91","0"
"Conversion of spin current into charge current at room temperature: Inverse spin-Hall effect","Saitoh, E; Ueda, M; Miyajima, H; Tatara, G","","","","APPLIED PHYSICS LETTERS","MAY 1 2006","2006","88","18","","","","","","182509","10.1063/1.2199473","","","1054","75.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","17","24","30","49","56","66","95","116","119","130","142","123","85","0"
"Spin caloritronics","Bauer, Gerrit E. W.; Saitoh, Eiji; van Wees, Bart J.","","","","NATURE MATERIALS","MAY 2012","2012","11","5","","","","391","399","","10.1038/NMAT3301","","","831","103.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","78","88","119","122","149","159","93","0"
"Transmission of electrical signals by spin-wave interconversion in a magnetic insulator","Kajiwara, Y.; Harii, K.; Takahashi, S.; Ohe, J.; Uchida, K.; Mizuguchi, M.; Umezawa, H.; Kawai, H.; Ando, K.; Takanashi, K.; Maekawa, S.; Saitoh, E.","","","","NATURE","MAR 11 2010","2010","464","7286","","","","262","U141","","10.1038/nature08876","","","825","82.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","51","77","82","106","113","107","105","106","65","0"
"Spin Seebeck insulator","Uchida, K.; Xiao, J.; Adachi, H.; Ohe, J.; Takahashi, S.; Ieda, J.; Ota, T.; Kajiwara, Y.; Umezawa, H.; Kawai, H.; Bauer, G. E. W.; Maekawa, S.; Saitoh, E.","","","","NATURE MATERIALS","NOV 2010","2010","9","11","","","","894","897","","10.1038/NMAT2856","","","705","70.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","32","57","66","93","99","98","100","89","67","0"
"Spin Hall Magnetoresistance Induced by a Nonequilibrium Proximity Effect","Nakayama, H.; Althammer, M.; Chen, Y. -T.; Uchida, K.; Kajiwara, Y.; Kikuchi, D.; Ohtani, T.; Gepraegs, S.; Opel, M.; Takahashi, S.; Gross, R.; Bauer, G. E. W.; Goennenwein, S. T. B.; Saitoh, E.","","","","PHYSICAL REVIEW LETTERS","MAY 13 2013","2013","110","20","","","","","","206601","10.1103/PhysRevLett.110.206601","","","430","61.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","43","53","89","89","86","50","0"
"Theory of magnon-driven spin Seebeck effect","Xiao, Jiang; Bauer, Gerrit E. W.; Uchida, Ken-chi; Saitoh, Eiji; Maekawa, Sadamichi","","","","PHYSICAL REVIEW B","JUN 14 2010","2010","81","21","","","","","","214418","10.1103/PhysRevB.81.214418","","","383","38.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","27","34","37","35","47","45","64","60","25","0"
"Observation of longitudinal spin-Seebeck effect in magnetic insulators","Uchida, Ken-ichi; Adachi, Hiroto; Ota, Takeru; Nakayama, Hiroyasu; Maekawa, Sadamichi; Saitoh, Eiji","","","","APPLIED PHYSICS LETTERS","OCT 25 2010","2010","97","17","","","","","","172505","10.1063/1.3507386","","","379","37.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","22","32","39","51","59","69","64","35","0"
"Electric manipulation of spin relaxation using the spin Hall effect","Ando, K.; Takahashi, S.; Harii, K.; Sasage, K.; Ieda, J.; Maekawa, S.; Saitoh, E.","","","","PHYSICAL REVIEW LETTERS","JUL 18 2008","2008","101","3","","","","","","036601","10.1103/PhysRevLett.101.036601","","","342","28.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","23","17","24","31","44","41","38","52","42","22","0"
"Theory of spin Hall magnetoresistance","Chen, Yan-Ting; Takahashi, Saburo; Nakayama, Hiroyasu; Althammer, Matthias; Goennenwein, Sebastian T. B.; Saitoh, Eiji; Bauer, Gerrit E. W.","","","","PHYSICAL REVIEW B","APR 12 2013","2013","87","14","","","","","","144411","10.1103/PhysRevB.87.144411","","","314","44.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","29","32","61","64","64","48","0"
