PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Parkin, Stuart S. P.; Hayashi, Masamitsu; Thomas, Luc								Magnetic domain-wall racetrack memory								SCIENCE				320	5873			190	194		10.1126/science.1145799			APR 11 2008	2008										2427							WOS:000254836700032		
J	Liu, Luqiao; Pai, Chi-Feng; Li, Y.; Tseng, H. W.; Ralph, D. C.; Buhrman, R. A.								Spin-Torque Switching with the Giant Spin Hall Effect of Tantalum								SCIENCE				336	6081			555	558		10.1126/science.1218197			MAY 4 2012	2012										1452							WOS:000303498800037		
J	Chappert, Claude; Fert, Albert; Van Dau, Frederic Nguyen								The emergence of spin electronics in data storage								NATURE MATERIALS				6	11			813	823		10.1038/nmat2024			NOV 2007	2007										1362							WOS:000250615400018		
J	Mihai Miron, Ioan; Garello, Kevin; Gaudin, Gilles; Zermatten, Pierre-Jean; Costache, Marius V.; Auffret, Stephane; Bandiera, Sebastien; Rodmacq, Bernard; Schuhl, Alain; Gambardella, Pietro								Perpendicular switching of a single ferromagnetic layer induced by in-plane current injection								NATURE				476	7359			189	U88		10.1038/nature10309			AUG 11 2011	2011										975							WOS:000293731900032		
J	Tokura, Y								Critical features of colossal magnetoresistive manganites								REPORTS ON PROGRESS IN PHYSICS				69	3			797	851		10.1088/0034-4885/69/3/R06			MAR 2006	2006										912							WOS:000236697700006		
J	Hayes, Robert; Warr, Gregory G.; Atkin, Rob								Structure and Nanostructure in Ionic Liquids								CHEMICAL REVIEWS				115	13			6357	6426		10.1021/cr500411q			JUL 8 2015	2015										769							WOS:000357963900003		
J	Castelnovo, C.; Moessner, R.; Sondhi, S. L.								Magnetic monopoles in spin ice								NATURE				451	7174			42	45		10.1038/nature06433			JAN 3 2008	2008										758							WOS:000252079300028		
J	Sinova, Jairo; Valenzuela, Sergio O.; Wunderlich, J.; Back, C. H.; Jungwirth, T.								Spin Hall effects								REVIEWS OF MODERN PHYSICS				87	4			1213	1259		10.1103/RevModPhys.87.1213			OCT 27 2015	2015										665							WOS:000363508800001		
J	Liu, Luqiao; Lee, O. J.; Gudmundsen, T. J.; Ralph, D. C.; Buhrman, R. A.								Current-Induced Switching of Perpendicularly Magnetized Magnetic Layers Using Spin Torque from the Spin Hall Effect								PHYSICAL REVIEW LETTERS				109	9					096602	10.1103/PhysRevLett.109.096602			AUG 29 2012	2012										636							WOS:000308134000013		
J	Horiuchi, Sachio; Tokura, Yoshinori								Organic ferroelectrics								NATURE MATERIALS				7	5			357	366		10.1038/nmat2137			MAY 2008	2008										619							WOS:000255257600015		
J	Liu, Luqiao; Moriyama, Takahiro; Ralph, D. C.; Buhrman, R. A.								Spin-Torque Ferromagnetic Resonance Induced by the Spin Hall Effect								PHYSICAL REVIEW LETTERS				106	3					036601	10.1103/PhysRevLett.106.036601			JAN 20 2011	2011										604							WOS:000286739100010		
J	Chumak, A. V.; Vasyuchka, V. I.; Serga, A. A.; Hillebrands, B.								Magnon spintronics								NATURE PHYSICS				11	6			453	461		10.1038/NPHYS3347			JUN 2015	2015										578							WOS:000355552200009		
J	Pai, Chi-Feng; Liu, Luqiao; Li, Y.; Tseng, H. W.; Ralph, D. C.; Buhrman, R. A.								Spin transfer torque devices utilizing the giant spin Hall effect of tungsten								APPLIED PHYSICS LETTERS				101	12					122404	10.1063/1.4753947			SEP 17 2012	2012										537							WOS:000309425700052		
J	Pesin, Dmytro; MacDonald, Allan H.								Spintronics and pseudospintronics in graphene and topological insulators								NATURE MATERIALS				11	5			409	416		10.1038/NMAT3305			MAY 2012	2012										534							WOS:000303108500017		
