IDENTIFICADORES DE AUTOR: (C-1821-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Stable cycling of double-walled silicon nanotube battery anodes through solid-electrolyte interphase control","Wu, Hui; Chan, Gerentt; Choi, Jang Wook; Ryu, Ill; Yao, Yan; McDowell, Matthew T.; Lee, Seok Woo; Jackson, Ariel; Yang, Yuan; Hu, Liangbing; Cui, Yi","","","","NATURE NANOTECHNOLOGY","MAY 2012","2012","7","5","","","","309","314","","10.1038/NNANO.2012.35","","","1422","177.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","144","205","233","240","247","199","129","0"
"Nitrogen-Doped Graphene for High-Performance Ultracapacitors and the Importance of Nitrogen-Doped Sites at Basal Planes","Jeong, Hyung Mo; Lee, Jung Woo; Shin, Weon Ho; Choi, Yoon Jeong; Shin, Hyun Joon; Kang, Jeung Ku; Choi, Jang Wook","","","","NANO LETTERS","JUN 2011","2011","11","6","","","","2472","2477","","10.1021/nl2009058","","","1073","119.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","55","104","158","176","153","168","152","105","0"
"Stretchable, Porous, and Conductive Energy Textiles","Hu, Liangbing; Pasta, Mauro; La Mantia, Fabio; Cui, LiFeng; Jeong, Sangmoo; Deshazer, Heather Dawn; Choi, Jang Wook; Han, Seung Min; Cui, Yi","","","","NANO LETTERS","FEB 2010","2010","10","2","","","","708","714","","10.1021/nl903949m","","","995","99.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","48","65","106","117","148","142","149","117","87","0"
"A 160-kilobit molecular electronic memory patterned at 10(11) bits per square centimetre","Green, Jonathan E.; Choi, Jang Wook; Boukai, Akram; Bunimovich, Yuri; Johnston-Halperin, Ezekiel; DeIonno, Erica; Luo, Yi; Sheriff, Bonnie A.; Xu, Ke; Shin, Young Shik; Tseng, Hsian-Rong; Stoddart, J. Fraser; Heath, James R.","","","","NATURE","JAN 25 2007","2007","445","7126","","","","414","417","","10.1038/nature05462","","","894","68.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","93","117","105","116","90","72","64","48","49","41","32","16","0"
"Promise and reality of post-lithium-ion batteries with high energy densities","Choi, Jang Wook; Aurbach, Doron","","","","NATURE REVIEWS MATERIALS","APR 2016","2016","1","4","","","","","","UNSP 16013","10.1038/natrevmats.2016.13","","","883","220.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","178","366","304","0"
"3D Macroporous Graphene Frameworks for Supercapacitors with High Energy and Power Densities","Choi, Bong Gill; Yang, MinHo; Hong, Won Hi; Choi, Jang Wook; Huh, Yun Suk","","","","ACS NANO","MAY 2012","2012","6","5","","","","4020","4028","","10.1021/nn3003345","","","872","109.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","78","126","175","152","137","123","70","0"
"Highly conductive paper for energy-storage devices","Hu, Liangbing; Choi, Jang Wook; Yang, Yuan; Jeong, Sangmoo; La Mantia, Fabio; Cui, Li-Feng; Cui, Yi","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","DEC 22 2009","2009","106","51","","","","21490","21494","","10.1073/pnas.0908858106","","","814","74.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","49","82","100","111","115","80","115","83","54","0"
"Electrospun Core-Shell Fibers for Robust Silicon Nanoparticle-Based Lithium Ion Battery Anodes","Hwang, Tae Hoon; Lee, Yong Min; Kong, Byung-Seon; Seo, Jin-Seok; Choi, Jang Wook","","","","NANO LETTERS","FEB 2012","2012","12","2","","","","802","807","","10.1021/nl203817r","","","390","48.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","45","65","60","63","61","52","29","0"
"Mussel-Inspired Polydopamine-Treated Polyethylene Separators for High-Power Li-Ion Batteries","Ryou, Myung-Hyun; Lee, Yong Min; Park, Jung-Ki; Choi, Jang Wook","","","","ADVANCED MATERIALS","JUL 19 2011","2011","23","27","","","","3066","+","","10.1002/adma.201100303","","","380","42.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","39","49","59","48","69","56","45","0"
"Light-Weight Free-Standing Carbon Nanotube-Silicon Films for Anodes of Lithium Ion Batteries","Cui, Li-Feng; Hu, Liangbing; Choi, Jang Wook; Cui, Yi","","","","ACS NANO","JUL 2010","2010","4","7","","","","3671","3678","","10.1021/nn100619m","","","361","36.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","21","27","44","58","46","54","37","43","28","0"
