AUTHOR IDENTIFIERS: (C-4098-2017)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Cavity optomechanics","Aspelmeyer, Markus; Kippenberg, Tobias J.; Marquardt, Florian","","","","REVIEWS OF MODERN PHYSICS","DEC 30 2014","2014","86","4","","","","1391","1452","","10.1103/RevModPhys.86.1391","","","1618","269.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","238","375","379","403","222"
"Laser cooling of a nanomechanical oscillator into its quantum ground state","Chan, Jasper; Mayer Alegre, T. P.; Safavi-Naeini, Amir H.; Hill, Jeff T.; Krause, Alex; Groeblacher, Simon; Aspelmeyer, Markus; Painter, Oskar","","","","NATURE","OCT 6 2011","2011","478","7367","","","","89","92","","10.1038/nature10461","","","1173","130.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","131","153","157","177","158","159","157","72"
"Experimental one-way quantum computing","Walther, P; Resch, KJ; Rudolph, T; Schenck, E; Weinfurter, H; Vedral, V; Aspelmeyer, M; Zeilinger, A","","","","NATURE","MAR 10 2005","2005","434","7030","","","","169","176","","10.1038/nature03347","","","713","47.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","51","89","80","76","63","49","38","37","36","38","42","33","34","28"
"Self-cooling of a micromirror by radiation pressure","Gigan, S.; Boehm, H. R.; Paternostro, M.; Blaser, F.; Langer, G.; Hertzberg, J. B.; Schwab, K. C.; Baeuerle, D.; Aspelmeyer, M.; Zeilinger, A.","","","","NATURE","NOV 2 2006","2006","444","7115","","","","67","70","","10.1038/nature05273","","","633","45.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","32","64","64","56","69","58","63","48","53","38","32","34","20"
"Observation of strong coupling between a micromechanical resonator and an optical cavity field","Groeblacher, Simon; Hammerer, Klemens; Vanner, Michael R.; Aspelmeyer, Markus","","","","NATURE","AUG 6 2009","2009","460","7256","","","","724","727","","10.1038/nature08171","","","520","47.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","29","53","53","80","60","56","48","51","57","27"
"Optomechanical entanglement between a movable mirror and a cavity field","Vitali, D.; Gigan, S.; Ferreira, A.; Boehm, H. R.; Tombesi, P.; Guerreiro, A.; Vedral, V.; Zeilinger, A.; Aspelmeyer, M.","","","","PHYSICAL REVIEW LETTERS","JAN 19 2007","2007","98","3","","","","","","030405","10.1103/PhysRevLett.98.030405","","","486","37.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","28","28","21","46","43","50","34","39","49","58","52","29"
"De Broglie wavelength of a non-local four-photon state","Walther, P; Pan, JW; Aspelmeyer, M; Ursin, R; Gasparoni, S; Zeilinger, A","","","","NATURE","MAY 13 2004","2004","429","6988","","","","158","161","","10.1038/nature02552","","","343","21.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","18","37","30","31","34","29","22","22","15","12","24","23","19","9"
"Ground-state cooling of a micromechanical oscillator: Comparing cold damping and cavity-assisted cooling schemes","Genes, C.; Vitali, D.; Tombesi, P.; Gigan, S.; Aspelmeyer, M.","","","","PHYSICAL REVIEW A","MAR 2008","2008","77","3","","","","","","033804","10.1103/PhysRevA.77.033804","","","323","26.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","24","19","38","27","35","29","34","35","24","29","15"
"Squeezed light from a silicon micromechanical resonator","Safavi-Naeini, Amir H.; Groeblacher, Simon; Hill, Jeff T.; Chan, Jasper; Aspelmeyer, Markus; Painter, Oskar","","","","NATURE","AUG 8 2013","2013","500","7461","","","","185","189","","10.1038/nature12307","","","291","41.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","39","55","63","46","53","24"
"Probing Planck-scale physics with quantum optics","Pikovski, Igor; Vanner, Michael R.; Aspelmeyer, Markus; Kim, M. S.; Brukner, Caslav","","","","NATURE PHYSICS","MAY 2012","2012","8","5","","","","393","397","","10.1038/NPHYS2262","","","244","30.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","41","34","34","38","38","37","9"
"Large Quantum Superpositions and Interference of Massive Nanometer-Sized Objects","Romero-Isart, O.; Pflanzer, A. C.; Blaser, F.; Kaltenbaek, R.; Kiesel, N.; Aspelmeyer, M.; Cirac, J. I.","","","","PHYSICAL REVIEW LETTERS","JUL 7 2011","2011","107","2","","","","","","020405","10.1103/PhysRevLett.107.020405","","","222","24.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","23","23","37","27","33","30","27","17"
