AUTHOR IDENTIFIERS: (D-2521-2012)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Magnetic domain-wall racetrack memory","Parkin, Stuart S. P.; Hayashi, Masamitsu; Thomas, Luc","","","","SCIENCE","APR 11 2008","2008","320","5873","","","","190","194","","10.1126/science.1145799","","","2427","202.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","118","165","177","228","204","256","288","272","261","265","167","0"
"OSCILLATIONS IN EXCHANGE COUPLING AND MAGNETORESISTANCE IN METALLIC SUPERLATTICE STRUCTURES - CO/RU, CO/CR, AND FE/CR","PARKIN, SSP; MORE, N; ROCHE, KP","","","","PHYSICAL REVIEW LETTERS","MAY 7 1990","1990","64","19","","","","2304","2307","","10.1103/PhysRevLett.64.2304","","","2218","73.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","89","110","181","142","132","139","116","98","94","83","56","84","63","73","46","62","66","74","62","47","57","39","40","45","56","36","46","46","27","0"
"Giant tunnelling magnetoresistance at room temperature with MgO (100) tunnel barriers","Parkin, SSP; Kaiser, C; Panchula, A; Rice, PM; Hughes, B; Samant, M; Yang, SH","","","","NATURE MATERIALS","DEC 2004","2004","3","12","","","","862","867","","10.1038/nmat1256","","","1999","124.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","68","158","166","145","136","135","142","158","144","133","132","130","148","124","79","0"
"GIANT MAGNETORESISTANCE IN SOFT FERROMAGNETIC MULTILAYERS","DIENY, B; SPERIOSU, VS; PARKIN, SSP; GURNEY, BA; WILHOIT, DR; MAURI, D","","","","PHYSICAL REVIEW B","JAN 1 1991","1991","43","1","B","","","1297","1300","","10.1103/PhysRevB.43.1297","","","1425","49.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","27","38","48","43","64","61","58","87","76","55","79","52","51","50","45","44","62","45","33","46","48","51","56","45","42","38","44","29","0"
"OSCILLATORY MAGNETIC EXCHANGE COUPLING THROUGH THIN COPPER LAYERS","PARKIN, SSP; BHADRA, R; ROCHE, KP","","","","PHYSICAL REVIEW LETTERS","APR 22 1991","1991","66","16","","","","2152","2155","","10.1103/PhysRevLett.66.2152","","","1130","38.97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","81","135","106","76","82","54","62","53","41","27","41","27","36","21","36","23","32","30","22","12","15","15","16","17","10","20","18","5","0"
"Exchange-biased magnetic tunnel junctions and application to nonvolatile magnetic random access memory (invited)","Parkin, SSP; Roche, KP; Samant, MG; Rice, PM; Beyers, RB; Scheuerlein, RE; O'Sullivan, EJ; Brown, SL; Bucchigano, J; Abraham, DW; Lu, Y; Rooks, M; Trouilloud, PL; Wanner, RA; Gallagher, WJ","","","","JOURNAL OF APPLIED PHYSICS","APR 15 1999","1999","85","8","2B","","","5828","5833","","10.1063/1.369932","43rd Annual Conference on Magnetism and Magnetic Materials","NOV 09-12, 1998","872","41.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","68","74","100","90","79","55","60","38","29","35","26","20","18","27","26","28","30","13","27","18","0"
"SYSTEMATIC VARIATION OF THE STRENGTH AND OSCILLATION PERIOD OF INDIRECT MAGNETIC EXCHANGE COUPLING THROUGH THE 3D, 4D, AND 5D TRANSITION-METALS","PARKIN, SSP","","","","PHYSICAL REVIEW LETTERS","DEC 16 1991","1991","67","25","","","","3598","3601","","10.1103/PhysRevLett.67.3598","","","825","28.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","68","51","48","41","44","39","45","28","22","23","24","23","20","29","21","25","22","17","27","26","23","15","25","24","21","31","12","0"
"Simple rules for the understanding of Heusler compounds","Graf, Tanja; Felser, Claudia; Parkin, Stuart S. P.","","","","PROGRESS IN SOLID STATE CHEMISTRY","2011","2011","39","1","","","","1","50","","10.1016/j.progsolidstchem.2011.02.001","","","821","91.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","35","64","82","104","135","129","155","112","0"
"ANOMALOUS DISAPPEARANCE OF HIGH-TC SUPERCONDUCTIVITY AT HIGH HOLE CONCENTRATION IN METALLIC LA2-XSRXCUO4","TORRANCE, JB; TOKURA, Y; NAZZAL, AI; BEZINGE, A; HUANG, TC; PARKIN, SSP","","","","PHYSICAL REVIEW LETTERS","AUG 29 1988","1988","61","9","","","","1127","1130","","10.1103/PhysRevLett.61.1127","","","785","24.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","124","112","103","74","57","61","40","30","27","23","11","16","8","6","9","11","12","7","7","7","6","3","2","5","2","2","5","2","2","5","0","0"
"GIANT MAGNETORESISTANCE IN ANTIFERROMAGNETIC CO/CU MULTILAYERS","PARKIN, SSP; LI, ZG; SMITH, DJ","","","","APPLIED PHYSICS LETTERS","JUN 10 1991","1991","58","23","","","","2710","2712","","10.1063/1.104765","","","519","17.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","30","55","39","30","42","25","24","31","30","27","18","12","15","15","34","8","8","6","6","5","6","6","7","9","7","7","9","4","0"
"Current-controlled magnetic domain-wall nanowire shift register","Hayashi, Masamitsu; Thomas, Luc; Moriya, Rai; Rettner, Charles; Parkin, Stuart S. P.","","","","SCIENCE","APR 11 2008","2008","320","5873","","","","209","211","","10.1126/science.1154587","","","449","37.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","29","34","42","41","46","48","45","51","34","43","22","0"
"MAGNETOTRANSPORT PROPERTIES OF MAGNETICALLY SOFT SPIN-VALVE STRUCTURES","DIENY, B; SPERIOSU, VS; METIN, S; PARKIN, SSP; GURNEY, BA; BAUMGART, P; WILHOIT, DR","","","","JOURNAL OF APPLIED PHYSICS","APR 15 1991","1991","69","8","2A","","","4774","4779","","10.1063/1.348252","35TH ANNUAL CONF ON MAGNETISM AND MAGNETIC MATERIALS","OCT 29-NOV 01, 1990","434","14.97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","14","24","21","29","23","24","23","24","23","21","19","15","10","18","18","19","7","8","6","10","7","11","8","8","13","12","8","0"
"Quenching of magnetoresistance by hot electrons in magnetic tunnel junctions","Zhang, S; Levy, PM; Marley, AC; Parkin, SSP","","","","PHYSICAL REVIEW LETTERS","NOV 10 1997","1997","79","19","","","","3744","3747","","10.1103/PhysRevLett.79.3744","","","426","18.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","35","27","22","32","18","30","25","34","35","17","20","23","11","17","6","15","9","12","10","8","6","0"
"SURFACE, INTERFACE, AND THIN-FILM MAGNETISM","FALICOV, LM; PIERCE, DT; BADER, SD; GRONSKY, R; HATHAWAY, KB; HOPSTER, HJ; LAMBETH, DN; PARKIN, SSP; PRINZ, G; SALAMON, M; SCHULLER, IK; VICTORA, RH","","","","JOURNAL OF MATERIALS RESEARCH","JUN 1990","1990","5","6","","","","1299","1340","","10.1557/JMR.1990.1299","","","406","13.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","34","38","43","44","43","36","23","21","17","4","9","13","4","11","6","10","7","3","3","5","5","3","3","5","4","4","1","1","3","0"
"Microstructured magnetic tunnel junctions","Gallagher, WJ; Parkin, SSP; Lu, Y; Bian, XP; Marley, A; Roche, KP; Altman, RA; Rishton, SA; Jahnes, C; Shaw, TM; Xiao, G","","","","JOURNAL OF APPLIED PHYSICS","APR 15 1997","1997","81","8","2A","","","3741","3746","","10.1063/1.364744","41st Annual Conference on Magnetism and Magnetic Materials","NOV 12-15, 1996","382","16.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","28","48","53","36","26","36","29","21","20","16","7","5","7","10","7","7","3","6","1","4","5","4","0"
"Magnetically engineered spintronic sensors and memory","Parkin, S; Jiang, X; Kaiser, C; Panchula, A; Roche, K; Samant, M","","","","PROCEEDINGS OF THE IEEE","MAY 2003","2003","91","5","","","","661","680","","10.1109/JPROC.2003.811807","","","378","22.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","24","26","21","24","30","21","18","22","23","19","26","22","19","29","25","26","0"
"TL1CAN-1BA2CUNO2N+3 (N=1,2,3) - A NEW CLASS OF CRYSTAL-STRUCTURES EXHIBITING VOLUME SUPERCONDUCTIVITY AT UP TO CONGRUENT-TO 110-K","PARKIN, SSP; LEE, VY; NAZZAL, AI; SAVOY, R; BEYERS, R; LAPLACA, SJ","","","","PHYSICAL REVIEW LETTERS","AUG 8 1988","1988","61","6","","","","750","753","","10.1103/PhysRevLett.61.750","","","369","11.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","75","39","30","27","28","35","17","13","10","11","7","5","7","4","3","2","1","1","6","4","1","4","3","2","3","0","2","2","0","6","3","0"
"BULK SUPERCONDUCTIVITY AT 125-K IN TL2CA2BA2CU3OX","PARKIN, SSP; LEE, VY; ENGLER, EM; NAZZAL, AI; HUANG, TC; GORMAN, G; SAVOY, R; BEYERS, R","","","","PHYSICAL REVIEW LETTERS","JUN 13 1988","1988","60","24","","","","2539","2542","","10.1103/PhysRevLett.60.2539","","","361","11.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","99","41","34","28","22","26","7","3","9","4","3","3","3","4","3","2","1","0","2","1","2","4","4","1","5","1","2","0","2","3","5","0"
