IDENTIFICADORES DE AUTOR: (D-2864-2009)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Feshbach resonances in ultracold gases","Chin, Cheng; Grimm, Rudolf; Julienne, Paul; Tiesinga, Eite","","","","REVIEWS OF MODERN PHYSICS","APR 29 2010","2010","82","2","","","","1225","1286","","10.1103/RevModPhys.82.1225","","","1726","172.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","128","169","196","202","190","210","224","218","145","0"
"Bose-Einstein condensation of molecules","Jochim, S; Bartenstein, M; Altmeyer, A; Hendl, G; Riedl, S; Chin, C; Denschlag, JH; Grimm, R","","","","SCIENCE","DEC 19 2003","2003","302","5653","","","","2101","2103","","10.1126/science.1093280","","","895","52.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","122","135","83","69","68","54","38","53","41","23","30","24","19","16","9","0"
"Optical dipole traps for neutral atoms","Grimm, R; Weidemuller, M; Ovchinnikov, YB","","","Bederson, B; Walther, H","ADVANCES IN ATOMIC MOLECULAR, AND OPTICAL PHYSICS, VOL. 42","2000","2000","42","","","","","95","170","","10.1016/S1049-250X(08)60186-X","","","812","40.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","20","29","21","31","34","34","32","45","47","46","54","46","47","50","36","67","63","61","36","0"
"Evidence for Efimov quantum states in an ultracold gas of caesium atoms","Kraemer, T; Mark, M; Waldburger, P; Danzl, JG; Chin, C; Engeser, B; Lange, AD; Pilch, K; Jaakkola, A; Nagerl, HC; Grimm, R","","","","NATURE","MAR 16 2006","2006","440","7082","","","","315","318","","10.1038/nature04626","","","698","49.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","42","49","71","50","62","60","60","57","45","42","56","52","33","0"
"Observation of the pairing gap in a strongly interacting Fermi gas","Chin, C; Bartenstein, M; Altmeyer, A; Riedl, S; Jochim, S; Denschlag, JH; Grimm, R","","","","SCIENCE","AUG 20 2004","2004","305","5687","","","","1128","1130","","10.1126/science.1100818","","","648","40.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","88","107","89","72","62","43","27","30","23","16","17","20","16","16","10","0"
"Crossover from a molecular Bose-Einstein condensate to a degenerate Fermi gas","Bartenstein, M; Altmeyer, A; Riedl, S; Jochim, S; Chin, C; Denschlag, JH; Grimm, R","","","","PHYSICAL REVIEW LETTERS","MAR 26 2004","2004","92","12","","","","","","120401","10.1103/PhysRevLett.92.120401","","","542","33.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","80","93","62","49","42","26","19","21","19","21","16","21","9","14","8","0"
"Bose-Einstein Condensation of Erbium","Aikawa, K.; Frisch, A.; Mark, M.; Baier, S.; Rietzler, A.; Grimm, R.; Ferlaino, F.","","","","PHYSICAL REVIEW LETTERS","MAY 21 2012","2012","108","21","","","","","","210401","10.1103/PhysRevLett.108.210401","","","470","58.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","78","70","57","77","54","74","29","0"
"Collective excitations of a degenerate gas at the BEC-BCS crossover","Bartenstein, M; Altmeyer, A; Riedl, S; Jochim, S; Chin, C; Denschlag, JH; Grimm, R","","","","PHYSICAL REVIEW LETTERS","MAY 21 2004","2004","92","20","","","","","","203201","10.1103/PhysRevLett.92.203201","","","461","28.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","67","80","45","31","33","23","23","23","22","20","22","14","20","14","7","0"
"Tuning the scattering length with an optically induced Feshbach resonance","Theis, M; Thalhammer, G; Winkler, K; Hellwig, M; Ruff, G; Grimm, R; Denschlag, JH","","","","PHYSICAL REVIEW LETTERS","SEP 17 2004","2004","93","12","","","","","","123001","10.1103/PhysRevLett.93.123001","","","389","24.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","27","34","22","34","34","34","32","24","25","23","27","19","20","14","16","0"
"Repulsively bound atom pairs in an optical lattice","Winkler, K.; Thalhammer, G.; Lang, F.; Grimm, R.; Denschlag, J. Hecker; Daley, A. J.; Kantian, A.; Buechler, H. P.; Zoller, P.","","","","NATURE","JUN 15 2006","2006","441","7095","","","","853","856","","10.1038/nature04918","","","355","25.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","22","29","34","31","37","34","25","21","21","26","33","26","5","0"
