IDENTIFICADORES DE AUTOR: (E-1879-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Measurement of the elastic properties and intrinsic strength of monolayer graphene","Lee, Changgu; Wei, Xiaoding; Kysar, Jeffrey W.; Hone, James","","","","SCIENCE","JUL 18 2008","2008","321","5887","","","","385","388","","10.1126/science.1157996","","","10769","897.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","125","330","555","820","1017","1224","1310","1331","1457","1545","1038","0"
"Atomically Thin MoS2: A New Direct-Gap Semiconductor","Mak, Kin Fai; Lee, Changgu; Hone, James; Shan, Jie; Heinz, Tony F.","","","","PHYSICAL REVIEW LETTERS","SEP 24 2010","2010","105","13","","","","","","136805","10.1103/PhysRevLett.105.136805","","","4812","481.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","96","275","473","708","829","920","1122","360","0"
"Ultrahigh electron mobility in suspended graphene","Bolotin, K. I.; Sikes, K. J.; Jiang, Z.; Klima, M.; Fudenberg, G.; Hone, J.; Kim, P.; Stormer, H. L.","","","","SOLID STATE COMMUNICATIONS","JUN 2008","2008","146","9-10","","","","351","355","","10.1016/j.ssc.2008.02.024","","","4490","374.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","130","241","329","430","435","498","493","516","545","506","323","0"
"Boron nitride substrates for high-quality graphene electronics","Dean, C. R.; Young, A. F.; Meric, I.; Lee, C.; Wang, L.; Sorgenfrei, S.; Watanabe, K.; Taniguchi, T.; Kim, P.; Shepard, K. L.; Hone, J.","","","","NATURE NANOTECHNOLOGY","OCT 2010","2010","5","10","","","","722","726","","10.1038/nnano.2010.172","","","3383","338.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","117","249","320","400","450","471","529","509","334","0"
"Anomalous Lattice Vibrations of Single- and Few-Layer MoS2","Lee, Changgu; Yan, Hugen; Brus, Louis E.; Heinz, Tony F.; Hone, James; Ryu, Sunmin","","","","ACS NANO","MAY 2010","2010","4","5","","","","2695","2700","","10.1021/nn1003937","","","2241","224.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","57","150","225","299","406","407","400","275","0"
"One-Dimensional Electrical Contact to a Two-Dimensional Material","Wang, L.; Meric, I.; Huang, P. Y.; Gao, Q.; Gao, Y.; Tran, H.; Taniguchi, T.; Watanabe, K.; Campos, L. M.; Muller, D. A.; Guo, J.; Kim, P.; Hone, J.; Shepard, K. L.; Dean, C. R.","","","","SCIENCE","NOV 1 2013","2013","342","6158","","","","614","617","","10.1126/science.1244358","","","968","138.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","124","163","214","221","177","0"
"Atomically thin p-n junctions with van der Waals heterointerfaces","Lee, Chul-Ho; Lee, Gwan-Hyoung; van der Zande, Arend M.; Chen, Wenchao; Li, Yilei; Han, Minyong; Cui, Xu; Arefe, Ghidewon; Nuckolls, Colin; Heinz, Tony F.; Guo, Jing; Hone, James; Kim, Philip","","","","NATURE NANOTECHNOLOGY","SEP 2014","2014","9","9","","","","676","681","","10.1038/NNANO.2014.150","","","949","158.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","131","184","233","243","149","0"
"Frictional Characteristics of Atomically Thin Sheets","Lee, Changgu; Li, Qunyang; Kalb, William; Liu, Xin-Zhou; Berger, Helmuth; Carpick, Robert W.; Hone, James","","","","SCIENCE","APR 2 2010","2010","328","5974","","","","76","80","","10.1126/science.1184167","","","886","88.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","43","76","74","115","113","106","141","120","91","0"
"Temperature-dependent transport in suspended graphene","Bolotin, K. I.; Sikes, K. J.; Hone, J.; Stormer, H. L.; Kim, P.","","","","PHYSICAL REVIEW LETTERS","AUG 29 2008","2008","101","9","","","","","","096802","10.1103/PhysRevLett.101.096802","","","768","64.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","71","81","85","93","86","85","58","73","60","46","27","0"
"Piezoelectricity of single-atomic-layer MoS2 for energy conversion and piezotronics","Wu, Wenzhuo; Wang, Lei; Li, Yilei; Zhang, Fan; Lin, Long; Niu, Simiao; Chenet, Daniel; Zhang, Xian; Hao, Yufeng; Heinz, Tony F.; Hone, James; Wang, Zhong Lin","","","","NATURE","OCT 23 2014","2014","514","7523","","","","470","+","","10.1038/nature13792","","","728","121.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","152","174","194","123","0"
