AUTHOR IDENTIFIERS: (E-8388-2011)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nanoscale Memristor Device as Synapse in Neuromorphic Systems","Jo, Sung Hyun; Chang, Ting; Ebong, Idongesit; Bhadviya, Bhavitavya B.; Mazumder, Pinaki; Lu, Wei","","","","NANO LETTERS","APR 2010","2010","10","4","","","","1297","1301","","10.1021/nl904092h","","","1674","167.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","64","104","154","161","198","225","269","311","180","0"
"Ge/Si nanowire heterostructures as high-performance field-effect transistors","Xiang, Jie; Lu, Wei; Hu, Yongjie; Wu, Yue; Yan, Hao; Lieber, Charles M.","","","","NATURE","MAY 25 2006","2006","441","7092","","","","489","493","","10.1038/nature04796","","","1159","82.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","70","108","107","117","130","119","114","100","82","53","54","49","33","0"
"Nanoelectronics from the bottom up","Lu, Wei; Lieber, CharLes M.","","","","NATURE MATERIALS","NOV 2007","2007","6","11","","","","841","850","","10.1038/nmat2028","","","1145","88.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","58","102","127","122","96","110","109","115","96","93","79","37","0"
"Single-crystal metallic nanowires and metal/semiconductor nanowire heterostructures","Wu, Y; Xiang, J; Yang, C; Lu, W; Lieber, CM","","","","NATURE","JUL 1 2004","2004","430","6995","","","","61","65","","10.1038/nature02674","","","812","50.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","41","75","61","81","81","58","65","75","54","42","51","41","30","30","21","0"
"Semiconductor nanowires","Lu, Wei; Lieber, Charles M.","","","","JOURNAL OF PHYSICS D-APPLIED PHYSICS","NOV 7 2006","2006","39","21","","","","R387","R406","","10.1088/0022-3727/39/21/R01","","","580","41.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","58","66","58","69","51","62","43","42","34","35","29","18","0"
"Observation of conducting filament growth in nanoscale resistive memories","Yang, Yuchao; Gao, Peng; Gaba, Siddharth; Chang, Ting; Pan, Xiaoqing; Lu, Wei","","","","NATURE COMMUNICATIONS","MAR 2012","2012","3","","","","","","","732","10.1038/ncomms1737","","","531","66.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","68","65","75","80","87","79","63","0"
"Controlled deposition of individual single-walled carbon nanotubes on chemically functionalized templates","Liu, J; Casavant, MJ; Cox, M; Walters, DA; Boul, P; Lu, W; Rimberg, AJ; Smith, KA; Colbert, DT; Smalley, RE","","","","CHEMICAL PHYSICS LETTERS","APR 2 1999","1999","303","1-2","","","","125","129","","10.1016/S0009-2614(99)00209-2","","","479","22.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","21","21","29","32","31","47","46","54","34","37","24","20","21","11","9","2","11","9","6","0"
"A Functional Hybrid Memristor Crossbar-Array/CMOS System for Data Storage and Neuromorphic Applications","Kim, Kuk-Hwan; Gaba, Siddharth; Wheeler, Dana; Cruz-Albrecht, Jose M.; Hussain, Tahir; Srinivasa, Narayan; Lu, Wei","","","","NANO LETTERS","JAN 2012","2012","12","1","","","","389","395","","10.1021/nl203687n","","","436","54.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","40","49","58","84","72","80","47","0"
"One-dimensional hole gas in germanium/silicon nanowire heterostructures","Lu, W; Xiang, J; Timko, BP; Wu, Y; Lieber, CM","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","JUL 19 2005","2005","102","29","","","","10046","10051","","10.1073/pnas.0504581102","","","380","25.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","19","34","33","37","41","32","33","29","30","22","19","26","6","0"
"Short-Term Memory to Long-Term Memory Transition in a Nanoscale Memristor","Chang, Ting; Jo, Sung-Hyun; Lu, Wei","","","","ACS NANO","SEP 2011","2011","5","9","","","","7669","7676","","10.1021/nn202983n","","","377","41.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","38","43","41","58","57","69","61","0"
