AUTHOR IDENTIFIERS: (E-9423-2011)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Plasmonics beyond the diffraction limit","Gramotnev, Dmitri K.; Bozhevolnyi, Sergey I.","","","","NATURE PHOTONICS","FEB 2010","2010","4","2","","","","83","91","","10.1038/nphoton.2009.282","","","2125","212.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","144","201","248","251","266","294","284","258","141"
"Channel plasmon subwavelength waveguide components including interferometers and ring resonators","Bozhevolnyi, SI; Volkov, VS; Devaux, E; Laluet, JY; Ebbesen, TW","","","","NATURE","MAR 23 2006","2006","440","7083","","","","508","511","","10.1038/nature04594","","","1635","116.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","89","109","146","162","157","141","169","146","144","121","111","86","32"
"Channel plasmon-polariton guiding by subwavelength metal grooves","Bozhevolnyi, SI; Volkov, VS; Devaux, E; Ebbesen, TW","","","","PHYSICAL REVIEW LETTERS","JUL 22 2005","2005","95","4","","","","","","046802","10.1103/PhysRevLett.95.046802","","","528","35.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","18","38","48","53","44","50","62","57","48","25","24","24","26","9"
"Surface plasmon polariton based modulators and switches operating at telecom wavelengths","Nikolajsen, T; Leosson, K; Bozhevolnyi, SI","","","","APPLIED PHYSICS LETTERS","DEC 13 2004","2004","85","24","","","","5833","5835","","10.1063/1.1835997","","","485","30.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","26","31","41","45","52","49","37","50","31","31","32","21","19","10"
"Demonstration of Magnetic Dipole Resonances of Dielectric Nanospheres in the Visible Region","Evlyukhin, Andrey B.; Novikov, Sergey M.; Zywietz, Urs; Eriksen, Rene Lynge; Reinhardt, Carsten; Bozhevolnyi, Sergey I.; Chichkov, Boris N.","","","","NANO LETTERS","JUL 2012","2012","12","7","","","","3749","3755","","10.1021/nl301594s","","","484","60.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","27","38","64","85","108","103","54"
"Surface-plasmon circuitry","Ebbesen, Thomas W.; Genet, Cyriaque; Bozhevolnyi, Sergey I.","","","","PHYSICS TODAY","MAY 2008","2008","61","5","","","","44","50","","10.1063/1.2930735","","","471","39.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","34","48","40","48","48","53","55","50","46","28","12"
"Waveguiding in surface plasmon polariton band gap structures","Bozhevolnyi, SI; Erland, J; Leosson, K; Skovgaard, PMW; Hvam, JM","","","","PHYSICAL REVIEW LETTERS","APR 2 2001","2001","86","14","","","","3008","3011","","10.1103/PhysRevLett.86.3008","","","393","20.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","26","30","42","45","43","32","33","27","21","20","13","8","8","8","6","5","2"
"Broadband Focusing Flat Mirrors Based on Plasmonic Gradient Metasurfaces","Pors, Anders; Nielsen, Michael G.; Eriksen, Rene Lynge; Bozhevolnyi, Sergey I.","","","","NANO LETTERS","FEB 2013","2013","13","2","","","","829","834","","10.1021/nl304761m","","","373","53.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","33","52","68","89","73","46"
"Efficient unidirectional nanoslit couplers for surface plasmons","Lopez-Tejeira, F.; Rodrigo, Sergio G.; Martin-Moreno, L.; Garcia-Vidal, F. J.; Devaux, E.; Ebbesen, T. W.; Krenn, J. R.; Radko, I. P.; Bozhevolnyi, S. I.; Gonzalez, M. U.; Weeber, J. C.; Dereux, A.","","","","NATURE PHYSICS","MAY 2007","2007","3","5","","","","324","328","","10.1038/nphys584","","","366","28.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","26","30","30","27","36","29","45","38","44","30","14","7"
"Integrated optical components utilizing long-range surface plasmon polaritons","Boltasseva, A; Nikolajsen, T; Leosson, K; Kjaer, K; Larsen, MS; Bozhevolnyi, SI","","","","JOURNAL OF LIGHTWAVE TECHNOLOGY","JAN 2005","2005","23","1","","","","413","422","","10.1109/JLT.2004.835749","","","334","22.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","24","34","31","35","27","25","28","33","15","20","14","21","11","8"
