AUTHOR IDENTIFIERS: (F-9230-2011)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Superior thermal conductivity of single-layer graphene","Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning","","","","NANO LETTERS","MAR 2008","2008","8","3","","","","902","907","","10.1021/nl0731872","","","7135","594.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","99","239","400","613","680","825","854","881","948","967","610"
"Extremely high thermal conductivity of graphene: Prospects for thermal management applications in nanoelectronic circuits","Ghosh, S.; Calizo, I.; Teweldebrhan, D.; Pokatilov, E. P.; Nika, D. L.; Balandin, A. A.; Bao, W.; Miao, F.; Lau, C. N.","","","","APPLIED PHYSICS LETTERS","APR 14 2008","2008","92","15","","","","","","151911","10.1063/1.2907977","","","1015","84.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","34","54","76","86","97","105","99","121","135","121","83"
"Dimensional crossover of thermal transport in few-layer graphene","Ghosh, Suchismita; Bao, Wenzhong; Nika, Denis L.; Subrina, Samia; Pokatilov, Evghenii P.; Lau, Chun Ning; Balandin, Alexander A.","","","","NATURE MATERIALS","JUL 2010","2010","9","7","","","","555","558","","10.1038/NMAT2753","","","698","69.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","74","69","70","73","84","93","86","85","49"
"Temperature dependence of the Raman spectra of graphene and graphene multilayers","Calizo, I.; Balandin, A. A.; Bao, W.; Miao, F.; Lau, C. N.","","","","NANO LETTERS","SEP 2007","2007","7","9","","","","2645","2649","","10.1021/nl071033g","","","690","53.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","19","25","40","45","72","53","70","105","85","67","65","43"
"Phonon thermal conduction in graphene: Role of Umklapp and edge roughness scattering","Nika, D. L.; Pokatilov, E. P.; Askerov, A. S.; Balandin, A. A.","","","","PHYSICAL REVIEW B","APR 2009","2009","79","15","","","","","","155413","10.1103/PhysRevB.79.155413","","","579","52.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","40","69","75","57","58","47","70","60","53","38"
"Lattice thermal conductivity of graphene flakes: Comparison with bulk graphite","Nika, D. L.; Ghosh, S.; Pokatilov, E. P.; Balandin, A. A.","","","","APPLIED PHYSICS LETTERS","MAY 18 2009","2009","94","20","","","","","","203103","10.1063/1.3136860","","","327","29.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","34","41","36","40","26","28","35","36","30","16"
"Photoluminescence investigation of the carrier recombination processes in ZnO quantum dots and nanocrystals","Fonoberov, VA; Alim, KA; Balandin, AA; Xiu, FX; Liu, JL","","","","PHYSICAL REVIEW B","APR 2006","2006","73","16","","","","","","165317","10.1103/PhysRevB.73.165317","","","325","23.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","20","20","19","25","37","34","24","34","16","23","32","24","13"
"Modification of graphene properties due to electron-beam irradiation","Teweldebrhan, D.; Balandin, A. A.","","","","APPLIED PHYSICS LETTERS","JAN 5 2009","2009","94","1","","","","","","013101","10.1063/1.3062851","","","299","27.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","19","40","31","39","31","32","38","21","22","15"
"Origin of the optical phonon frequency shifts in ZnO quantum dots","Alim, KA; Fonoberov, VA; Balandin, AA","","","","APPLIED PHYSICS LETTERS","JAN 31 2005","2005","86","5","","","","","","053103","10.1063/1.1861509","","","275","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","24","25","24","24","27","25","20","14","13","12","18","20","18","4"
"Origin of ultraviolet photoluminescence in ZnO quantum dots: Confined excitons versus surface-bound impurity exciton complexes","Fonoberov, VA; Balandin, AA","","","","APPLIED PHYSICS LETTERS","DEC 13 2004","2004","85","24","","","","5971","5973","","10.1063/1.1835992","","","220","13.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","24","14","18","16","21","23","21","9","11","13","9","14","14","5"
"The effect of substrates on the Raman spectrum of graphene: Graphene-on-sapphire and graphene-on-glass","Calizo, Irene; Bao, Wenzhong; Miao, Feng; Lau, Chun Ning; Balandin, Alexander A.","","","","APPLIED PHYSICS LETTERS","NOV 12 2007","2007","91","20","","","","","","201904","10.1063/1.2805024","","","154","11.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","19","20","18","27","14","11","9","4","10","4","8"
"Ultraviolet Raman microscopy of single and multilayer graphene","Calizo, Irene; Bejenari, Igor; Rahman, Muhammad; Liu, Guanxiong; Balandin, Alexander A.","","","","JOURNAL OF APPLIED PHYSICS","AUG 15 2009","2009","106","4","","","","","","043509","10.1063/1.3197065","","","152","13.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","16","24","20","19","13","15","10","14","7"
"Thermal conduction in AlxGa1-xN alloys and thin films","Liu, WL; Balandin, AA","","","","JOURNAL OF APPLIED PHYSICS","APR 1 2005","2005","97","7","","","","","","073710","10.1063/1.1868876","","","148","9.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","5","12","7","8","12","14","14","12","15","15","12","7","5"
"High-temperature quenching of electrical resistance in graphene interconnects","Shao, Q.; Liu, G.; Teweldebrhan, D.; Balandin, A. A.","","","","APPLIED PHYSICS LETTERS","MAY 19 2008","2008","92","20","","","","","","202108","10.1063/1.2927371","","","147","12.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","11","17","21","15","11","15","10","14","11","6"
