AUTHOR IDENTIFIERS: (G-3251-2010)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Coulomb blockade and the Kondo effect in single-atom transistors","Park, J; Pasupathy, AN; Goldsmith, JI; Chang, C; Yaish, Y; Petta, JR; Rinkoski, M; Sethna, JP; Abruna, HD; McEuen, PL; Ralph, DC","","","","NATURE","JUN 13 2002","2002","417","6890","","","","722","725","","10.1038/nature00791","","","1569","87.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","103","103","156","161","122","136","96","98","90","70","92","72","64","58","67","47","24","0"
"Microwave oscillations of a nanomagnet driven by a spin-polarized current","Kiselev, SI; Sankey, JC; Krivorotov, IN; Emley, NC; Schoelkopf, RJ; Buhrman, RA; Ralph, DC","","","","NATURE","SEP 25 2003","2003","425","6956","","","","380","383","","10.1038/nature01967","","","1442","84.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","46","85","86","100","96","103","107","105","96","95","107","107","78","97","80","52","0"
"Current-driven magnetization reversal and spin-wave excitations in Co/Cu/Co pillars","Katine, JA; Albert, FJ; Buhrman, RA; Myers, EB; Ralph, DC","","","","PHYSICAL REVIEW LETTERS","APR 3 2000","2000","84","14","","","","3149","3152","","10.1103/PhysRevLett.84.3149","","","1438","71.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","31","52","47","80","95","126","128","117","100","80","95","68","70","64","58","66","80","47","31","0"
"Current-induced switching of domains in magnetic multilayer devices","Myers, EB; Ralph, DC; Katine, JA; Louie, RN; Buhrman, RA","","","","SCIENCE","AUG 6 1999","1999","285","5429","","","","867","870","","10.1126/science.285.5429.867","","","972","46.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","28","26","41","54","63","79","66","72","68","56","63","50","47","46","45","50","42","36","26","0"
"Spin transfer torques","Ralph, D. C.; Stiles, M. D.","","","","JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","APR 2008","2008","320","7","","","","1190","1216","","10.1016/j.jmmm.2007.12.019","","","914","76.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","41","58","65","68","75","88","102","104","130","111","61","0"
"SPECTROSCOPIC MEASUREMENTS OF DISCRETE ELECTRONIC STATES IN SINGLE METAL PARTICLES","RALPH, DC; BLACK, CT; TINKHAM, M","","","","PHYSICAL REVIEW LETTERS","APR 17 1995","1995","74","16","","","","3241","3244","","10.1103/PhysRevLett.74.3241","","","440","17.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","23","31","34","41","33","27","17","13","19","23","23","16","16","16","14","11","9","15","7","11","4","2","0"
"Measurement of the spin-transfer-torque vector in magnetic tunnel junctions","Sankey, Jack C.; Cui, Yong-Tao; Sun, Jonathan Z.; Slonczewski, John C.; Buhrman, Robert A.; Ralph, Daniel C.","","","","NATURE PHYSICS","JAN 2008","2008","4","1","","","","67","71","","10.1038/nphys783","","","433","36.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","38","37","47","40","44","36","29","36","49","36","16","0"
"Coupling of spin and orbital motion of electrons in carbon nanotubes","Kuemmeth, F.; Ilani, S.; Ralph, D. C.; McEuen, P. L.","","","","NATURE","MAR 27 2008","2008","452","7186","","","","448","452","","10.1038/nature06822","","","419","34.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","44","50","48","42","48","35","42","29","32","20","11","0"
"Magnetic vortex oscillator driven by d.c. spin-polarized current","Pribiag, V. S.; Krivorotov, I. N.; Fuchs, G. D.; Braganca, P. M.; Ozatay, O.; Sankey, J. C.; Ralph, D. C.; Buhrman, R. A.","","","","NATURE PHYSICS","JUL 2007","2007","3","7","","","","498","503","","10.1038/nphys619","","","413","31.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","16","25","23","34","41","42","53","57","41","28","27","21","0"
"Time-domain measurements of nanomagnet dynamics driven by spin-transfer torques","Krivorotov, IN; Emley, NC; Sankey, JC; Kiselev, SI; Ralph, DC; Buhrman, RA","","","","SCIENCE","JAN 14 2005","2005","307","5707","","","","228","231","","10.1126/science.1105722","","","410","27.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","41","52","52","33","33","36","26","23","19","23","15","19","17","6","0"
