IDENTIFICADORES DE AUTOR: (G-4870-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"A LOW-COST, HIGH-EFFICIENCY SOLAR-CELL BASED ON DYE-SENSITIZED COLLOIDAL TIO2 FILMS","OREGAN, B; GRATZEL, M","","","","NATURE","OCT 24 1991","1991","353","6346","","","","737","740","","10.1038/353737a0","","","21423","738.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","41","52","64","86","139","142","155","212","230","267","330","385","438","503","632","726","918","1199","1573","1834","2093","2224","1951","1718","1400","1300","796","0"
"Photoelectrochemical cells","Gratzel, M","","","","NATURE","NOV 15 2001","2001","414","6861","","","","338","344","","10.1038/35104607","","","9527","501.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","18","72","140","178","236","276","294","432","604","751","898","917","1097","919","847","760","669","417","0"
"CONVERSION OF LIGHT TO ELECTRICITY BY CIS-X2BIS(2,2'-BIPYRIDYL-4,4'-DICARBOXYLATE)RUTHENIUM(II) CHARGE-TRANSFER SENSITIZERS (X = CL-, BR-, I-, CN-, AND SCN-) ON NANOCRYSTALLINE TIO2 ELECTRODES","NAZEERUDDIN, MK; KAY, A; RODICIO, I; HUMPHRYBAKER, R; MULLER, E; LISKA, P; VLACHOPOULOS, N; GRATZEL, M","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","JUL 14 1993","1993","115","14","","","","6382","6390","","10.1021/ja00067a063","","","5324","197.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26","33","52","83","96","97","116","115","155","153","196","187","212","232","274","307","336","428","442","419","377","317","220","195","166","89","0"
"LIGHT-INDUCED REDOX REACTIONS IN NANOCRYSTALLINE SYSTEMS","HAGFELDT, A; GRATZEL, M","","","","CHEMICAL REVIEWS","JAN-FEB 1995","1995","95","1","","","","49","68","","10.1021/cr00033a003","","","4604","184.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","44","70","98","106","117","134","144","163","180","196","218","246","220","254","282","318","312","339","285","271","208","176","134","83","0"
"Hydrophobic, highly conductive ambient-temperature molten salts","Bonhote, P; Dias, AP; Papageorgiou, N; Kalyanasundaram, K; Gratzel, M","","","","INORGANIC CHEMISTRY","FEB 28 1996","1996","35","5","","","","1168","1178","","10.1021/ic951325x","","","3797","158.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","13","18","43","65","128","158","179","262","254","267","246","272","248","251","269","227","219","170","190","133","104","68","0"
"Dye-sensitized solar cells","Gratzel, M","","","","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","OCT 31 2003","2003","4","2","","","","145","153","","10.1016/S1389-5567(03)00026-1","","","3079","181.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","51","54","75","86","132","203","213","300","286","339","299","298","283","257","184","0"
"Solid-state dye-sensitized mesoporous TiO2 solar cells with high photon-to-electron conversion efficiencies","Bach, U; Lupo, D; Comte, P; Moser, JE; Weissortel, F; Salbeck, J; Spreitzer, H; Gratzel, M","","","","NATURE","OCT 8 1998","1998","395","6702","","","","583","585","","10.1038/26936","","","2943","133.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","59","66","76","89","96","128","131","152","149","140","179","210","204","197","245","230","188","151","158","74","0"
"Solar energy conversion by dye-sensitized photovoltaic cells","Gratzel, M","","","","INORGANIC CHEMISTRY","OCT 3 2005","2005","44","20","","","","6841","6851","","10.1021/ic0508371","","","2557","170.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","85","109","134","213","243","282","292","285","236","217","177","167","87","0"
"Molecular photovoltaics","Hagfeldt, A; Gratzel, M","","","","ACCOUNTS OF CHEMICAL RESEARCH","MAY 2000","2000","33","5","","","","269","277","","10.1021/ar980112j","","","2399","119.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","39","66","90","116","139","120","143","136","155","169","199","190","178","171","145","120","101","74","47","0"
"Combined experimental and DFT-TDDFT computational study of photoelectrochemical cell ruthenium sensitizers","Nazeeruddin, MK; De Angelis, F; Fantacci, S; Selloni, A; Viscardi, G; Liska, P; Ito, S; Bessho, T; Gratzel, M","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","DEC 7 2005","2005","127","48","","","","16835","16847","","10.1021/ja052467l","","","2357","157.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","53","108","155","214","302","307","283","263","211","153","125","111","56","0"
