PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zhang, YB; Tan, YW; Stormer, HL; Kim, P								Experimental observation of the quantum Hall effect and Berry's phase in graphene								NATURE				438	7065			201	204		10.1038/nature04235			NOV 10 2005	2005										9334							WOS:000233133500043		
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8570							WOS:000283929800001		
J	Zutic, I; Fabian, J; Das Sarma, S								Spintronics: Fundamentals and applications								REVIEWS OF MODERN PHYSICS				76	2			323	410		10.1103/RevModPhys.76.323			APR 2004	2004										6924							WOS:000222471500001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6058							WOS:000308825700001		
J	BLATTER, G; FEIGELMAN, MV; GESHKENBEIN, VB; LARKIN, AI; VINOKUR, VM								VORTICES IN HIGH-TEMPERATURE SUPERCONDUCTORS								REVIEWS OF MODERN PHYSICS				66	4			1125	1388		10.1103/RevModPhys.66.1125			OCT 1994	1994										4726							WOS:A1994QE12700001		
J	Imada, M; Fujimori, A; Tokura, Y								Metal-insulator transitions								REVIEWS OF MODERN PHYSICS				70	4			1039	1263		10.1103/RevModPhys.70.1039			OCT 1998	1998										4578							WOS:000077004600001		
J	Bloch, Immanuel; Dalibard, Jean; Zwerger, Wilhelm								Many-body physics with ultracold gases								REVIEWS OF MODERN PHYSICS				80	3			885	964		10.1103/RevModPhys.80.885			JUL-SEP 2008	2008										4573							WOS:000259377800004		
J	Kane, CL; Mele, EJ								Quantum spin Hall effect in graphene								PHYSICAL REVIEW LETTERS				95	22					226801	10.1103/PhysRevLett.95.226801			NOV 25 2005	2005										3774							WOS:000233458500054		
J	Bernevig, B. Andrei; Hughes, Taylor L.; Zhang, Shou-Cheng								Quantum spin Hall effect and topological phase transition in HgTe quantum wells								SCIENCE				314	5806			1757	1761		10.1126/science.1133734			DEC 15 2006	2006										3363							WOS:000242833600053		
J	Kane, CL; Mele, EJ								Z(2) topological order and the quantum spin Hall effect								PHYSICAL REVIEW LETTERS				95	14					146802	10.1103/PhysRevLett.95.146802			SEP 30 2005	2005										3221							WOS:000232229800051		
J	Koenig, Markus; Wiedmann, Steffen; Bruene, Christoph; Roth, Andreas; Buhmann, Hartmut; Molenkamp, Laurens W.; Qi, Xiao-Liang; Zhang, Shou-Cheng								Quantum spin hall insulator state in HgTe quantum wells								SCIENCE				318	5851			766	770		10.1126/science.1148047			NOV 2 2007	2007										3139							WOS:000250583900033		
J	Son, Young-Woo; Cohen, Marvin L.; Louie, Steven G.								Half-metallic graphene nanoribbons								NATURE				444	7117			347	349		10.1038/nature05180			NOV 16 2006	2006										2997							WOS:000242018300043		
J	Cheong, Sang-Wook; Mostovoy, Maxim								Multiferroics: a magnetic twist for ferroelectricity								NATURE MATERIALS				6	1			13	20		10.1038/nmat1804			JAN 2007	2007										2965							WOS:000243225400013		
J	Dagotto, E; Hotta, T; Moreo, A								Colossal magnetoresistant materials: The key role of phase separation								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				344	1-3			1	153		10.1016/S0370-1573(00)00121-6			APR 2001	2001										2807							WOS:000168032900001		
J	Fu, Liang; Kane, C. L.; Mele, E. J.								Topological insulators in three dimensions								PHYSICAL REVIEW LETTERS				98	10					106803	10.1103/PhysRevLett.98.106803			MAR 9 2007	2007										2404							WOS:000244792400042		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2258							WOS:000182718200004		
J	DAGOTTO, E								CORRELATED ELECTRONS IN HIGH-TEMPERATURE SUPERCONDUCTORS								REVIEWS OF MODERN PHYSICS				66	3			763	840		10.1103/RevModPhys.66.763			JUL 1994	1994										2253							WOS:A1994PG73600004		
J	Fu, Liang; Kane, C. L.								Topological insulators with inversion symmetry								PHYSICAL REVIEW B				76	4					045302	10.1103/PhysRevB.76.045302			JUL 2007	2007										2106							WOS:000248540000055		
J	Wan, Xiangang; Turner, Ari M.; Vishwanath, Ashvin; Savrasov, Sergey Y.								Topological semimetal and Fermi-arc surface states in the electronic structure of pyrochlore iridates								PHYSICAL REVIEW B				83	20					205101	10.1103/PhysRevB.83.205101			MAY 2 2011	2011										2105							WOS:000290120500002		
J	Xiao, Di; Liu, Gui-Bin; Feng, Wanxiang; Xu, Xiaodong; Yao, Wang								Coupled Spin and Valley Physics in Monolayers of MoS2 and Other Group-VI Dichalcogenides								PHYSICAL REVIEW LETTERS				108	19					196802	10.1103/PhysRevLett.108.196802			MAY 7 2012	2012										1958							WOS:000303662500015		
J	Blanter, YM; Buttiker, M								Shot noise in mesoscopic conductors								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				336	1-2			1	166		10.1016/S0370-1573(99)00123-4			SEP 2000	2000										1890							WOS:000089081000001		
J	Salamon, MB; Jaime, M								The physics of manganites: Structure and transport								REVIEWS OF MODERN PHYSICS				73	3			583	628		10.1103/RevModPhys.73.583			JUL 2001	2001										1787							WOS:000172250600002		
J	Qi, Xiao-Liang; Hughes, Taylor L.; Zhang, Shou-Cheng								Topological field theory of time-reversal invariant insulators								PHYSICAL REVIEW B				78	19					195424	10.1103/PhysRevB.78.195424			NOV 2008	2008										1720							WOS:000262607800110		
J	Balents, Leon								Spin liquids in frustrated magnets								NATURE				464	7286			199	208		10.1038/nature08917			MAR 11 2010	2010										1707							WOS:000275366100033		
J	Timusk, T; Statt, B								The pseudogap in high-temperature superconductors: an experimental survey								REPORTS ON PROGRESS IN PHYSICS				62	1			61	122		10.1088/0034-4885/62/1/002			JAN 1999	1999										1661							WOS:000078451600002		
J	Lutchyn, Roman M.; Sau, Jay D.; Das Sarma, S.								Majorana Fermions and a Topological Phase Transition in Semiconductor-Superconductor Heterostructures								PHYSICAL REVIEW LETTERS				105	7					077001	10.1103/PhysRevLett.105.077001			AUG 13 2010	2010										1649							WOS:000280865100013		
J	Kato, YK; Myers, RC; Gossard, AC; Awschalom, DD								Observation of the spin hall effect in semiconductors								SCIENCE				306	5703			1910	1913		10.1126/science.1105514			DEC 10 2004	2004										1598							WOS:000225695600036		
J	Moore, Joel E.								The birth of topological insulators								NATURE				464	7286			194	198		10.1038/nature08916			MAR 11 2010	2010										1591							WOS:000275366100032		
J	Oreg, Yuval; Refael, Gil; von Oppen, Felix								Helical Liquids and Majorana Bound States in Quantum Wires								PHYSICAL REVIEW LETTERS				105	17					177002	10.1103/PhysRevLett.105.177002			OCT 20 2010	2010										1551							WOS:000283234600006		
J	Liu, Luqiao; Pai, Chi-Feng; Li, Y.; Tseng, H. W.; Ralph, D. C.; Buhrman, R. A.								Spin-Torque Switching with the Giant Spin Hall Effect of Tantalum								SCIENCE				336	6081			555	558		10.1126/science.1218197			MAY 4 2012	2012										1452							WOS:000303498800037		
