AUTHOR IDENTIFIERS: (H-2698-2014)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Boron isotope effect in superconducting MgB2","Bud'ko, SL; Lapertot, G; Petrovic, C; Cunningham, CE; Anderson, N; Canfield, PC","","","","PHYSICAL REVIEW LETTERS","FEB 26 2001","2001","86","9","","","","1877","1880","","10.1103/PhysRevLett.86.1877","","","833","43.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","188","129","53","45","46","47","22","19","21","14","7","11","17","15","10","11","12","10"
"GROWTH OF SINGLE-CRYSTALS FROM METALLIC FLUXES","CANFIELD, PC; FISK, Z","","","","PHILOSOPHICAL MAGAZINE B-PHYSICS OF CONDENSED MATTER STATISTICAL MECHANICS ELECTRONIC OPTICAL AND MAGNETIC PROPERTIES","JUN 1992","1992","65","6","","","","1117","1123","","10.1080/13642819208215073","","","553","19.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","2","1","3","8","16","21","14","14","16","16","29","17","20","24","25","20","27","38","32","23","33","44","42","32","25"
"INCOMMENSURATE MAGNETIC FLUCTUATIONS IN LA2-XSRXCUO4","CHEONG, SW; AEPPLI, G; MASON, TE; MOOK, H; HAYDEN, SM; CANFIELD, PC; FISK, Z; CLAUSEN, KN; MARTINEZ, JL","","","","PHYSICAL REVIEW LETTERS","SEP 23 1991","1991","67","13","","","","1791","1794","","10.1103/PhysRevLett.67.1791","","","526","18.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","25","38","49","35","32","32","28","35","42","27","27","20","25","20","15","9","8","12","5","7","9","5","3","4","1","6","5","1"
"Superconductivity in dense MgB2 wires","Canfield, PC; Finnemore, DK; Bud'ko, SL; Ostenson, JE; Lapertot, G; Cunningham, CE; Petrovic, C","","","","PHYSICAL REVIEW LETTERS","MAR 12 2001","2001","86","11","","","","2423","2426","","10.1103/PhysRevLett.86.2423","","","487","25.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","110","73","34","32","25","32","19","15","17","10","10","5","6","7","7","6","3","4"
"Effects of Co substitution on thermodynamic and transport properties and anisotropic H-c2 in Ba(Fe1-xCox)(2)As-2 single crystals","Ni, N.; Tillman, M. E.; Yan, J. -Q.; Kracher, A.; Hannahs, S. T.; Bud'ko, S. L.; Canfield, P. C.","","","","PHYSICAL REVIEW B","DEC 2008","2008","78","21","","","","","","214515","10.1103/PhysRevB.78.214515","","","456","38.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","78","68","58","48","31","27","23","28","26","14"
"Thermodynamic and transport properties of superconducting (MgB2)-B-10","Finnemore, DK; Ostenson, JE; Bud'ko, SL; Lapertot, G; Canfield, PC","","","","PHYSICAL REVIEW LETTERS","MAR 12 2001","2001","86","11","","","","2420","2422","","10.1103/PhysRevLett.86.2420","","","440","23.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77","100","69","23","24","21","17","17","8","7","9","13","13","8","11","7","5","3","8"
"Pressure induced superconductivity in CaFe(2)As(2)","Torikachvili, Milton S.; Bud'ko, Sergey L.; Ni, Ni; Canfield, Paul C.","","","","PHYSICAL REVIEW LETTERS","AUG 1 2008","2008","101","5","","","","","","057006","10.1103/PhysRevLett.101.057006","","","435","36.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","101","63","49","36","31","33","17","30","23","18","13"
"Thermodynamics of spin S=1/2 antiferromagnetic uniform and alternating-exchange Heisenberg chains","Johnston, DC; Kremer, RK; Troyer, M; Wang, X; Klumper, A; Bud'ko, SL; Panchula, AF; Canfield, PC","","","","PHYSICAL REVIEW B","APR 1 2000","2000","61","14","","","","9558","9606","","10.1103/PhysRevB.61.9558","","","372","18.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","8","16","11","16","23","20","13","20","28","26","20","22","22","23","17","28","21","19"
"Nematic Electronic Structure in the "Parent" State of the Iron-Based Superconductor Ca(Fe1-xCox)(2)As-2","Chuang, T. -M.; Allan, M. P.; Lee, Jinho; Xie, Yang; Ni, Ni; Bud'ko, S. L.; Boebinger, G. S.; Canfield, P. C.; Davis, J. C.","","","","SCIENCE","JAN 8 2010","2010","327","5962","","","","181","184","","10.1126/science.1181083","","","357","35.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","50","52","47","37","43","35","23","32","9"
"Anisotropic thermodynamic and transport properties of single-crystalline Ba1-xKxFe2As2 (x=0 and 0.45)","Ni, N.; Bud'ko, S. L.; Kreyssig, A.; Nandi, S.; Rustan, G. E.; Goldman, A. I.; Gupta, S.; Corbett, J. D.; Kracher, A.; Canfield, P. C.","","","","PHYSICAL REVIEW B","JUL 2008","2008","78","1","","","","","","014507","10.1103/PhysRevB.78.014507","","","346","28.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","102","48","42","25","23","28","12","11","12","9","5"
