AUTHOR IDENTIFIERS: (H-8541-2012)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Raman spectrum of graphene and graphene layers","Ferrari, A. C.; Meyer, J. C.; Scardaci, V.; Casiraghi, C.; Lazzeri, M.; Mauri, F.; Piscanec, S.; Jiang, D.; Novoselov, K. S.; Roth, S.; Geim, A. K.","","","","PHYSICAL REVIEW LETTERS","NOV 3 2006","2006","97","18","","","","","","187401","10.1103/PhysRevLett.97.187401","","","9204","657.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","64","142","224","392","569","760","926","1059","1115","1116","1075","1078","682","1"
"The structure of suspended graphene sheets","Meyer, Jannik C.; Geim, A. K.; Katsnelson, M. I.; Novoselov, K. S.; Booth, T. J.; Roth, S.","","","","NATURE","MAR 1 2007","2007","446","7131","","","","60","63","","10.1038/nature05545","","","3309","254.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","130","179","232","311","323","370","331","332","313","307","272","172","0"
"Graphene at the Edge: Stability and Dynamics","Girit, Caglar Oe; Meyer, Jannik C.; Erni, Rolf; Rossell, Marta D.; Kisielowski, C.; Yang, Li; Park, Cheol-Hwan; Crommie, M. F.; Cohen, Marvin L.; Louie, Steven G.; Zettl, A.","","","","SCIENCE","MAR 27 2009","2009","323","5922","","","","1705","1708","","10.1126/science.1166999","","","841","76.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","81","92","97","104","113","97","60","70","65","29","0"
"Direct Imaging of Lattice Atoms and Topological Defects in Graphene Membranes","Meyer, Jannik C.; Kisielowski, C.; Erni, R.; Rossell, Marta D.; Crommie, M. F.; Zettl, A.","","","","NANO LETTERS","NOV 2008","2008","8","11","","","","3582","3586","","10.1021/nl801386m","","","696","58.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","42","57","54","81","86","98","80","55","64","41","36","0"
"Atomic Structure of Reduced Graphene Oxide","Gomez-Navarro, Cristina; Meyer, Jannik C.; Sundaram, Ravi S.; Chuvilin, Andrey; Kurasch, Simon; Burghard, Marko; Kern, Klaus; Kaiser, Ute","","","","NANO LETTERS","APR 2010","2010","10","4","","","","1144","1148","","10.1021/nl9031617","","","682","68.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","53","83","72","96","82","91","73","80","37","0"
"The two-dimensional phase of boron nitride: Few-atomic-layer sheets and suspended membranes","Pacile, D.; Meyer, J. C.; Girit, C. Oe.; Zettl, A.","","","","APPLIED PHYSICS LETTERS","MAR 31 2008","2008","92","13","","","","","","133107","10.1063/1.2903702","","","564","47.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","24","55","51","52","69","64","67","74","62","33","0"
"From Point Defects in Graphene to Two-Dimensional Amorphous Carbon","Kotakoski, J.; Krasheninnikov, A. V.; Kaiser, U.; Meyer, J. C.","","","","PHYSICAL REVIEW LETTERS","MAR 9 2011","2011","106","10","","","","","","105505","10.1103/PhysRevLett.106.105505","","","435","48.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","55","56","66","59","49","56","41","38","0"
"On the roughness of single- and bi-layer graphene membranes","Meyer, J. C.; Geim, A. K.; Katsnelson, M. I.; Novoselov, K. S.; Obergfell, D.; Roth, S.; Girit, C.; Zettl, A.","","","","SOLID STATE COMMUNICATIONS","JUL 2007","2007","143","1-2","","","","101","109","","10.1016/j.ssc.2007.02.047","","","359","27.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","19","34","34","33","50","35","29","38","27","21","24","0"
"Imaging and dynamics of light atoms and molecules on graphene","Meyer, Jannik C.; Girit, C. O.; Crommie, M. F.; Zettl, A.","","","","NATURE","JUL 17 2008","2008","454","7202","","","","319","322","","10.1038/nature07094","","","354","29.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","29","49","59","45","30","36","23","28","21","19","10","0"
"Selective Sputtering and Atomic Resolution Imaging of Atomically Thin Boron Nitride Membranes","Meyer, Jannik C.; Chuvilin, Andrey; Algara-Siller, Gerardo; Biskupek, Johannes; Kaiser, Ute","","","","NANO LETTERS","JUL 2009","2009","9","7","","","","2683","2689","","10.1021/nl9011497","","","329","29.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","20","44","36","31","35","36","31","34","32","25","0"
"Accurate Measurement of Electron Beam Induced Displacement Cross Sections for Single-Layer Graphene","Meyer, Jannik C.; Eder, Franz; Kurasch, Simon; Skakalova, Viera; Kotakoski, Jani; Park, Hye Jin; Roth, Siegmar; Chuvilin, Andrey; Eyhusen, Soeren; Benner, Gerd; Krasheninnikov, Arkady V.; Kaiser, Ute","","","","PHYSICAL REVIEW LETTERS","MAY 7 2012","2012","108","19","","","","","","196102","10.1103/PhysRevLett.108.196102","","","249","31.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","35","47","37","38","33","28","20","0"
"Growth and properties of few-layer graphene prepared by chemical vapor deposition","Park, Hye Jin; Meyer, Jannik; Roth, Siegmar; Skakalova, Viera","","","","CARBON","APR 2010","2010","48","4","","","","1088","1094","","10.1016/j.carbon.2009.11.030","","","221","22.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","22","25","33","33","20","25","26","12","16","0"
"From graphene constrictions to single carbon chains","Chuvilin, Andrey; Meyer, Jannik C.; Algara-Siller, Gerardo; Kaiser, Ute","","","","NEW JOURNAL OF PHYSICS","AUG 13 2009","2009","11","","","","","","","083019","10.1088/1367-2630/11/8/083019","","","221","20.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","23","28","29","31","24","22","23","10","15","0"
"Hydrocarbon lithography on graphene membranes","Meyer, Jannik C.; Girit, C. O.; Crommie, M. F.; Zettl, A.","","","","APPLIED PHYSICS LETTERS","MAR 24 2008","2008","92","12","","","","","","123110","10.1063/1.2901147","","","201","16.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","26","27","23","15","22","22","21","12","12","2","0"
"Experimental analysis of charge redistribution due to chemical bonding by high-resolution transmission electron microscopy","Meyer, Jannik C.; Kurasch, Simon; Park, Hye Jin; Skakalova, Viera; Kuenzel, Daniela; Gross, Axel; Chuvilin, Andrey; Algara-Siller, Gerardo; Roth, Siegmar; Iwasaki, Takayuki; Starke, Ulrich; Smet, Jurgen H.; Kaiser, Ute","","","","NATURE MATERIALS","MAR 2011","2011","10","3","","","","209","215","","10.1038/NMAT2941","","","174","19.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","40","14","22","27","22","15","12","9","0"
"Stone-Wales-type transformations in carbon nanostructures driven by electron irradiation","Kotakoski, J.; Meyer, J. C.; Kurasch, S.; Santos-Cottin, D.; Kaiser, U.; Krasheninnikov, A. V.","","","","PHYSICAL REVIEW B","JUN 23 2011","2011","83","24","","","","","","245420","10.1103/PhysRevB.83.245420","","","161","17.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","33","19","25","20","16","19","16","10","0"
"Direct Imaging of a Two-Dimensional Silica Glass on Graphene","Huang, Pinshane Y.; Kurasch, Simon; Srivastava, Anchal; Skakalova, Viera; Kotakoski, Jani; Krasheninnikov, Arkady V.; Hovden, Robert; Mao, Qingyun; Meyer, Jannik C.; Smet, Jurgen; Muller, David A.; Kaiser, Ute","","","","NANO LETTERS","FEB 2012","2012","12","2","","","","1081","1086","","10.1021/nl204423x","","","148","18.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","17","17","17","29","22","11","17","0"
"Near-edge x-ray absorption fine-structure investigation of graphene","Pacile, D.; Papagno, M.; Rodriguez, A. Fraile; Grioni, M.; Papagno, L.","","","","PHYSICAL REVIEW LETTERS","AUG 8 2008","2008","101","6","","","","","","066806","10.1103/PhysRevLett.101.066806","","","147","12.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","16","20","23","25","16","13","5","6","8","0"
"Raman modes of index-identified freestanding single-walled carbon nanotubes","Meyer, JC; Paillet, M; Michel, T; Moreac, A; Neumann, A; Duesberg, GS; Roth, S; Sauvajol, JL","","","","PHYSICAL REVIEW LETTERS","NOV 18 2005","2005","95","21","","","","","","217401","10.1103/PhysRevLett.95.217401","","","135","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","20","10","13","16","12","12","15","6","7","5","4","3","2","0"
"Electronic properties and atomic structure of graphene oxide membranes","Pacile, D.; Meyer, J. C.; Rodriguez, A. Fraile; Papagno, M.; Gomez-Navarro, C.; Sundaram, R. S.; Burghard, M.; Kern, K.; Carbone, C.; Kaiser, U.","","","","CARBON","MAR 2011","2011","49","3","","","","966","972","","10.1016/j.carbon.2010.09.063","","","132","14.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","15","15","30","14","14","15","12","14","0"
"Transmission electron microscopy at 20 kV for imaging and spectroscopy","Kaiser, U.; Biskupek, J.; Meyer, J. C.; Leschner, J.; Lechner, L.; Rose, H.; Stoeger-Pollach, M.; Khlobystov, A. N.; Hartel, P.; Mueller, H.; Haider, M.; Eyhusen, S.; Benner, G.","","","","ULTRAMICROSCOPY","JUL 2011","2011","111","8","","","","1239","1246","","10.1016/j.ultramic.2011.03.012","","","126","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","17","21","21","16","10","9","11","0"
"Single-molecule torsional pendulum","Meyer, JC; Paillet, M; Roth, S","","","","SCIENCE","SEP 2 2005","2005","309","5740","","","","1539","1541","","10.1126/science.1115067","","","121","8.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","18","13","11","8","11","8","7","9","8","1","8","5","2","0"
