AUTHOR IDENTIFIERS: (I-1337-2014)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"THEORY OF HIGH-HARMONIC GENERATION BY LOW-FREQUENCY LASER FIELDS","LEWENSTEIN, M; BALCOU, P; IVANOV, MY; LHUILLIER, A; CORKUM, PB","","","","PHYSICAL REVIEW A","MAR 1994","1994","49","3","","","","2117","2132","","10.1103/PhysRevA.49.2117","","","2597","99.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","26","49","44","37","62","74","73","64","54","63","84","107","118","113","136","130","135","165","156","164","134","196","164","154","91","0"
"Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond","Lewenstein, Maciej; Sanpera, Anna; Ahufinger, Veronica; Damski, Bogdan; Sen(De), Aditi; Sen, Ujjwal","","","","ADVANCES IN PHYSICS","2007","2007","56","2","","","","243","379","","10.1080/00018730701223200","","","1335","102.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","97","113","129","139","146","133","111","115","107","97","71","49","0"
"Dark solitons in Bose-Einstein condensates","Burger, S; Bongs, K; Dettmer, S; Ertmer, W; Sengstock, K; Sanpera, A; Shlyapnikov, GV; Lewenstein, M","","","","PHYSICAL REVIEW LETTERS","DEC 20 1999","1999","83","25","","","","5198","5201","","10.1103/PhysRevLett.83.5198","","","1060","50.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","47","54","52","61","75","62","56","76","73","60","43","37","52","36","54","64","53","46","40","0"
"The physics of dipolar bosonic quantum gases","Lahaye, T.; Menotti, C.; Santos, L.; Lewenstein, M.; Pfau, T.","","","","REPORTS ON PROGRESS IN PHYSICS","DEC 2009","2009","72","12","","","","","","126401","10.1088/0034-4885/72/12/126401","","","850","77.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","95","99","114","94","68","89","72","93","63","0"
"Volume of the set of separable states","Zyczkowski, K; Horodecki, P; Sanpera, A; Lewenstein, M","","","","PHYSICAL REVIEW A","AUG 1998","1998","58","2","","","","883","892","","10.1103/PhysRevA.58.883","","","828","37.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","21","22","25","41","29","53","45","45","44","47","53","42","37","37","35","56","56","42","59","31","0"
"Attosecond pulse trains using high-order harmonics","Antoine, P; LHuillier, A; Lewenstein, M","","","","PHYSICAL REVIEW LETTERS","AUG 12 1996","1996","77","7","","","","1234","1237","","10.1103/PhysRevLett.77.1234","","","532","22.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","15","25","17","22","24","21","23","28","31","28","38","31","26","26","30","28","20","18","27","21","9","7","0"
"QUANTUM OPTICS OF DIELECTRIC MEDIA","GLAUBER, RJ; LEWENSTEIN, M","","","","PHYSICAL REVIEW A","JAN 1 1991","1991","43","1","","","","467","491","","10.1103/PhysRevA.43.467","","","518","17.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","16","13","20","21","15","17","26","26","29","20","19","17","20","20","18","15","22","17","17","23","12","17","13","23","14","17","9","0"
"Bose-Einstein condensation in trapped dipolar gases","Santos, L; Shlyapnikov, GV; Zoller, P; Lewenstein, M","","","","PHYSICAL REVIEW LETTERS","AUG 28 2000","2000","85","9","","","","1791","1794","","10.1103/PhysRevLett.85.1791","","","484","24.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","21","13","22","25","33","45","44","35","43","15","28","25","26","18","27","26","21","13","0"
"Quantum games and quantum strategies","Eisert, J; Wilkens, M; Lewenstein, M","","","","PHYSICAL REVIEW LETTERS","OCT 11 1999","1999","83","15","","","","3077","3080","","10.1103/PhysRevLett.83.3077","","","480","22.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","13","25","20","22","23","26","22","34","33","34","19","24","27","15","29","28","32","33","14","0"
"Feynman's path-integral approach for intense-laser-atom interactions","Salieres, P; Carre, B; Le Deroff, L; Grasbon, F; Paulus, GG; Walther, H; Kopold, R; Becker, W; Milosevic, DB; Sanpera, A; Lewenstein, M","","","","SCIENCE","MAY 4 2001","2001","292","5518","","","","902","905","","10.1126/science.108836","","","475","25.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","24","17","24","32","27","24","27","33","28","16","23","31","30","16","37","33","27","22","0"
