PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Xia, YN; Yang, PD; Sun, YG; Wu, YY; Mayers, B; Gates, B; Yin, YD; Kim, F; Yan, YQ								One-dimensional nanostructures: Synthesis, characterization, and applications								ADVANCED MATERIALS				15	5			353	389		10.1002/adma.200390087			MAR 4 2003	2003										7350							WOS:000181713900002		
J	Snyder, G. Jeffrey; Toberer, Eric S.								Complex thermoelectric materials								NATURE MATERIALS				7	2			105	114		10.1038/nmat2090			FEB 2008	2008										5072							WOS:000252673000014		
J	Coleman, Jonathan N.; Lotya, Mustafa; O'Neill, Arlene; Bergin, Shane D.; King, Paul J.; Khan, Umar; Young, Karen; Gaucher, Alexandre; De, Sukanta; Smith, Ronan J.; Shvets, Igor V.; Arora, Sunil K.; Stanton, George; Kim, Hye-Young; Lee, Kangho; Kim, Gyu Tae; Duesberg, Georg S.; Hallam, Toby; Boland, John J.; Wang, Jing Jing; Donegan, John F.; Grunlan, Jaime C.; Moriarty, Gregory; Shmeliov, Aleksey; Nicholls, Rebecca J.; Perkins, James M.; Grieveson, Eleanor M.; Theuwissen, Koenraad; McComb, David W.; Nellist, Peter D.; Nicolosi, Valeria								Two-Dimensional Nanosheets Produced by Liquid Exfoliation of Layered Materials								SCIENCE				331	6017			568	571		10.1126/science.1194975			FEB 4 2011	2011										3636							WOS:000286933600049		
J	Meyer, Jannik C.; Geim, A. K.; Katsnelson, M. I.; Novoselov, K. S.; Booth, T. J.; Roth, S.								The structure of suspended graphene sheets								NATURE				446	7131			60	63		10.1038/nature05545			MAR 1 2007	2007										3309							WOS:000244525600036		
J	Balandin, Alexander A.								Thermal properties of graphene and nanostructured carbon materials								NATURE MATERIALS				10	8			569	581		10.1038/NMAT3064			AUG 2011	2011										2768							WOS:000293000000015		
J	Wang, ZL								Zinc oxide nanostructures: growth, properties and applications								JOURNAL OF PHYSICS-CONDENSED MATTER				16	25			R829	R858	PII S0953-8984(04)58969-5	10.1088/0953-8984/16/25/R01			JUN 30 2004	2004										2629							WOS:000222952800003		
J	Talapin, Dmitri V.; Lee, Jong-Soo; Kovalenko, Maksym V.; Shevchenko, Elena V.								Prospects of Colloidal Nanocrystals for Electronic and Optoelectronic Applications								CHEMICAL REVIEWS				110	1			389	458		10.1021/cr900137k			JAN 2010	2010										2546							WOS:000274255700014		
J	Bell, Lon E.								Cooling, heating, generating power, and recovering waste heat with thermoelectric systems								SCIENCE				321	5895			1457	1461		10.1126/science.1158899			SEP 12 2008	2008										2439							WOS:000259121800030		
J	Chu, Steven; Majumdar, Arun								Opportunities and challenges for a sustainable energy future								NATURE				488	7411			294	303		10.1038/nature11475			AUG 16 2012	2012										2417							WOS:000307501000028		
J	Heremans, Joseph P.; Jovovic, Vladimir; Toberer, Eric S.; Saramat, Ali; Kurosaki, Ken; Charoenphakdee, Anek; Yamanaka, Shinsuke; Snyder, G. Jeffrey								Enhancement of thermoelectric efficiency in PbTe by distortion of the electronic density of states								SCIENCE				321	5888			554	557		10.1126/science.1159725			JUL 25 2008	2008										2027							WOS:000257888900045		
J	Kamat, Prashant V.								Quantum Dot Solar Cells. Semiconductor Nanocrystals as Light Harvesters								JOURNAL OF PHYSICAL CHEMISTRY C				112	48			18737	18753		10.1021/jp806791s			DEC 4 2008	2008										1966							WOS:000261218400007		
J	Boukai, Akram I.; Bunimovich, Yuri; Tahir-Kheli, Jamil; Yu, Jen-Kan; Goddard, William A., III; Heath, James R.								Silicon nanowires as efficient thermoelectric materials								NATURE				451	7175			168	171		10.1038/nature06458			JAN 10 2008	2008										1911							WOS:000252214400037		
J	Biswas, Kanishka; He, Jiaqing; Blum, Ivan D.; Wu, Chun-I; Hogan, Timothy P.; Seidman, David N.; Dravid, Vinayak P.; Kanatzidis, Mercouri G.								High-performance bulk thermoelectrics with all-scale hierarchical architectures								NATURE				489	7416			414	418		10.1038/nature11439			SEP 20 2012	2012										1897							WOS:000308860900041		
J	Harman, TC; Taylor, PJ; Walsh, MP; LaForge, BE								Quantum dot superlattice thermoelectric materials and devices								SCIENCE				297	5590			2229	2232		10.1126/science.1072886			SEP 27 2002	2002										1882							WOS:000178222000037		
J	Cahill, DG; Ford, WK; Goodson, KE; Mahan, GD; Majumdar, A; Maris, HJ; Merlin, R; Phillpot, SR								Nanoscale thermal transport								JOURNAL OF APPLIED PHYSICS				93	2			793	818		10.1063/1.1524305			JAN 15 2003	2003										1863							WOS:000180134200001		
J	DiSalvo, FJ								Thermoelectric cooling and power generation								SCIENCE				285	5428			703	706		10.1126/science.285.5428.703			JUL 30 1999	1999										1789							WOS:000081765100045		
