AUTHOR IDENTIFIERS: (J-8178-2012)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Strong coupling of a single photon to a superconducting qubit using circuit quantum electrodynamics","Wallraff, A; Schuster, DI; Blais, A; Frunzio, L; Huang, RS; Majer, J; Kumar, S; Girvin, SM; Schoelkopf, RJ","","","","NATURE","SEP 9 2004","2004","431","7005","","","","162","167","","10.1038/nature02851","","","2297","143.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","61","87","105","148","142","171","155","189","193","189","172","190","208","172","109","0"
"Cavity quantum electrodynamics for superconducting electrical circuits: An architecture for quantum computation","Blais, A; Huang, RS; Wallraff, A; Girvin, SM; Schoelkopf, RJ","","","","PHYSICAL REVIEW A","JUN 2004","2004","69","6","","","","","","062320","10.1103/PhysRevA.69.062320","","","1565","97.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","32","40","60","80","72","97","96","130","129","129","133","158","162","141","98","0"
"Microwave oscillations of a nanomagnet driven by a spin-polarized current","Kiselev, SI; Sankey, JC; Krivorotov, IN; Emley, NC; Schoelkopf, RJ; Buhrman, RA; Ralph, DC","","","","NATURE","SEP 25 2003","2003","425","6956","","","","380","383","","10.1038/nature01967","","","1442","84.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","46","85","86","100","96","103","107","105","96","95","107","107","78","97","80","52","0"
"Charge-insensitive qubit design derived from the Cooper pair box","Koch, Jens; Yu, Terri M.; Gambetta, Jay; Houck, A. A.; Schuster, D. I.; Majer, J.; Blais, Alexandre; Devoret, M. H.; Girvin, S. M.; Schoelkopf, R. J.","","","","PHYSICAL REVIEW A","OCT 2007","2007","76","4","","","","","","042319","10.1103/PhysRevA.76.042319","","","972","74.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","38","31","38","70","86","71","89","126","149","150","106","0"
"Coupling superconducting qubits via a cavity bus","Majer, J.; Chow, J. M.; Gambetta, J. M.; Koch, Jens; Johnson, B. R.; Schreier, J. A.; Frunzio, L.; Schuster, D. I.; Houck, A. A.; Wallraff, A.; Blais, A.; Devoret, M. H.; Girvin, S. M.; Schoelkopf, R. J.","","","","NATURE","SEP 27 2007","2007","449","7161","","","","443","447","","10.1038/nature06184","","","768","59.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","59","80","65","50","87","69","61","53","69","67","58","47","0"
"Introduction to quantum noise, measurement, and amplification","Clerk, A. A.; Devoret, M. H.; Girvin, S. M.; Marquardt, Florian; Schoelkopf, R. J.","","","","REVIEWS OF MODERN PHYSICS","APR 15 2010","2010","82","2","","","","1155","1208","","10.1103/RevModPhys.82.1155","","","628","62.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","35","67","60","62","54","81","93","90","66","1"
"Demonstration of two-qubit algorithms with a superconducting quantum processor","DiCarlo, L.; Chow, J. M.; Gambetta, J. M.; Bishop, Lev S.; Johnson, B. R.; Schuster, D. I.; Majer, J.; Blais, A.; Frunzio, L.; Girvin, S. M.; Schoelkopf, R. J.","","","","NATURE","JUL 9 2009","2009","460","7252","","","","240","244","","10.1038/nature08121","","","591","53.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","72","58","75","62","53","65","45","52","58","34","0"
"The radio-frequency single-electron transistor (RF-SET): A fast and ultrasensitive electrometer","Schoelkopf, RJ; Wahlgren, P; Kozhevnikov, AA; Delsing, P; Prober, DE","","","","SCIENCE","MAY 22 1998","1998","280","5367","","","","1238","1242","","10.1126/science.280.5367.1238","","","573","26.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","18","31","28","35","37","48","43","37","33","30","29","24","17","25","23","19","28","24","18","13","11","0"
"Wiring up quantum systems","Schoelkopf, R. J.; Girvin, S. M.","","","","NATURE","FEB 7 2008","2008","451","7179","","","","664","669","","10.1038/451664a","","","561","46.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","33","45","41","60","85","51","58","60","47","47","28","0"
"Observation of High Coherence in Josephson Junction Qubits Measured in a Three-Dimensional Circuit QED Architecture","Paik, Hanhee; Schuster, D. I.; Bishop, Lev S.; Kirchmair, G.; Catelani, G.; Sears, A. P.; Johnson, B. R.; Reagor, M. J.; Frunzio, L.; Glazman, L. I.; Girvin, S. M.; Devoret, M. H.; Schoelkopf, R. J.","","","","PHYSICAL REVIEW LETTERS","DEC 5 2011","2011","107","24","","","","","","240501","10.1103/PhysRevLett.107.240501","","","541","60.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","85","70","71","95","64","57","39","0"
