AUTHOR IDENTIFIERS: (K-5726-2012)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials","Giannozzi, Paolo; Baroni, Stefano; Bonini, Nicola; Calandra, Matteo; Car, Roberto; Cavazzoni, Carlo; Ceresoli, Davide; Chiarotti, Guido L.; Cococcioni, Matteo; Dabo, Ismaila; Dal Corso, Andrea; de Gironcoli, Stefano; Fabris, Stefano; Fratesi, Guido; Gebauer, Ralph; Gerstmann, Uwe; Gougoussis, Christos; Kokalj, Anton; Lazzeri, Michele; Martin-Samos, Layla; Marzari, Nicola; Mauri, Francesco; Mazzarello, Riccardo; Paolini, Stefano; Pasquarello, Alfredo; Paulatto, Lorenzo; Sbraccia, Carlo; Scandolo, Sandro; Sclauzero, Gabriele; Seitsonen, Ari P.; Smogunov, Alexander; Umari, Paolo; Wentzcovitch, Renata M.","","","","JOURNAL OF PHYSICS-CONDENSED MATTER","SEP 30 2009","2009","21","39","","","","","","395502","10.1088/0953-8984/21/39/395502","","","10466","951.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","339","518","700","838","994","1159","1329","1587","1755","1215","0"
"Raman spectrum of graphene and graphene layers","Ferrari, A. C.; Meyer, J. C.; Scardaci, V.; Casiraghi, C.; Lazzeri, M.; Mauri, F.; Piscanec, S.; Jiang, D.; Novoselov, K. S.; Roth, S.; Geim, A. K.","","","","PHYSICAL REVIEW LETTERS","NOV 3 2006","2006","97","18","","","","","","187401","10.1103/PhysRevLett.97.187401","","","9204","657.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","64","142","224","392","569","760","926","1059","1115","1116","1075","1078","682","1"
"All-electron magnetic response with pseudopotentials: NMR chemical shifts","Pickard, CJ; Mauri, F","","","","PHYSICAL REVIEW B","JUN 15 2001","2001","63","24","","","","","","245101","10.1103/PhysRevB.63.245101","","","985","51.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","9","13","15","18","26","37","55","59","65","79","82","77","80","96","108","91","66","0"
"Breakdown of the adiabatic Born-Oppenheimer approximation in graphene","Pisana, Simone; Lazzeri, Michele; Casiraghi, Cinzia; Novoselov, Kostya S.; Geim, A. K.; Ferrari, Andrea C.; Mauri, Francesco","","","","NATURE MATERIALS","MAR 2007","2007","6","3","","","","198","201","","10.1038/nmat1846","","","899","69.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","51","64","76","89","85","102","94","71","72","61","71","38","0"
"Kohn anomalies and electron-phonon interactions in graphite","Piscanec, S; Lazzeri, M; Mauri, F; Ferrari, AC; Robertson, J","","","","PHYSICAL REVIEW LETTERS","OCT 29 2004","2004","93","18","","","","","","185503","10.1103/PhysRevLett.93.185503","","","591","36.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","20","34","43","45","53","46","45","56","51","43","32","40","40","26","0"
"Calculation of NMR chemical shifts for extended systems using ultrasoft pseudopotentials","Yates, Jonathan R.; Pickard, Chris J.; Mauri, Francesco","","","","PHYSICAL REVIEW B","JUL 2007","2007","76","2","","","","","","024401","10.1103/PhysRevB.76.024401","","","510","39.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","24","36","35","41","46","41","51","59","66","63","38","0"
"Advanced capabilities for materials modelling with QUANTUM ESPRESSO","Giannozzi, P.; Andreussi, O.; Brumme, T.; Bunau, O.; Nardelli, M. Buongiorno; Calandra, M.; Car, R.; Cavazzoni, C.; Ceresoli, D.; Cococcioni, M.; Colonna, N.; Carnimeo, I.; Dal Corso, A.; de Gironcoli, S.; Delugas, P.; DiStasio, R. A., Jr.; Ferretti, A.; Floris, A.; Fratesi, G.; Fugallo, G.; Gebauer, R.; Gerstmann, U.; Giustino, F.; Gorni, T.; Jia, J.; Kawamura, M.; Ko, H-Y; Kokalj, A.; Kucukbenli, E.; Lazzeri, M.; Marsili, M.; Marzari, N.; Mauri, F.; Nguyen, N. L.; Nguyen, H-V; Otero-de-la-Roza, A.; Paulatto, L.; Ponce, S.; Rocca, D.; Sabatini, R.; Santra, B.; Schlipf, M.; Seitsonen, A. P.; Smogunov, A.; Timrov, I.; Thonhauser, T.; Umari, P.; Vast, N.; Wu, X.; Baroni, S.","","","","JOURNAL OF PHYSICS-CONDENSED MATTER","NOV 22 2017","2017","29","46","","","","","","465901","10.1088/1361-648X/aa8f79","","","448","149.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","174","273","0"
"Structure, stability, edge states, and aromaticity of graphene ribbons","Wassmann, Tobias; Seitsonen, Ari P.; Saitta, A. Marco; Lazzeri, Michele; Mauri, Francesco","","","","PHYSICAL REVIEW LETTERS","AUG 29 2008","2008","101","9","","","","","","096402","10.1103/PhysRevLett.101.096402","","","418","34.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","41","45","41","54","54","45","33","31","37","15","0"
"Optical phonons in carbon nanotubes: Kohn anomalies, Peierls distortions, and dynamic effects","Piscanec, Stefano; Lazzeri, Michele; Robertson, J.; Ferrari, Andrea C.; Mauri, Francesco","","","","PHYSICAL REVIEW B","JAN 2007","2007","75","3","","","","","","035427","10.1103/PhysRevB.75.035427","","","363","27.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","52","52","39","36","27","33","26","16","16","23","13","11","0"
"Nonadiabatic Kohn anomaly in a doped graphene monolayer","Lazzeri, Michele; Mauri, Francesco","","","","PHYSICAL REVIEW LETTERS","DEC 31 2006","2006","97","26","","","","","","266407","10.1103/PhysRevLett.97.266407","","","336","24.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","21","19","27","36","27","29","27","26","25","25","38","14","0"
