AUTHOR IDENTIFIERS: (L-2798-2016)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Materials and Mechanics for Stretchable Electronics","Rogers, John A.; Someya, Takao; Huang, Yonggang","","","","SCIENCE","MAR 26 2010","2010","327","5973","","","","1603","1607","","10.1126/science.1182383","","","2264","226.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","73","121","153","255","244","335","369","430","271","0"
"Epidermal Electronics","Kim, Dae-Hyeong; Lu, Nanshu; Ma, Rui; Kim, Yun-Soung; Kim, Rak-Hwan; Wang, Shuodao; Wu, Jian; Won, Sang Min; Tao, Hu; Islam, Ahmad; Yu, Ki Jun; Kim, Tae-il; Chowdhury, Raeed; Ying, Ming; Xu, Lizhi; Li, Ming; Chung, Hyun-Joong; Keum, Hohyun; McCormick, Martin; Liu, Ping; Zhang, Yong-Wei; Omenetto, Fiorenzo G.; Huang, Yonggang; Coleman, Todd; Rogers, John A.","","","","SCIENCE","AUG 12 2011","2011","333","6044","","","","838","843","","10.1126/science.1206157","","","1950","216.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","84","145","192","264","296","306","389","265","0"
"Nanostructured plasmonic sensors","Stewart, Matthew E.; Anderton, Christopher R.; Thompson, Lucas B.; Maria, Joana; Gray, Stephen K.; Rogers, John A.; Nuzzo, Ralph G.","","","","CHEMICAL REVIEWS","FEB 2008","2008","108","2","","","","494","521","","10.1021/cr068126n","","","1688","140.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","82","137","172","171","159","182","195","165","167","133","91","0"
"Unconventional methods for fabricating and patterning nanostructures","Xia, YN; Rogers, JA; Paul, KE; Whitesides, GM","","","","CHEMICAL REVIEWS","JUL 1999","1999","99","7","","","","1823","1848","","10.1021/cr980002q","","","1376","65.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","27","56","88","97","112","116","122","90","83","85","92","71","67","52","57","33","42","32","29","22","0"
"Elastomeric transistor stamps: Reversible probing of charge transport in organic crystals","Sundar, VC; Zaumseil, J; Podzorov, V; Menard, E; Willett, RL; Someya, T; Gershenson, ME; Rogers, JA","","","","SCIENCE","MAR 12 2004","2004","303","5664","","","","1644","1646","","10.1126/science.1094196","","","1287","80.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","53","88","100","100","94","95","94","83","108","103","85","81","73","60","41","0"
"A stretchable form of single-crystal silicon for high-performance electronics on rubber substrates","Khang, DY; Jiang, HQ; Huang, Y; Rogers, JA","","","","SCIENCE","JAN 13 2006","2006","311","5758","","","","208","212","","10.1126/science.1121401","","","1053","75.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","28","35","51","68","67","62","78","103","103","96","133","112","101","0"
"Stretchable and foldable silicon integrated circuits","Kim, Dae-Hyeong; Ahn, Jong-Hyun; Choi, Won Mook; Kim, Hoon-Sik; Kim, Tae-Ho; Song, Jizhou; Huang, Yonggang Y.; Liu, Zhuangjian; Lu, Chun; Rogers, John A.","","","","SCIENCE","APR 25 2008","2008","320","5875","","","","507","511","","10.1126/science.1154367","","","973","81.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","56","67","68","71","82","100","99","109","120","103","83","0"
"Paper-like electronic displays: Large-area rubber-stamped plastic sheets of electronics and microencapsulated electrophoretic inks","Rogers, JA; Bao, Z; Baldwin, K; Dodabalapur, A; Crone, B; Raju, VR; Kuck, V; Katz, H; Amundson, K; Ewing, J; Drzaic, P","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","APR 24 2001","2001","98","9","","","","4835","4840","","10.1073/pnas.091588098","","","902","47.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","20","31","41","63","45","47","58","60","63","46","68","78","65","55","41","41","53","17","0"
"Intrinsic charge transport on the surface of organic semiconductors","Podzorov, V; Menard, E; Borissov, A; Kiryukhin, V; Rogers, JA; Gershenson, ME","","","","PHYSICAL REVIEW LETTERS","AUG 20 2004","2004","93","8","","","","","","086602","10.1103/PhysRevLett.93.086602","","","823","51.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","47","54","56","60","60","52","66","73","76","66","66","50","44","40","0"
"High-performance electronics using dense, perfectly aligned arrays of single-walled carbon nanotubes","Kang, Seong Jun; Kocabas, Coskun; Ozel, Taner; Shim, Moonsub; Pimparkar, Ninad; Alam, Muhammad A.; Rotkin, Slava V.; Rogers, John A.","","","","NATURE NANOTECHNOLOGY","APR 2007","2007","2","4","","","","230","236","","10.1038/nnano.2007.77","","","817","62.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","68","106","108","89","73","79","72","47","47","51","38","20","0"
