IDENTIFICADORES DE AUTOR: (L-5804-2013)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nanowire nanosensors for highly sensitive and selective detection of biological and chemical species","Cui, Y; Wei, QQ; Park, HK; Lieber, CM","","","","SCIENCE","AUG 17 2001","2001","293","5533","","","","1289","1292","","10.1126/science.1062711","","","4660","245.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","53","110","157","231","277","294","362","382","374","368","362","349","323","276","257","196","188","98","0"
"High-performance lithium battery anodes using silicon nanowires","Chan, Candace K.; Peng, Hailin; Liu, Gao; McIlwrath, Kevin; Zhang, Xiao Feng; Huggins, Robert A.; Cui, Yi","","","","NATURE NANOTECHNOLOGY","JAN 2008","2008","3","1","","","","31","35","","10.1038/nnano.2007.411","","","4115","342.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","98","184","322","373","478","517","516","475","434","411","262","0"
"Indium phosphide nanowires as building blocks for nanoscale electronic and optoelectronic devices","Duan, XF; Huang, Y; Cui, Y; Wang, JF; Lieber, CM","","","","NATURE","JAN 4 2001","2001","409","6816","","","","66","69","","10.1038/35051047","","","3014","158.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","80","133","154","212","218","238","258","240","233","188","218","163","156","136","136","108","71","48","0"
"Functional nanoscale electronic devices assembled using silicon nanowire building blocks","Cui, Y; Lieber, CM","","","","SCIENCE","FEB 2 2001","2001","291","5505","","","","851","853","","10.1126/science.291.5505.851","","","2772","145.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","64","103","129","174","218","206","226","234","220","215","191","172","156","113","116","99","76","45","0"
"Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene","Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.","","","","ACS NANO","APR 2013","2013","7","4","","","","2898","2926","","10.1021/nn400280c","","","2282","326.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","228","341","435","520","455","264","0"
"Logic gates and computation from assembled nanowire building blocks","Huang, Y; Duan, XF; Cui, Y; Lauhon, LJ; Kim, KH; Lieber, CM","","","","SCIENCE","NOV 9 2001","2001","294","5545","","","","1313","1317","","10.1126/science.1066192","","","1832","96.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","58","120","120","146","133","171","167","148","153","106","126","105","70","49","62","27","41","29","0"
"Multiplexed electrical detection of cancer markers with nanowire sensor arrays","Zheng, GF; Patolsky, F; Cui, Y; Wang, WU; Lieber, CM","","","","NATURE BIOTECHNOLOGY","OCT 2005","2005","23","10","","","","1294","1301","","10.1038/nbt1138","","","1772","118.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","108","131","150","162","169","174","155","166","128","111","98","110","46","0"
"High performance silicon nanowire field effect transistors","Cui, Y; Zhong, ZH; Wang, DL; Wang, WU; Lieber, CM","","","","NANO LETTERS","FEB 2003","2003","3","2","","","","149","152","","10.1021/nl025875l","","","1690","99.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","28","57","88","131","137","140","139","140","152","134","127","109","102","93","54","46","0"
"Mn3O4-Graphene Hybrid as a High-Capacity Anode Material for Lithium Ion Batteries","Wang, Hailiang; Cui, Li-Feng; Yang, Yuan; Casalongue, Hernan Sanchez; Robinson, Joshua Tucker; Liang, Yongye; Cui, Yi; Dai, Hongjie","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","OCT 13 2010","2010","132","40","","","","13978","13980","","10.1021/ja105296a","","","1496","149.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","174","206","233","230","192","169","116","81","0"
"Highly polarized photoluminescence and photodetection from single indium phosphide nanowires","Wang, JF; Gudiksen, MS; Duan, XF; Cui, Y; Lieber, CM","","","","SCIENCE","AUG 24 2001","2001","293","5534","","","","1455","1457","","10.1126/science.1062340","","","1482","78.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","48","61","91","91","99","114","103","115","103","120","104","79","95","92","61","55","33","0"
"Stable cycling of double-walled silicon nanotube battery anodes through solid-electrolyte interphase control","Wu, Hui; Chan, Gerentt; Choi, Jang Wook; Ryu, Ill; Yao, Yan; McDowell, Matthew T.; Lee, Seok Woo; Jackson, Ariel; Yang, Yuan; Hu, Liangbing; Cui, Yi","","","","NATURE NANOTECHNOLOGY","MAY 2012","2012","7","5","","","","309","314","","10.1038/NNANO.2012.35","","","1422","177.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","144","205","233","240","247","199","129","0"
