PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Geim, A. K.								Graphene: Status and Prospects								SCIENCE				324	5934			1530	1534		10.1126/science.1158877			JUN 19 2009	2009										8076							WOS:000267130600034		
J	Li, Xuesong; Cai, Weiwei; An, Jinho; Kim, Seyoung; Nah, Junghyo; Yang, Dongxing; Piner, Richard; Velamakanni, Aruna; Jung, Inhwa; Tutuc, Emanuel; Banerjee, Sanjay K.; Colombo, Luigi; Ruoff, Rodney S.								Large-Area Synthesis of High-Quality and Uniform Graphene Films on Copper Foils								SCIENCE				324	5932			1312	1314		10.1126/science.1171245			JUN 5 2009	2009										7097							WOS:000266635100041		
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6749							WOS:000310791900008		
J	Zhu, Yanwu; Murali, Shanthi; Cai, Weiwei; Li, Xuesong; Suk, Ji Won; Potts, Jeffrey R.; Ruoff, Rodney S.								Graphene and Graphene Oxide: Synthesis, Properties, and Applications								ADVANCED MATERIALS				22	35			3906	3924		10.1002/adma.201001068			SEP 15 2010	2010										5194							WOS:000282910100001		
J	Lee, Haeshin; Dellatore, Shara M.; Miller, William M.; Messersmith, Phillip B.								Mussel-inspired surface chemistry for multifunctional coatings								SCIENCE				318	5849			426	430		10.1126/science.1147241			OCT 19 2007	2007										4705							WOS:000250230400039		
J	Park, Sungjin; Ruoff, Rodney S.								Chemical methods for the production of graphenes								NATURE NANOTECHNOLOGY				4	4			217	224		10.1038/NNANO.2009.58			APR 2009	2009										4557							WOS:000265457300010		
J	Novoselov, K. S.; Fal'ko, V. I.; Colombo, L.; Gellert, P. R.; Schwab, M. G.; Kim, K.								A roadmap for graphene								NATURE				490	7419			192	200		10.1038/nature11458			OCT 11 2012	2012										4468							WOS:000309733300037		
J	Bonaccorso, F.; Sun, Z.; Hasan, T.; Ferrari, A. C.								Graphene photonics and optoelectronics								NATURE PHOTONICS				4	9			611	622		10.1038/NPHOTON.2010.186			SEP 2010	2010										4372							WOS:000281467900015		
J	Chhowalla, Manish; Shin, Hyeon Suk; Eda, Goki; Li, Lain-Jong; Loh, Kian Ping; Zhang, Hua								The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets								NATURE CHEMISTRY				5	4			263	275		10.1038/NCHEM.1589			APR 2013	2013										4018							WOS:000317182900009		
J	Geim, A. K.; Grigorieva, I. V.								Van der Waals heterostructures								NATURE				499	7459			419	425		10.1038/nature12385			JUL 25 2013	2013										3766							WOS:000322157900029		
J	Allen, Matthew J.; Tung, Vincent C.; Kaner, Richard B.								Honeycomb Carbon: A Review of Graphene								CHEMICAL REVIEWS				110	1			132	145		10.1021/cr900070d			JAN 2010	2010										3758							WOS:000274255700006		
J	Schwierz, Frank								Graphene transistors								NATURE NANOTECHNOLOGY				5	7			487	496		10.1038/NNANO.2010.89			JUL 2010	2010										3196							WOS:000280529800009		
J	Eda, Goki; Fanchini, Giovanni; Chhowalla, Manish								Large-area ultrathin films of reduced graphene oxide as a transparent and flexible electronic material								NATURE NANOTECHNOLOGY				3	5			270	274		10.1038/nnano.2008.83			MAY 2008	2008										3063							WOS:000255756200011		
J	Balandin, Alexander A.								Thermal properties of graphene and nanostructured carbon materials								NATURE MATERIALS				10	8			569	581		10.1038/NMAT3064			AUG 2011	2011										2710							WOS:000293000000015		
