IDENTIFICADORES DE AUTOR: (M-9022-2016)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Quantum phase transition from a superfluid to a Mott insulator in a gas of ultracold atoms","Greiner, M; Mandel, O; Esslinger, T; Hansch, TW; Bloch, I","","","","NATURE","JAN 3 2002","2002","415","6867","","","","39","44","","10.1038/415039a","","","4010","222.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","196","242","291","263","263","292","287","244","282","257","254","214","195","210","179","170","103","0"
"Experimental realization of the topological Haldane model with ultracold fermions","Jotzu, Gregor; Messer, Michael; Desbuquois, Remi; Lebrat, Martin; Uehlinger, Thomas; Greif, Daniel; Esslinger, Tilman","","","","NATURE","NOV 13 2014","2014","515","7526","","","","237","U191","","10.1038/nature13915","","","847","141.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","145","190","167","217","124","0"
"Transition from a strongly interacting 1D superfluid to a Mott insulator","Stoferle, T; Moritz, H; Schori, C; Kohl, M; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","APR 2 2004","2004","92","13","","","","","","130403","10.1103/PhysRevLett.92.130403","","","783","48.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","71","97","70","76","74","57","66","42","34","35","35","40","18","34","7","0"
"Dicke quantum phase transition with a superfluid gas in an optical cavity","Baumann, Kristian; Guerlin, Christine; Brennecke, Ferdinand; Esslinger, Tilman","","","","NATURE","APR 29 2010","2010","464","7293","","","","1301","U1","","10.1038/nature09009","","","704","70.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","49","63","87","70","78","101","94","93","53","0"
"A Mott insulator of fermionic atoms in an optical lattice","Joerdens, Robert; Strohmaier, Niels; Guenther, Kenneth; Moritz, Henning; Esslinger, Tilman","","","","NATURE","SEP 11 2008","2008","455","7210","","","","204","U34","","10.1038/nature07244","","","691","57.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","54","102","84","67","81","59","66","61","47","41","24","0"
"Creating, moving and merging Dirac points with a Fermi gas in a tunable honeycomb lattice","Tarruell, Leticia; Greif, Daniel; Uehlinger, Thomas; Jotzu, Gregor; Esslinger, Tilman","","","","NATURE","MAR 15 2012","2012","483","7389","","","","302","+","","10.1038/nature10871","","","530","66.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","80","79","91","94","56","67","38","0"
"Exploring phase coherence in a 2D lattice of Bose-Einstein condensates","Greiner, M; Bloch, I; Mandel, O; Hansch, TW; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","OCT 15 2001","2001","87","16","","","","","","160405","10.1103/PhysRevLett.87.160405","","","512","26.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","53","61","62","36","38","31","27","30","19","20","19","12","20","18","16","12","9","0"
"Fermionic atoms in a three dimensional optical lattice: Observing Fermi surfaces, dynamics, and interactions","Kohl, M; Moritz, H; Stoferle, T; Gunter, K; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","MAR 4 2005","2005","94","8","","","","","","080403","10.1103/PhysRevLett.94.080403","","","479","31.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","64","45","51","49","44","38","30","27","16","26","30","14","11","11","0"
"Atom laser with a cw output coupler","Bloch, I; Hansch, TW; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","APR 12 1999","1999","82","15","","","","3008","3011","","10.1103/PhysRevLett.82.3008","","","427","20.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","57","46","49","33","23","25","23","20","27","25","15","12","8","11","12","6","6","4","5","2","0"
"Exciting collective oscillations in a trapped 1D gas","Moritz, H; Stoferle, T; Kohl, M; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","DEC 19 2003","2003","91","25","","","","","","250402","10.1103/PhysRevLett.91.250402","","","395","23.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","51","42","34","30","31","16","19","18","15","10","27","25","22","9","10","0"
