PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Bloch, Immanuel; Dalibard, Jean; Zwerger, Wilhelm								Many-body physics with ultracold gases								REVIEWS OF MODERN PHYSICS				80	3			885	964		10.1103/RevModPhys.80.885			JUL-SEP 2008	2008										4573							WOS:000259377800004		
J	Dalfovo, F; Giorgini, S; Pitaevskii, LP; Stringari, S								Theory of Bose-Einstein condensation in trapped gases								REVIEWS OF MODERN PHYSICS				71	3			463	512		10.1103/RevModPhys.71.463			APR 1999	1999										3941							WOS:000080050500001		
J	Chin, Cheng; Grimm, Rudolf; Julienne, Paul; Tiesinga, Eite								Feshbach resonances in ultracold gases								REVIEWS OF MODERN PHYSICS				82	2			1225	1286		10.1103/RevModPhys.82.1225			APR 29 2010	2010										1726							WOS:000278228000001		
J	Schollwock, U								The density-matrix renormalization group								REVIEWS OF MODERN PHYSICS				77	1			259	315		10.1103/RevModPhys.77.259			JAN 2005	2005										1725							WOS:000229544100006		
J	Aspelmeyer, Markus; Kippenberg, Tobias J.; Marquardt, Florian								Cavity optomechanics								REVIEWS OF MODERN PHYSICS				86	4			1391	1452		10.1103/RevModPhys.86.1391			DEC 30 2014	2014										1665							WOS:000347201400001		
J	Lewenstein, Maciej; Sanpera, Anna; Ahufinger, Veronica; Damski, Bogdan; Sen(De), Aditi; Sen, Ujjwal								Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond								ADVANCES IN PHYSICS				56	2			243	379		10.1080/00018730701223200			2007	2007										1335							WOS:000246721000001		
J	Giorgini, Stefano; Pitaevskii, Lev P.; Stringari, Sandro								Theory of ultracold atomic Fermi gases								REVIEWS OF MODERN PHYSICS				80	4			1215	1274		10.1103/RevModPhys.80.1215			OCT-DEC 2008	2008										1270							WOS:000262253500005		
J	Polkovnikov, Anatoli; Sengupta, Krishnendu; Silva, Alessandro; Vengalattore, Mukund								Colloquium: Nonequilibrium dynamics of closed interacting quantum systems								REVIEWS OF MODERN PHYSICS				83	3			863	883		10.1103/RevModPhys.83.863			AUG 15 2011	2011										1267							WOS:000294069000001		
J	Arimondo, E								Coherent population trapping in laser spectroscopy								Progress in Optics				35				257	354		10.1016/S0079-6638(08)70531-6			1996	1996										1266							WOS:A1996BG56F00005		
J	Rigol, Marcos; Dunjko, Vanja; Olshanii, Maxim								Thermalization and its mechanism for generic isolated quantum systems								NATURE				452	7189			854	858		10.1038/nature06838			APR 17 2008	2008										1245							WOS:000255026000044		
