AUTHOR IDENTIFIERS: (N-8863-2015)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Semiconductor clusters, nanocrystals, and quantum dots","Alivisatos, AP","","","","SCIENCE","FEB 16 1996","1996","271","5251","","","","933","937","","10.1126/science.271.5251.933","","","9079","378.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","67","99","132","184","213","265","338","400","473","526","513","616","615","600","608","581","550","539","445","386","402","321","186"
"Semiconductor nanocrystals as fluorescent biological labels","Bruchez, M; Moronne, M; Gin, P; Weiss, S; Alivisatos, AP","","","","SCIENCE","SEP 25 1998","1998","281","5385","","","","2013","2016","","10.1126/science.281.5385.2013","","","6673","303.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","23","74","95","164","197","260","351","373","429","436","458","437","564","551","489","430","374","316","280","238","132"
"Hybrid nanorod-polymer solar cells","Huynh, WU; Dittmer, JJ; Alivisatos, AP","","","","SCIENCE","MAR 29 2002","2002","295","5564","","","","2425","2427","","10.1126/science.1069156","","","4165","231.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","83","155","205","229","247","311","328","350","416","362","338","327","255","195","152","124","67"
"Shape control of CdSe nanocrystals","Peng, XG; Manna, L; Yang, WD; Wickham, J; Scher, E; Kadavanich, A; Alivisatos, AP","","","","NATURE","MAR 2 2000","2000","404","6773","","","","59","61","","","","","3726","186.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","56","103","144","179","204","264","243","267","266","286","262","266","251","207","207","182","154","122","54"
"LIGHT-EMITTING-DIODES MADE FROM CADMIUM SELENIDE NANOCRYSTALS AND A SEMICONDUCTING POLYMER","COLVIN, VL; SCHLAMP, MC; ALIVISATOS, AP","","","","NATURE","AUG 4 1994","1994","370","6488","","","","354","357","","10.1038/370354a0","","","3248","124.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","44","50","49","62","77","89","84","107","115","135","161","182","198","194","191","186","185","184","190","196","156","152","153","92"
"Perspectives on the physical chemistry of semiconductor nanocrystals","Alivisatos, AP","","","","JOURNAL OF PHYSICAL CHEMISTRY","AUG 1 1996","1996","100","31","","","","13226","13239","","10.1021/jp9535506","","","2922","121.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","59","64","76","90","103","106","146","163","169","191","173","199","218","191","164","175","135","123","128","95","94","31"
"Formation of hollow nanocrystals through the nanoscale Kirkendall Effect","Yin, YD; Rioux, RM; Erdonmez, CK; Hughes, S; Somorjai, GA; Alivisatos, AP","","","","SCIENCE","APR 30 2004","2004","304","5671","","","","711","714","","10.1126/science.1096566","","","2499","156.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","46","80","97","142","170","180","210","206","239","240","228","227","192","161","73"
"Colloidal nanocrystal synthesis and the organic-inorganic interface","Yin, Y; Alivisatos, AP","","","","NATURE","SEP 29 2005","2005","437","7059","","","","664","670","","10.1038/nature04165","","","2314","154.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","97","143","187","200","200","215","221","205","202","184","156","177","72"
"Organization of 'nanocrystal molecules' using DNA","Alivisatos, AP; Johnsson, KP; Peng, XG; Wilson, TE; Loweth, CJ; Bruchez, MP; Schultz, PG","","","","NATURE","AUG 15 1996","1996","382","6592","","","","609","611","","10.1038/382609a0","","","2276","94.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","29","47","51","69","85","86","101","110","123","102","123","128","138","129","139","140","135","120","106","112","92","72","37"
"The use of nanocrystals in biological detection","Alivisatos, P","","","","NATURE BIOTECHNOLOGY","JAN 2004","2004","22","1","","","","47","52","","10.1038/nbt927","","","2082","130.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","66","107","126","167","191","168","210","190","189","172","138","128","102","80","31"
