AUTHOR IDENTIFIERS: (O-4959-2016)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"The birth of topological insulators","Moore, Joel E.","","","","NATURE","MAR 11 2010","2010","464","7286","","","","194","198","","10.1038/nature08916","","","1591","159.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","128","181","175","195","207","202","166","171","114","0"
"Topological invariants of time-reversal-invariant band structures","Moore, J. E.; Balents, L.","","","","PHYSICAL REVIEW B","MAR 2007","2007","75","12","","","","","","121306","10.1103/PhysRevB.75.121306","","","1424","109.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","19","55","120","140","175","185","152","138","145","128","98","61","0"
"Magnetoelectric Polarizability and Axion Electrodynamics in Crystalline Insulators","Essin, Andrew M.; Moore, Joel E.; Vanderbilt, David","","","","PHYSICAL REVIEW LETTERS","APR 10 2009","2009","102","14","","","","","","146805","10.1103/PhysRevLett.102.146805","","","437","39.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","33","43","56","45","40","49","63","40","24","34","0"
"Unbounded Growth of Entanglement in Models of Many-Body Localization","Bardarson, Jens H.; Pollmann, Frank; Moore, Joel E.","","","","PHYSICAL REVIEW LETTERS","JUL 3 2012","2012","109","1","","","","","","017202","10.1103/PhysRevLett.109.017202","","","416","52.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","25","50","77","101","94","53","0"
"Stability of the quantum spin Hall effect: Effects of interactions, disorder, and Z(2) topology","Xu, CK; Moore, JE","","","","PHYSICAL REVIEW B","JAN 2006","2006","73","4","","","","","","045322","10.1103/PhysRevB.73.045322","","","392","28.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","17","23","27","42","44","51","41","33","28","31","24","15","0"
"Spin Polarization and Transport of Surface States in the Topological Insulators Bi2Se3 and Bi2Te3 from First Principles","Yazyev, Oleg V.; Moore, Joel E.; Louie, Steven G.","","","","PHYSICAL REVIEW LETTERS","DEC 29 2010","2010","105","26","","","","","","266806","10.1103/PhysRevLett.105.266806","","","315","31.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","42","44","48","42","47","29","27","12","0"
"Three-Dimensional Topological Insulators","Hasan, M. Zahid; Moore, Joel E.","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 2","2011","2011","2","","","","","55","78","","10.1146/annurev-conmatphys-062910-140432","","","297","33.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","40","41","44","41","43","36","23","19","0"
"TOPOLOGICAL INSULATORS The next generation","Moore, Joel","","","","NATURE PHYSICS","JUN 2009","2009","5","6","","","","378","380","","10.1038/nphys1294","","","279","25.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","27","29","39","44","24","22","27","24","27","13","0"
"Thermal conductance of thin silicon nanowires","Chen, Renkun; Hochbaum, Allon I.; Murphy, Padraig; Moore, Joel; Yang, Peidong; Majumdar, Arun","","","","PHYSICAL REVIEW LETTERS","SEP 5 2008","2008","101","10","","","","","","105501","10.1103/PhysRevLett.101.105501","","","268","22.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","28","32","33","23","22","20","35","22","25","9","0"
"Entanglement entropy of random quantum critical points in one dimension","Refael, G; Moore, JE","","","","PHYSICAL REVIEW LETTERS","DEC 31 2004","2004","93","26","","","","","","260602","10.1103/PhysRevLett.93.260602","","","217","13.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","16","22","16","22","16","11","12","10","17","12","16","18","15","10","0"
