AUTHOR IDENTIFIERS: (P-2641-2016)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Quantum dot solar cells","Nozik, AJ","","","","PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES","APR 2002","2002","14","1-2","","","","115","120","PII S1386-9477(02)00374-0","10.1016/S1386-9477(02)00374-0","1st International Workshop on Nanostructures in Photovoltaics","JUL 28-AUG 04, 2001","1677","93.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","11","21","36","61","89","105","139","144","158","175","194","152","125","108","91","61","0"
"Highly efficient multiple exciton generation in colloidal PbSe and PbS quantum dots","Ellingson, RJ; Beard, MC; Johnson, JC; Yu, PR; Micic, OI; Nozik, AJ; Shabaev, A; Efros, AL","","","","NANO LETTERS","MAY 2005","2005","5","5","","","","865","871","","10.1021/nl0502672","","","1261","84.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","45","50","87","99","105","111","114","124","110","102","95","83","74","51","0"
"Peak External Photocurrent Quantum Efficiency Exceeding 100% via MEG in a Quantum Dot Solar Cell","Semonin, Octavi E.; Luther, Joseph M.; Choi, Sukgeun; Chen, Hsiang-Yu; Gao, Jianbo; Nozik, Arthur J.; Beard, Matthew C.","","","","SCIENCE","DEC 16 2011","2011","334","6062","","","","1530","1533","","10.1126/science.1209845","","","1074","119.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","159","161","177","144","134","116","71","0"
"Charge recombination in dye-sensitized nanocrystalline TiO2 solar cells","Huang, SY; Schlichthorl, G; Nozik, AJ; Gratzel, M; Frank, AJ","","","","JOURNAL OF PHYSICAL CHEMISTRY B","APR 3 1997","1997","101","14","","","","2576","2582","","10.1021/jp962377q","","","850","36.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","14","22","24","23","36","36","43","34","35","35","46","61","70","75","65","62","45","39","29","29","15","0"
"PHOTOELECTROCHEMISTRY - APPLICATIONS TO SOLAR-ENERGY CONVERSION","NOZIK, AJ","","","","ANNUAL REVIEW OF PHYSICAL CHEMISTRY","1978","1978","29","","","","","189","222","","10.1146/annurev.pc.29.100178.001201","","","832","19.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","42","36","44","41","38","21","23","20","17","8","16","6","9","9","13","10","12","15","6","6","7","7","10","8","11","9","10","10","22","22","16","18","34","42","34","31","46","35","32","22","0"
"Solar conversion efficiency of photovoltaic and photoelectrolysis cells with carrier multiplication absorbers","Hanna, M. C.; Nozik, A. J.","","","","JOURNAL OF APPLIED PHYSICS","OCT 1 2006","2006","100","7","","","","","","074510","10.1063/1.2356795","","","817","58.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","19","17","31","32","64","92","95","110","93","107","91","58","0"
"Comparing Photosynthetic and Photovoltaic Efficiencies and Recognizing the Potential for Improvement","Blankenship, Robert E.; Tiede, David M.; Barber, James; Brudvig, Gary W.; Fleming, Graham; Ghirardi, Maria; Gunner, M. R.; Junge, Wolfgang; Kramer, David M.; Melis, Anastasios; Moore, Thomas A.; Moser, Christopher C.; Nocera, Daniel G.; Nozik, Arthur J.; Ort, Donald R.; Parson, William W.; Prince, Roger C.; Sayre, Richard T.","","","","SCIENCE","MAY 13 2011","2011","332","6031","","","","805","809","","10.1126/science.1200165","","","762","84.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","88","90","100","105","115","115","81","57","0"
"Schottky Solar Cells Based on Colloidal Nanocrystal Films","Luther, Joseph M.; Law, Matt; Beard, Matthew C.; Song, Qing; Reese, Matthew O.; Ellingson, Randy J.; Nozik, Arthur J.","","","","NANO LETTERS","OCT 2008","2008","8","10","","","","3488","3492","","10.1021/nl802476m","","","722","60.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","73","103","91","96","82","86","58","34","36","23","0"
"Physical chemistry of semiconductor-liquid interfaces","Nozik, AJ; Memming, R","","","","JOURNAL OF PHYSICAL CHEMISTRY","AUG 1 1996","1996","100","31","","","","13061","13078","","10.1021/jp953720e","","","649","27.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","19","19","21","19","15","17","16","24","16","29","32","32","36","38","40","40","40","55","41","35","32","22","0"
"Multiple exciton generation in colloidal silicon nanocrystals","Beard, Matthew C.; Knutsen, Kelly P.; Yu, Pingrong; Luther, Joseph M.; Song, Qing; Metzger, Wyatt K.; Ellingson, Randy J.; Nozik, Arthur J.","","","","NANO LETTERS","AUG 2007","2007","7","8","","","","2506","2512","","10.1021/nl071486l","","","621","47.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","57","54","47","64","84","80","59","48","44","28","16","0"
