PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8565							WOS:000283929800001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6050							WOS:000308825700001		
J	Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface								NATURE PHYSICS				5	6			438	442		10.1038/NPHYS1270			JUN 2009	2009										3327							WOS:000266544800024		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2282							WOS:000318143300005		
J	Chen, Y. L.; Analytis, J. G.; Chu, J. -H.; Liu, Z. K.; Mo, S. -K.; Qi, X. L.; Zhang, H. J.; Lu, D. H.; Dai, X.; Fang, Z.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. -X.								Experimental Realization of a Three-Dimensional Topological Insulator, Bi2Te3								SCIENCE				325	5937			178	181		10.1126/science.1173034			JUL 10 2009	2009										2089							WOS:000267802000040		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1891							WOS:000290730200001		
J	Moore, Joel E.								The birth of topological insulators								NATURE				464	7286			194	198		10.1038/nature08916			MAR 11 2010	2010										1588							WOS:000275366100032		
J	Schnyder, Andreas P.; Ryu, Shinsei; Furusaki, Akira; Ludwig, Andreas W. W.								Classification of topological insulators and superconductors in three spatial dimensions								PHYSICAL REVIEW B				78	19					195125	10.1103/PhysRevB.78.195125			NOV 2008	2008										1583							WOS:000262607800049		
J	Alicea, Jason								New directions in the pursuit of Majorana fermions in solid state systems								REPORTS ON PROGRESS IN PHYSICS				75	7					076501	10.1088/0034-4885/75/7/076501			JUL 2012	2012										1296							WOS:000305907700002		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Lin, Y. -J.; Jimenez-Garcia, K.; Spielman, I. B.								Spin-orbit-coupled Bose-Einstein condensates								NATURE				471	7336			83	U99		10.1038/nature09887			MAR 3 2011	2011										1153							WOS:000287924100038		
J	Rechtsman, Mikael C.; Zeuner, Julia M.; Plotnik, Yonatan; Lumer, Yaakov; Podolsky, Daniel; Dreisow, Felix; Nolte, Stefan; Segev, Mordechai; Szameit, Alexander								Photonic Floquet topological insulators								NATURE				496	7444			196	200		10.1038/nature12066			APR 11 2013	2013										1104							WOS:000317346300036		
J	Burkov, A. A.; Balents, Leon								Weyl Semimetal in a Topological Insulator Multilayer								PHYSICAL REVIEW LETTERS				107	12					127205	10.1103/PhysRevLett.107.127205			SEP 16 2011	2011										1090							WOS:000295003400011		
J	Kitaev, Alexei								Periodic table for topological insulators and superconductors								AIP Conference Proceedings				1134				22	30					2009	2009						Landau Memorial Conference on Advances in Theoretical Physics	JUN 22-26, 2008	Russian Fdn Basic Res; Dynasty Fdn; Russian Acad Sci; RAO UES Russia	Chernogolovka, RUSSIA	1001							WOS:000268615300003		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										940							WOS:000298133800001		
J	Wang, Zheng; Chong, Yidong; Joannopoulos, J. D.; Soljacic, Marin								Observation of unidirectional backscattering-immune topological electromagnetic states								NATURE				461	7265			772	U20		10.1038/nature08293			OCT 8 2009	2009										917							WOS:000270547500031		
J	Yu, Rui; Zhang, Wei; Zhang, Hai-Jun; Zhang, Shou-Cheng; Dai, Xi; Fang, Zhong								Quantized Anomalous Hall Effect in Magnetic Topological Insulators								SCIENCE				329	5987			61	64		10.1126/science.1187485			JUL 2 2010	2010										900							WOS:000279402700031		
J	Ryu, Shinsei; Schnyder, Andreas P.; Furusaki, Akira; Ludwig, Andreas W. W.								Topological insulators and superconductors: tenfold way and dimensional hierarchy								NEW JOURNAL OF PHYSICS				12						065010	10.1088/1367-2630/12/6/065010			JUN 17 2010	2010										879							WOS:000279876800008		
J	Wang, Zhijun; Sun, Yan; Chen, Xing-Qiu; Franchini, Cesare; Xu, Gang; Weng, Hongming; Dai, Xi; Fang, Zhong								Dirac semimetal and topological phase transitions in A(3)Bi (A = Na, K, Rb)								PHYSICAL REVIEW B				85	19					195320	10.1103/PhysRevB.85.195320			MAY 22 2012	2012										863							WOS:000304394800006		
J	Jotzu, Gregor; Messer, Michael; Desbuquois, Remi; Lebrat, Martin; Uehlinger, Thomas; Greif, Daniel; Esslinger, Tilman								Experimental realization of the topological Haldane model with ultracold fermions								NATURE				515	7526			237	U191		10.1038/nature13915			NOV 13 2014	2014										847							WOS:000344631400043		
J	Zhang, Yi; He, Ke; Chang, Cui-Zu; Song, Can-Li; Wang, Li-Li; Chen, Xi; Jia, Jin-Feng; Fang, Zhong; Dai, Xi; Shan, Wen-Yu; Shen, Shun-Qing; Niu, Qian; Qi, Xiao-Liang; Zhang, Shou-Cheng; Ma, Xu-Cun; Xue, Qi-Kun								Crossover of the three-dimensional topological insulator Bi2Se3 to the two-dimensional limit								NATURE PHYSICS				6	8			584	588		10.1038/NPHYS1689			AUG 2010	2010										818							WOS:000280559300013		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								The quantum spin Hall effect and topological insulators								PHYSICS TODAY				63	1			33	38		10.1063/1.3293411			JAN 2010	2010										816							WOS:000273545900013		
J	Evers, Ferdinand; Mirlin, Alexander D.								Anderson transitions								REVIEWS OF MODERN PHYSICS				80	4			1355	1417		10.1103/RevModPhys.80.1355			OCT-DEC 2008	2008										792							WOS:000262253500008		
