# 2019-07-16
Article Group for:  Adamo, C
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Toward reliable density functional methods without adjustable parameters: The PBE0 model","Adamo, C; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","APR 1 1999","1999","110","13","","","","6158","6170","","10.1063/1.478522","","","7760","369.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","18","22","24","40","62","86","136","167","184","245","311","426","581","645","746","768","858","975","946","514"
"Exchange functionals with improved long-range behavior and adiabatic connection methods without adjustable parameters: The mPW and mPW1PW models","Adamo, C; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","JAN 8 1998","1998","108","2","","","","664","675","","10.1063/1.475428","","","2310","105.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","19","47","70","69","88","111","114","149","157","163","159","152","132","152","135","128","131","128","116","63"
"Extensive TD-DFT Benchmark: Singlet-Excited States of Organic Molecules","Jacquemin, Denis; Wathelet, Valerie; Perpete, Eric A.; Adamo, Carlo","","","","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","SEP 2009","2009","5","9","","","","2420","2435","","10.1021/ct900298e","","","626","56.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","45","69","78","81","77","55","70","69","47","32"
"Toward reliable adiabatic connection models free from adjustable parameters","Adamo, C; Barone, V","","","","CHEMICAL PHYSICS LETTERS","AUG 1 1997","1997","274","1-3","","","","242","250","","10.1016/S0009-2614(97)00651-9","","","608","26.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","21","24","27","37","41","41","38","34","31","32","29","22","36","35","21","30","33","24","19","19","8"
"TD-DFT performance for the visible absorption spectra of organic dyes: Conventional versus long-range hybrids","Jacquemin, Denis; Perpete, Eric A.; Scuseria, Gustavo E.; Ciofini, Ilaria; Adamo, Carlo","","","","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","JAN 2008","2008","4","1","","","","123","135","","10.1021/ct700187z","","","568","47.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","46","44","49","51","65","63","56","64","46","48","16"
"The calculations of excited-state properties with Time-Dependent Density Functional Theory","Adamo, Carlo; Jacquemin, Denis","","","","CHEMICAL SOCIETY REVIEWS","2013","2013","42","3","","","","845","856","","10.1039/c2cs35394f","","","533","76.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","63","62","74","94","122","80"
"Accurate excitation energies from time-dependent density functional theory: Assessing the PBE0 model","Adamo, C; Scuseria, GE; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 15 1999","1999","111","7","","","","2889","2899","","10.1063/1.479571","","","505","24.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","11","14","12","19","25","25","39","35","31","31","33","28","23","25","32","31","32","35","12"
"A Qualitative Index of Spatial Extent in Charge-Transfer Excitations","Le Bahers, Tangui; Adamo, Carlo; Ciofini, Ilaria","","","","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","AUG 2011","2011","7","8","","","","2498","2506","","10.1021/ct200308m","","","379","42.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","26","50","49","56","68","76","42"
"Accurate Simulation of Optical Properties in Dyes","Jacquemin, Denis; Perpete, Eric A.; Ciofini, Ilaria; Adamo, Carlo","","","","ACCOUNTS OF CHEMICAL RESEARCH","FEB 2009","2009","42","2","","","","326","334","","10.1021/ar800163d","","","364","33.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","48","50","57","53","35","25","34","17","17","5"
"Photovoltaic effects in BiFeO3","Yang, S. Y.; Martin, L. W.; Byrnes, S. J.; Conry, T. E.; Basu, S. R.; Paran, D.; Reichertz, L.; Ihlefeld, J.; Adamo, C.; Melville, A.; Chu, Y. -H.; Yang, C. -H.; Musfeldt, J. L.; Schlom, D. G.; Ager, J. W., III; Ramesh, R.","","","","APPLIED PHYSICS LETTERS","AUG 10 2009","2009","95","6","","","","","","062909","10.1063/1.3204695","","","344","31.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","23","37","33","45","53","50","39","36","19"
