# 2019-07-16
PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zhao, Yan; Truhlar, Donald G.								The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals								THEORETICAL CHEMISTRY ACCOUNTS				120	1-3			215	241		10.1007/s00214-007-0310-x			MAY 2008	2008						Meeting on Practicing Chemistry with Theoretical Tools	JAN 15-18, 2007		Maui, HI	12560							WOS:000256308800019		
J	Grimme, Stefan								Semiempirical GGA-type density functional constructed with a long-range dispersion correction								JOURNAL OF COMPUTATIONAL CHEMISTRY				27	15			1787	1799		10.1002/jcc.20495			NOV 30 2006	2006										12287							WOS:000241477200003		
J	Grimme, Stefan; Antony, Jens; Ehrlich, Stephan; Krieg, Helge								A consistent and accurate ab initio parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu								JOURNAL OF CHEMICAL PHYSICS				132	15					PMID 20423165	10.1063/1.3382344			APR 21 2010	2010										10771							WOS:000276971500005		
J	Tomasi, J; Mennucci, B; Cammi, R								Quantum mechanical continuum solvation models								CHEMICAL REVIEWS				105	8			2999	3093		10.1021/cr9904009			AUG 2005	2005										8531							WOS:000231188700004		
J	Heyd, J; Scuseria, GE; Ernzerhof, M								Hybrid functionals based on a screened Coulomb potential								JOURNAL OF CHEMICAL PHYSICS				118	18			8207	8215		10.1063/1.1564060			MAY 8 2003	2003										6159							WOS:000182454100010		
J	Scott, AP; Radom, L								Harmonic vibrational frequencies: An evaluation of Hartree-Fock, Moller-Plesset, quadratic configuration interaction, density functional theory, and semiempirical scale factors								JOURNAL OF PHYSICAL CHEMISTRY				100	41			16502	16513		10.1021/jp960976r			OCT 10 1996	1996										6123							WOS:A1996VL57900011		
J	Hagfeldt, Anders; Boschloo, Gerrit; Sun, Licheng; Kloo, Lars; Pettersson, Henrik								Dye-Sensitized Solar Cells								CHEMICAL REVIEWS				110	11			6595	6663		10.1021/cr900356p			NOV 2010	2010										5840							WOS:000284134300006		
J	Marenich, Aleksandr V.; Cramer, Christopher J.; Truhlar, Donald G.								Universal Solvation Model Based on Solute Electron Density and on a Continuum Model of the Solvent Defined by the Bulk Dielectric Constant and Atomic Surface Tensions								JOURNAL OF PHYSICAL CHEMISTRY B				113	18			6378	6396		10.1021/jp810292n			MAY 7 2009	2009										4672							WOS:000265687500026		
J	Cossi, M; Rega, N; Scalmani, G; Barone, V								Energies, structures, and electronic properties of molecules in solution with the C-PCM solvation model								JOURNAL OF COMPUTATIONAL CHEMISTRY				24	6			669	681		10.1002/jcc.10189			APR 30 2003	2003										4516							WOS:000181993100001		
J	Grimme, Stefan; Ehrlich, Stephan; Goerigk, Lars								Effect of the Damping Function in Dispersion Corrected Density Functional Theory								JOURNAL OF COMPUTATIONAL CHEMISTRY				32	7			1456	1465		10.1002/jcc.21759			MAY 2011	2011										4318							WOS:000288871100026		
