# 2019-07-16
Article Group for:  Barone, V
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Toward reliable density functional methods without adjustable parameters: The PBE0 model","Adamo, C; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","APR 1 1999","1999","110","13","","","","6158","6170","","10.1063/1.478522","","","7760","369.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","18","22","24","40","62","86","136","167","184","245","311","426","581","645","746","768","858","975","946","514"
"Quantum calculation of molecular energies and energy gradients in solution by a conductor solvent model","Barone, V; Cossi, M","","","","JOURNAL OF PHYSICAL CHEMISTRY A","MAR 12 1998","1998","102","11","","","","1995","2001","","10.1021/jp9716997","","","5356","243.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","22","26","55","58","79","106","147","157","180","225","244","321","335","383","444","446","494","439","475","469","245"
"Energies, structures, and electronic properties of molecules in solution with the C-PCM solvation model","Cossi, M; Rega, N; Scalmani, G; Barone, V","","","","JOURNAL OF COMPUTATIONAL CHEMISTRY","APR 30 2003","2003","24","6","","","","669","681","","10.1002/jcc.10189","","","4516","265.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","57","93","117","149","182","263","295","356","422","474","480","439","468","448","252"
"Ab initio study of solvated molecules: A new implementation of the polarizable continuum model","Cossi, M; Barone, V; Cammi, R; Tomasi, J","","","","CHEMICAL PHYSICS LETTERS","JUN 14 1996","1996","255","4-6","","","","327","335","","10.1016/0009-2614(96)00349-1","","","2312","96.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","24","26","37","72","66","86","101","98","96","116","119","92","98","155","154","143","138","176","143","136","136","87"
"Exchange functionals with improved long-range behavior and adiabatic connection methods without adjustable parameters: The mPW and mPW1PW models","Adamo, C; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","JAN 8 1998","1998","108","2","","","","664","675","","10.1063/1.475428","","","2310","105.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","19","47","70","69","88","111","114","149","157","163","159","152","132","152","135","128","131","128","116","63"
"A new definition of cavities for the computation of solvation free energies by the polarizable continuum model","Barone, V; Cossi, M; Tomasi, J","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 22 1997","1997","107","8","","","","3210","3221","","10.1063/1.474671","","","1943","84.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","30","35","48","55","75","89","121","121","110","116","135","119","137","114","116","94","101","97","88","76","45"
"New developments in the polarizable continuum model for quantum mechanical and classical calculations on molecules in solution","Cossi, M; Scalmani, G; Rega, N; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","JUL 1 2002","2002","117","1","","","","43","54","","10.1063/1.1480445","","","1874","104.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","38","75","102","137","131","173","160","159","130","146","134","134","103","111","79","44"
"Time-dependent density functional theory for molecules in liquid solutions","Cossi, M; Barone, V","","","","JOURNAL OF CHEMICAL PHYSICS","SEP 8 2001","2001","115","10","","","","4708","4717","","10.1063/1.1394921","","","1431","75.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","24","39","54","71","61","60","74","87","98","113","129","149","128","127","126","77"
"Geometry optimization of molecular structures in solution by the polarizable continuum model","Barone, V; Cossi, M; Tomasi, J","","","","JOURNAL OF COMPUTATIONAL CHEMISTRY","MAR 1998","1998","19","4","","","","404","417","","10.1002/(SICI)1096-987X(199803)19:4<404::AID-JCC3>3.3.CO;2-L","","","1328","60.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","18","17","41","36","51","50","74","50","79","71","75","64","78","79","86","97","99","84","79","52","42"
"Ab initio study of ionic solutions by a polarizable continuum dielectric model","Cossi, M; Barone, V; Mennucci, B; Tomasi, J","","","","CHEMICAL PHYSICS LETTERS","APR 10 1998","1998","286","3-4","","","","253","260","","10.1016/S0009-2614(98)00106-7","","","1219","55.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","10","9","9","33","54","49","74","100","106","115","78","79","81","77","85","76","57","73","43"
