Article Group for:  Bloch, Immanuel
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Many-body physics with ultracold gases","Bloch, Immanuel; Dalibard, Jean; Zwerger, Wilhelm","","","","REVIEWS OF MODERN PHYSICS","JUL-SEP 2008","2008","80","3","","","","885","964","","10.1103/RevModPhys.80.885","","","4523","376.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","246","400","441","455","477","424","444","470","482","433","199"
"Quantum phase transition from a superfluid to a Mott insulator in a gas of ultracold atoms","Greiner, M; Mandel, O; Esslinger, T; Hansch, TW; Bloch, I","","","","NATURE","JAN 3 2002","2002","415","6867","","","","39","44","","10.1038/415039a","","","3989","221.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","196","242","291","263","263","292","287","244","282","257","254","214","195","209","179","169","84"
"Tonks-Girardeau gas of ultracold atoms in an optical lattice","Paredes, B; Widera, A; Murg, V; Mandel, O; Folling, S; Cirac, I; Shlyapnikov, GV; Hansch, TW; Bloch, I","","","","NATURE","MAY 20 2004","2004","429","6989","","","","277","281","","10.1038/nature02530","","","1149","71.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","95","108","94","94","85","97","73","55","60","56","78","81","68","63","20"
"Collapse and revival of the matter wave field of a Bose-Einstein condensate","Greiner, M; Mandel, O; Hansch, TW; Bloch, I","","","","NATURE","SEP 5 2002","2002","419","6902","","","","51","54","","10.1038/nature00968","","","889","49.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","53","64","41","36","50","49","52","50","66","65","67","67","58","45","59","40","25"
"Quantum simulations with ultracold quantum gases","Bloch, Immanuel; Dalibard, Jean; Nascimbene, Sylvain","","","","NATURE PHYSICS","APR 2012","2012","8","4","","","","267","276","","10.1038/NPHYS2259","","","869","108.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","101","126","127","136","137","139","77"
"Ultracold quantum gases in optical lattices","Bloch, I","","","","NATURE PHYSICS","OCT 2005","2005","1","1","","","","23","30","","10.1038/nphys138","","","746","49.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","44","67","46","41","55","45","51","64","57","79","80","67","22"
"Single-atom-resolved fluorescence imaging of an atomic Mott insulator","Sherson, Jacob F.; Weitenberg, Christof; Endres, Manuel; Cheneau, Marc; Bloch, Immanuel; Kuhr, Stefan","","","","NATURE","SEP 2 2010","2010","467","7311","","","","68","U97","","10.1038/nature09378","","","743","74.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","96","94","95","86","98","95","68","64","36"
"Realization of the Hofstadter Hamiltonian with Ultracold Atoms in Optical Lattices","Aidelsburger, M.; Atala, M.; Lohse, M.; Barreiro, J. T.; Paredes, B.; Bloch, I.","","","","PHYSICAL REVIEW LETTERS","OCT 28 2013","2013","111","18","","","","","","185301","10.1103/PhysRevLett.111.185301","","","663","94.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","84","130","141","124","125","53"
"Controlled collisions for multi-particle entanglement of optically trapped atoms","Mandel, O; Greiner, M; Widera, A; Rom, T; Hansch, TW; Bloch, I","","","","NATURE","OCT 30 2003","2003","425","6961","","","","937","940","","10.1038/nature02008","","","575","33.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","47","62","63","55","44","51","39","31","17","27","18","23","31","21","10"
"Metallic and Insulating Phases of Repulsively Interacting Fermions in a 3D Optical Lattice","Schneider, U.; Hackermueller, L.; Will, S.; Best, Th.; Bloch, I.; Costi, T. A.; Helmes, R. W.; Rasch, D.; Rosch, A.","","","","SCIENCE","DEC 5 2008","2008","322","5907","","","","1520","1525","","10.1126/science.1165449","","","532","44.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","51","91","69","60","59","38","52","46","32","21","11"
"Observation of many-body localization of interacting fermions in a quasirandom optical lattice","Schreiber, Michael; Hodgman, Sean S.; Bordia, Pranjal; Lueschen, Henrik P.; Fischer, Mark H.; Vosk, Ronen; Altman, Ehud; Schneider, Ulrich; Bloch, Immanuel","","","","SCIENCE","AUG 21 2015","2015","349","6250","","","","842","845","","10.1126/science.aaa7432","","","511","102.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","91","170","146","84"
