PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Dalfovo, F; Giorgini, S; Pitaevskii, LP; Stringari, S								Theory of Bose-Einstein condensation in trapped gases								REVIEWS OF MODERN PHYSICS				71	3			463	512		10.1103/RevModPhys.71.463			APR 1999	1999										3918							WOS:000080050500001		
J	Schollwock, U								The density-matrix renormalization group								REVIEWS OF MODERN PHYSICS				77	1			259	315		10.1103/RevModPhys.77.259			JAN 2005	2005										1709							WOS:000229544100006		
J	Chin, Cheng; Grimm, Rudolf; Julienne, Paul; Tiesinga, Eite								Feshbach resonances in ultracold gases								REVIEWS OF MODERN PHYSICS				82	2			1225	1286		10.1103/RevModPhys.82.1225			APR 29 2010	2010										1694							WOS:000278228000001		
J	Kasprzak, J.; Richard, M.; Kundermann, S.; Baas, A.; Jeambrun, P.; Keeling, J. M. J.; Marchetti, F. M.; Szymanska, M. H.; Andre, R.; Staehli, J. L.; Savona, V.; Littlewood, P. B.; Deveaud, B.; Dang, Le Si								Bose-Einstein condensation of exciton polaritons								NATURE				443	7110			409	414		10.1038/nature05131			SEP 28 2006	2006										1661							WOS:000240798800036		
J	Miroshnichenko, Andrey E.; Flach, Sergej; Kivshar, Yuri S.								Fano resonances in nanoscale structures								REVIEWS OF MODERN PHYSICS				82	3			2257	2298		10.1103/RevModPhys.82.2257			AUG 11 2010	2010										1438							WOS:000280849200001		
J	Lewenstein, Maciej; Sanpera, Anna; Ahufinger, Veronica; Damski, Bogdan; Sen(De), Aditi; Sen, Ujjwal								Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond								ADVANCES IN PHYSICS				56	2			243	379		10.1080/00018730701223200			2007	2007										1326							WOS:000246721000001		
J	Giorgini, Stefano; Pitaevskii, Lev P.; Stringari, Sandro								Theory of ultracold atomic Fermi gases								REVIEWS OF MODERN PHYSICS				80	4			1215	1274		10.1103/RevModPhys.80.1215			OCT-DEC 2008	2008										1257							WOS:000262253500005		
J	Schollwoeck, Ulrich								The density-matrix renormalization group in the age of matrix product states								ANNALS OF PHYSICS				326	1			96	192		10.1016/j.aop.2010.09.012			JAN 2011	2011										1252							WOS:000286358500004		
J	Polkovnikov, Anatoli; Sengupta, Krishnendu; Silva, Alessandro; Vengalattore, Mukund								Colloquium: Nonequilibrium dynamics of closed interacting quantum systems								REVIEWS OF MODERN PHYSICS				83	3			863	883		10.1103/RevModPhys.83.863			AUG 15 2011	2011										1244							WOS:000294069000001		
J	Rigol, Marcos; Dunjko, Vanja; Olshanii, Maxim								Thermalization and its mechanism for generic isolated quantum systems								NATURE				452	7189			854	858		10.1038/nature06838			APR 17 2008	2008										1223							WOS:000255026000044		
