Article Group for:  Chandrasekhar, S
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Stochastic problems in physics and astronomy","Chandrasekhar, S","","","","REVIEWS OF MODERN PHYSICS","JAN 1943","1943","15","1","","","","0001","0089","","10.1103/RevModPhys.15.1","","","6459","83.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","8","7","14","10","15","23","22","12","17","27","22","47","28","50","41","35","50","49","45","71","53","58","65","67","83","74","72","100","71","96","111","126","125","136","114","121","153","125","135","119","113","121","105","115","114","107","128","117","106","119","103","99","104","113","108","105","128","112","130","118","111","130","142","122","115","142","133","151","98","110","136","131","65"
"Dynamical friction - I. General considerations: The coefficient of dynamical friction","Chandrasekhar, S","","","","ASTROPHYSICAL JOURNAL","MAR 1943","1943","97","2","","","","255","262","","10.1086/144517","","","789","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","2","1","1","1","0","0","0","1","2","2","3","6","3","2","5","2","1","0","2","3","1","1","4","0","0","1","3","3","3","0","3","7","4","5","9","11","6","9","9","8","8","8","3","10","12","9","5","14","11","9","10","13","13","15","18","17","22","28","25","31","30","34","31","33","27","35","36","42","54","41","16"
"PROBLEMS OF GRAVITATIONAL STABILITY IN THE PRESENCE OF A MAGNETIC FIELD","CHANDRASEKHAR, S; FERMI, E","","","","ASTROPHYSICAL JOURNAL","1953","1953","118","1","","","","116","141","","10.1086/145732","","","627","9.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","4","8","4","15","2","6","5","7","2","11","12","9","10","13","8","3","4","9","9","3","3","0","2","5","7","4","6","5","6","7","2","4","4","4","8","10","13","7","8","9","6","13","5","11","5","9","15","8","12","13","14","12","15","11","10","13","17","22","17","28","18","26","25","26","7"
"DYNAMICAL INSTABILITY OF GASEOUS MASSES APPROACHING SCHWARZSCHILD LIMIT IN GENERAL RELATIVITY","CHANDRASEKHAR, S","","","","ASTROPHYSICAL JOURNAL","1964","1964","140","2","","","","417","&","","10.1086/147938","","","492","8.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","12","8","9","14","9","6","11","11","6","11","11","7","3","5","4","3","0","4","6","4","4","3","6","12","7","9","7","5","4","1","5","4","8","8","4","7","10","5","8","3","6","9","1","6","6","8","10","15","23","24","26","30","30","17"
"MAGNETIC FIELDS IN SPIRAL ARMS","CHANDRASEKHAR, S; FERMI, E","","","","ASTROPHYSICAL JOURNAL","1953","1953","118","1","","","","113","115","","10.1086/145731","","","450","6.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","10","1","6","0","7","3","3","2","8","5","11","4","6","1","4","2","0","2","2","1","0","0","0","0","0","1","4","2","1","0","2","1","5","2","4","5","4","0","3","0","1","0","2","2","3","8","6","8","19","16","11","16","10","22","14","19","17","10","24","20","24","18","34","20"
"The maximum mass of ideal white dwarfs","Chandrasekhar, S","","","","ASTROPHYSICAL JOURNAL","JUL 1931","1931","74","1","","","","81","82","","10.1086/143324","","","426","4.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","2","2","0","1","2","0","4","0","0","0","2","0","2","0","2","4","6","1","1","3","1","3","2","2","0","3","4","1","6","1","0","6","0","5","4","8","3","5","11","9","9","11","14","26","23","33","33","34","28","46","47","12"
"THE STABILITY OF NON-DISSIPATIVE COUETTE FLOW IN HYDROMAGNETICS","CHANDRASEKHAR, S","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","1960","1960","46","2","","","","253","257","","10.1073/pnas.46.2.253","","","394","6.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","0","0","1","1","1","0","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","6","4","5","6","10","9","11","9","11","10","8","21","20","29","27","11","22","21","23","17","18","20","24","24","6"
"ON FORCE-FREE MAGNETIC FIELDS","CHANDRASEKHAR, S; KENDALL, PC","","","","ASTROPHYSICAL JOURNAL","1957","1957","126","2","","","","457","460","","10.1086/146413","","","356","5.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","3","0","2","2","3","0","0","1","1","4","0","7","4","0","4","1","2","2","1","5","11","3","3","6","8","3","5","3","9","9","7","5","6","5","6","5","9","4","9","11","7","15","7","11","8","9","10","10","19","12","8","8","10","10","10","12","13","4"
"QUASI-NORMAL MODES OF SCHWARZSCHILD BLACK-HOLE","CHANDRASEKHAR, S; DETWEILER, S","","","","PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL AND PHYSICAL SCIENCES","1975","1975","344","1639","","","","441","452","","10.1098/rspa.1975.0112","","","330","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","5","9","5","0","3","4","2","5","3","4","4","6","3","12","6","3","3","8","3","1","7","5","6","5","10","11","23","11","12","10","12","13","13","8","9","8","9","15","12","27","11"
"Natural product hybrids as new leads for drug discovery","Tietze, LF; Bell, HP; Chandrasekhar, S","","","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","2003","2003","42","34","","","","3996","4028","","10.1002/anie.200200553","","","327","19.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","18","27","16","14","13","23","21","15","17","27","23","24","29","34","14"
