Article Group for:  Delley, B
Timespan=All years. Indexes=SCI-EXPANDED, ESCI, A&HCI, SSCI, CPCI-SSH, CPCI-S.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AN ALL-ELECTRON NUMERICAL-METHOD FOR SOLVING THE LOCAL DENSITY FUNCTIONAL FOR POLYATOMIC-MOLECULES","DELLEY, B","","","","JOURNAL OF CHEMICAL PHYSICS","JAN 1 1990","1990","92","1","","","","508","517","","10.1063/1.458452","","","6576","219.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","22","37","48","68","82","70","75","55","53","58","76","101","107","156","171","213","241","377","341","354","397","451","475","422","475","436","434","497","281"
"From molecules to solids with the DMol(3) approach","Delley, B","","","","JOURNAL OF CHEMICAL PHYSICS","NOV 8 2000","2000","113","18","","","","7756","7764","PII [S0021-9606(00)30342-7]","10.1063/1.1316015","","","5667","283.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","34","49","76","121","182","221","287","328","370","341","399","437","441","478","456","512","580","346"
"Hardness conserving semilocal pseudopotentials","Delley, B","","","","PHYSICAL REVIEW B","OCT 15 2002","2002","66","15","","","","","","155125","10.1103/PhysRevB.66.155125","","","749","41.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","11","13","20","36","35","44","51","44","69","64","63","70","78","91","52"
"Fast calculation of electrostatics in crystals and large molecules","Delley, B","","","","JOURNAL OF PHYSICAL CHEMISTRY","APR 11 1996","1996","100","15","","","","6107","6110","","10.1021/jp952713n","International Conference on Molecular Quantum Mechanics - Methods and Applications, in Memory of Samuel Francis Boys and in Honor of Isaiah Shavitt","SEP 03-07, 1995","647","26.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","1","5","2","9","12","25","15","25","29","47","25","37","32","46","56","52","50","50","55","38","24"
"ANALYTIC ENERGY DERIVATIVES IN THE NUMERICAL LOCAL-DENSITY-FUNCTIONAL APPROACH","DELLEY, B","","","","JOURNAL OF CHEMICAL PHYSICS","JUN 1 1991","1991","94","11","","","","7245","7250","","10.1063/1.460208","","","484","16.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","18","29","34","30","29","16","14","10","19","18","10","22","9","24","12","22","24","17","13","21","15","5","9","7","19","17","8"
"Kondo scattering observed at a single magnetic impurity","Li, JT; Schneider, WD; Berndt, R; Delley, B","","","","PHYSICAL REVIEW LETTERS","MAR 30 1998","1998","80","13","","","","2893","2896","","10.1103/PhysRevLett.80.2893","","","454","20.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","17","32","25","23","24","25","20","17","17","32","29","24","21","21","25","25","23","22","14","3"
"EFFICIENT AND ACCURATE EXPANSION METHODS FOR MOLECULES IN LOCAL DENSITY MODELS","DELLEY, B; ELLIS, DE","","","","JOURNAL OF CHEMICAL PHYSICS","1982","1982","76","4","","","","1949","1960","","10.1063/1.443168","","","447","11.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","20","16","19","26","23","18","19","29","15","15","17","26","23","15","16","10","11","13","13","12","11","5","9","6","2","2","5","3","3","3","3","4","3","9","5","2"
"QUANTUM CONFINEMENT IN SI NANOCRYSTALS","DELLEY, B; STEIGMEIER, EF","","","","PHYSICAL REVIEW B","JAN 15 1993","1993","47","3","","","","1397","1400","","10.1103/PhysRevB.47.1397","","","432","16.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","16","19","25","26","25","21","28","15","28","24","16","13","16","10","10","11","9","20","17","17","15","13","11","11","3","2"
"SPECTROSCOPIC EVIDENCE FOR LOCALIZED AND EXTENDED F-SYMMETRY STATES IN CEO2","WUILLOUD, E; DELLEY, B; SCHNEIDER, WD; BAER, Y","","","","PHYSICAL REVIEW LETTERS","1984","1984","53","2","","","","202","205","","10.1103/PhysRevLett.53.202","","","399","11.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","22","6","21","13","12","13","5","5","7","5","6","8","9","12","5","3","11","6","8","16","15","10","12","8","20","14","12","14","13","14","14","19","12","20","7"
"Role of oxygen vacancies in Cr-doped SrTiO3 for resistance-change memory","Janousch, Markus; Meijer, G. Ingmar; Staub, Urs; Delley, Bernard; Karg, Siegfried F.; Andreasson, Bjorn P.","","","","ADVANCED MATERIALS","SEP 3 2007","2007","19","17","","","","2232","+","","10.1002/adma.200602915","","","388","29.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","20","37","28","44","37","37","40","31","33","32","35","11"
