PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kitagawa, S; Kitaura, R; Noro, S								Functional porous coordination polymers								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				43	18			2334	2375		10.1002/anie.200300610			2004	2004										7994							WOS:000221307200005		
J	te Velde, G; Bickelhaupt, FM; Baerends, EJ; Guerra, CF; Van Gisbergen, SJA; Snijders, JG; Ziegler, T								Chemistry with ADF								JOURNAL OF COMPUTATIONAL CHEMISTRY				22	9			931	967		10.1002/jcc.1056			JUL 15 2001	2001										6106							WOS:000168441600004		
J	Guerra, CF; Snijders, JG; te Velde, G; Baerends, EJ								Towards an order-N DFT method								THEORETICAL CHEMISTRY ACCOUNTS				99	6			391	403		10.1007/s002140050021			OCT 1998	1998										3349							WOS:000077029500007		
J	Waser, RaineR; Aono, Masakazu								Nanoionics-based resistive switching memories								NATURE MATERIALS				6	11			833	840		10.1038/nmat2023			NOV 2007	2007										3213							WOS:000250615400020		
J	JONES, RO; GUNNARSSON, O								THE DENSITY FUNCTIONAL FORMALISM, ITS APPLICATIONS AND PROSPECTS								REVIEWS OF MODERN PHYSICS				61	3			689	746		10.1103/RevModPhys.61.689			JUL 1989	1989										2891							WOS:A1989AE98700007		
J	Waser, Rainer; Dittmann, Regina; Staikov, Georgi; Szot, Kristof								Redox-Based Resistive Switching Memories - Nanoionic Mechanisms, Prospects, and Challenges								ADVANCED MATERIALS				21	25-26			2632	+		10.1002/adma.200900375			JUL 13 2009	2009										2867							WOS:000268309100006		
J	GODBOUT, N; SALAHUB, DR; ANDZELM, J; WIMMER, E								OPTIMIZATION OF GAUSSIAN-TYPE BASIS-SETS FOR LOCAL SPIN-DENSITY FUNCTIONAL CALCULATIONS .1. BORON THROUGH NEON, OPTIMIZATION TECHNIQUE AND VALIDATION								CANADIAN JOURNAL OF CHEMISTRY				70	2			560	571		10.1139/v92-079			FEB 1992	1992										2550							WOS:A1992JD65300041		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2233							WOS:000182718200004		
J	ZIEGLER, T								APPROXIMATE DENSITY FUNCTIONAL THEORY AS A PRACTICAL TOOL IN MOLECULAR ENERGETICS AND DYNAMICS								CHEMICAL REVIEWS				91	5			651	667		10.1021/cr00005a001			JUL-AUG 1991	1991										2210							WOS:A1991GB05900002		
J	Cullis, AG; Canham, LT; Calcott, PDJ								The structural and luminescence properties of porous silicon								JOURNAL OF APPLIED PHYSICS				82	3			909	965		10.1063/1.366536			AUG 1 1997	1997										2203							WOS:A1997XP10600001		
J	VandeVondele, J; Krack, M; Mohamed, F; Parrinello, M; Chassaing, T; Hutter, J								QUICKSTEP: Fast and accurate density functional calculations using a mixed Gaussian and plane waves approach								COMPUTER PHYSICS COMMUNICATIONS				167	2			103	128		10.1016/j.cpc.2004.12.014			APR 15 2005	2005										2132							WOS:000228421500005		
J	Shao, Yihan; Molnar, Laszlo Fusti; Jung, Yousung; Kussmann, Joerg; Ochsenfeld, Christian; Brown, Shawn T.; Gilbert, Andrew T. B.; Slipchenko, Lyudmila V.; Levchenko, Sergey V.; O'Neill, Darragh P.; DiStasio, Robert A., Jr.; Lochan, Rohini C.; Wang, Tao; Beran, Gregory J. O.; Besley, Nicholas A.; Herbert, John M.; Lin, Ching Yeh; Van Voorhis, Troy; Chien, Siu Hung; Sodt, Alex; Steele, Ryan P.; Rassolov, Vitaly A.; Maslen, Paul E.; Korambath, Prakashan P.; Adamson, Ross D.; Austin, Brian; Baker, Jon; Byrd, Edward F. C.; Dachsel, Holger; Doerksen, Robert J.; Dreuw, Andreas; Dunietz, Barry D.; Dutoi, Anthony D.; Furlani, Thomas R.; Gwaltney, Steven R.; Heyden, Andreas; Hirata, So; Hsu, Chao-Ping; Kedziora, Gary; Khalliulin, Rustam Z.; Klunzinger, Phil; Lee, Aaron M.; Lee, Michael S.; Liang, WanZhen; Lotan, Itay; Nair, Nikhil; Peters, Baron; Proynov, Emil I.; Pieniazek, Piotr A.; Rhee, Young Min; Ritchie, Jim; Rosta, Edina; Sherrill, C. David; Simmonett, Andrew C.; Subotnik, Joseph E.; Woodcock, H. Lee, III; Zhang, Weimin; Bell, Alexis T.; Chakraborty, Arup K.; Chipman, Daniel M.; Keil, Frerich J.; Warshel, Arieh; Hehre, Warren J.; Schaefer, Henry F., III; Kong, Jing; Krylov, Anna I.; Gill, Peter M. W.; Head-Gordon, Martin								Advances in methods and algorithms in a modern quantum chemistry program package								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				8	27			3172	3191		10.1039/b517914a			2006	2006										2092							WOS:000239251500002		
J	EICHKORN, K; TREUTLER, O; OHM, H; HASER, M; AHLRICHS, R								AUXILIARY BASIS-SETS TO APPROXIMATE COULOMB POTENTIALS								CHEMICAL PHYSICS LETTERS				240	4			283	289		10.1016/0009-2614(95)00621-A			JUN 30 1995	1995										1930							WOS:A1995RG42300007		
J	Kohn, W; Becke, AD; Parr, RG								Density functional theory of electronic structure								JOURNAL OF PHYSICAL CHEMISTRY				100	31			12974	12980		10.1021/jp960669l			AUG 1 1996	1996										1876							WOS:A1996VA59500020		
J	JOHNSON, BG; GILL, PMW; POPLE, JA								THE PERFORMANCE OF A FAMILY OF DENSITY FUNCTIONAL METHODS								JOURNAL OF CHEMICAL PHYSICS				98	7			5612	5626		10.1063/1.464906			APR 1 1993	1993										1678							WOS:A1993KV99700045		
J	Karlstrom, G; Lindh, R; Malmqvist, PA; Roos, BO; Ryde, U; Veryazov, V; Widmark, PO; Cossi, M; Schimmelpfennig, B; Neogrady, P; Seijo, L								MOLCAS: a program package for computational chemistry								COMPUTATIONAL MATERIALS SCIENCE				28	2			222	239		10.1016/S0927-0256(03)00109-5			OCT 2003	2003						Symposium on Software Development for Process and Materials Disign	SEP 15-16, 2002		MOSCOW, RUSSIA	1448							WOS:000186360000012		
J	Miroshnichenko, Andrey E.; Flach, Sergej; Kivshar, Yuri S.								Fano resonances in nanoscale structures								REVIEWS OF MODERN PHYSICS				82	3			2257	2298		10.1103/RevModPhys.82.2257			AUG 11 2010	2010										1438							WOS:000280849200001		
J	Yang, J. Joshua; Strukov, Dmitri B.; Stewart, Duncan R.								Memristive devices for computing								NATURE NANOTECHNOLOGY				8	1			13	24		10.1038/NNANO.2012.240			JAN 2013	2013										1406							WOS:000312894500006		
J	BECKE, AD								DENSITY FUNCTIONAL CALCULATIONS OF MOLECULAR-BOND ENERGIES								JOURNAL OF CHEMICAL PHYSICS				84	8			4524	4529		10.1063/1.450025			APR 15 1986	1986										1393							WOS:A1986A877800052		
J	Jiao, Yan; Zheng, Yao; Jaroniec, Mietek; Qiao, Shi Zhang								Design of electrocatalysts for oxygen- and hydrogen-involving energy conversion reactions								CHEMICAL SOCIETY REVIEWS				44	8			2060	2086		10.1039/c4cs00470a			2015	2015										1310							WOS:000352899500002		
J	EICHKORN, K; TREUTLER, O; OHM, H; HASER, M; AHLRICHS, R								AUXILIARY BASIS-SETS TO APPROXIMATE COULOMB POTENTIALS (VOL 240, PG 283, 1995)								CHEMICAL PHYSICS LETTERS				242	6			652	660		10.1016/0009-2614(95)00838-U			SEP 1 1995	1995										1306							WOS:A1995RT13600020		
J	MORSE, MD								CLUSTERS OF TRANSITION-METAL ATOMS								CHEMICAL REVIEWS				86	6			1049	1109		10.1021/cr00076a005			DEC 1986	1986										1255							WOS:A1986F459800005		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1220							WOS:000282683200001		
J	Hwang, H. Y.; Iwasa, Y.; Kawasaki, M.; Keimer, B.; Nagaosa, N.; Tokura, Y.								Emergent phenomena at oxide interfaces								NATURE MATERIALS				11	2			103	113		10.1038/NMAT3223			FEB 2012	2012										1211							WOS:000299428700008		
J	ROSE, JH; SMITH, JR; GUINEA, F; FERRANTE, J								UNIVERSAL FEATURES OF THE EQUATION OF STATE OF METALS								PHYSICAL REVIEW B				29	6			2963	2969		10.1103/PhysRevB.29.2963			1984	1984										1198							WOS:A1984SJ11000013		
J	Szot, K; Speier, W; Bihlmayer, G; Waser, R								Switching the electrical resistance of individual dislocations in single-crystalline SrTiO3								NATURE MATERIALS				5	4			312	320		10.1038/nmat1614			APR 2006	2006										1182							WOS:000236530400023		
J	Agrait, N; Yeyati, AL; van Ruitenbeek, JM								Quantum properties of atomic-sized conductors								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				377	2-3			81	279		10.1016/S0370-1573(02)00633-6			APR 2003	2003										1168							WOS:000181829700001		
J	VERSLUIS, L; ZIEGLER, T								THE DETERMINATION OF MOLECULAR-STRUCTURES BY DENSITY FUNCTIONAL THEORY - THE EVALUATION OF ANALYTICAL ENERGY GRADIENTS BY NUMERICAL-INTEGRATION								JOURNAL OF CHEMICAL PHYSICS				88	1			322	328		10.1063/1.454603			JAN 1 1988	1988										1116							WOS:A1988L522000040		
J	Liu, Gang; Niu, Ping; Sun, Chenghua; Smith, Sean C.; Chen, Zhigang; Lu, Gao Qing (Max); Cheng, Hui-Ming								Unique Electronic Structure Induced High Photoreactivity of Sulfur-Doped Graphitic C3N4								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				132	33			11642	11648		10.1021/ja103798k			AUG 25 2010	2010										1111							WOS:000281066400051		
J	Bisi, O; Ossicini, S; Pavesi, L								Porous silicon: a quantum sponge structure for silicon based optoelectronics								SURFACE SCIENCE REPORTS				38	1-3			1	126		10.1016/S0167-5729(99)00012-6			2000	2000										1102							WOS:000086640700001		
J	VandeVondele, Joost; Hutter, Juerg								Gaussian basis sets for accurate calculations on molecular systems in gas and condensed phases								JOURNAL OF CHEMICAL PHYSICS				127	11					114105	10.1063/1.2770708			SEP 21 2007	2007										1077							WOS:000249667400011		
J	Wong, H. -S. Philip; Lee, Heng-Yuan; Yu, Shimeng; Chen, Yu-Sheng; Wu, Yi; Chen, Pang-Shiu; Lee, Byoungil; Chen, Frederick T.; Tsai, Ming-Jinn								Metal-Oxide RRAM								PROCEEDINGS OF THE IEEE				100	6			1951	1970		10.1109/JPROC.2012.2190369			JUN 2012	2012										1068							WOS:000309840600006		
