AUTHOR: (YABLONOVITCH, E)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INHIBITED SPONTANEOUS EMISSION IN SOLID-STATE PHYSICS AND ELECTRONICS","YABLONOVITCH, E","","","","PHYSICAL REVIEW LETTERS","MAY 18 1987","1987","58","20","","","","2059","2062","","10.1103/PhysRevLett.58.2059","","","10748","325.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","9","19","32","41","49","55","53","69","91","110","244","253","319","394","516","628","679","736","673","677","577","571","565","563","516","489","399","413","397","409","191"
"High-impedance electromagnetic surfaces with a forbidden frequency band","Sievenpiper, D; Zhang, LJ; Broas, RFJ; Alexopolous, NG; Yablonovitch, E","","","","IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES","NOV 1999","1999","47","11","","","","2059","2074","","10.1109/22.798001","","","2224","105.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","21","28","52","56","109","80","120","135","146","128","126","161","178","165","173","183","156","131","66"
"PHOTONIC BAND-STRUCTURE - THE FACE-CENTERED-CUBIC CASE EMPLOYING NONSPHERICAL ATOMS","YABLONOVITCH, E; GMITTER, TJ; LEUNG, KM","","","","PHYSICAL REVIEW LETTERS","OCT 21 1991","1991","67","17","","","","2295","2298","","10.1103/PhysRevLett.67.2295","","","1165","40.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","27","34","36","44","37","45","64","53","46","53","55","52","53","58","45","46","36","48","40","39","53","44","29","34","37","28","16"
"PHOTONIC BAND-GAP STRUCTURES","YABLONOVITCH, E","","","","JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS","FEB 1993","1993","10","2","","","","283","295","","10.1364/JOSAB.10.000283","","","1128","41.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","22","19","30","26","41","72","67","68","61","64","54","44","56","56","60","41","49","44","32","37","21","23","49","33","39","17"
"UNUSUALLY LOW SURFACE-RECOMBINATION VELOCITY ON SILICON AND GERMANIUM SURFACES","YABLONOVITCH, E; ALLARA, DL; CHANG, CC; GMITTER, T; BRIGHT, TB","","","","PHYSICAL REVIEW LETTERS","JUL 14 1986","1986","57","2","","","","249","252","","10.1103/PhysRevLett.57.249","","","835","24.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","16","22","32","32","46","38","38","30","35","33","35","34","34","27","17","24","10","19","33","19","29","12","27","25","25","19","14","15","26","22","23","13"
"DONOR AND ACCEPTOR MODES IN PHOTONIC BAND-STRUCTURE","YABLONOVITCH, E; GMITTER, TJ; MEADE, RD; RAPPE, AM; BROMMER, KD; JOANNOPOULOS, JD","","","","PHYSICAL REVIEW LETTERS","DEC 9 1991","1991","67","24","","","","3380","3383","","10.1103/PhysRevLett.67.3380","","","750","25.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","18","23","22","24","24","31","38","34","34","34","32","50","34","49","34","37","24","37","24","24","22","23","14","19","12","17","7"
"STATISTICAL RAY OPTICS","YABLONOVITCH, E","","","","JOURNAL OF THE OPTICAL SOCIETY OF AMERICA","1982","1982","72","7","","","","899","907","","10.1364/JOSA.72.000899","","","720","18.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","0","0","3","2","1","6","1","2","1","2","1","4","5","2","5","3","1","3","8","7","23","16","34","39","75","76","96","82","79","54","40","34"
"Electron-spin-resonance transistors for quantum computing in silicon-germanium heterostructures","Vrijen, R; Yablonovitch, E; Wang, K; Jiang, HW; Balandin, A; Roychowdhury, V; Mor, T; DiVincenzo, D","","","","PHYSICAL REVIEW A","JUL 2000","2000","62","1","","","","art. no.","012306","","10.1103/PhysRevA.62.012306","","","676","33.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","44","50","52","54","79","53","46","40","42","37","34","19","30","18","21","16","20","15","3"
"PHOTONIC BAND-STRUCTURE - THE FACE-CENTERED-CUBIC CASE","YABLONOVITCH, E; GMITTER, TJ","","","","PHYSICAL REVIEW LETTERS","OCT 30 1989","1989","63","18","","","","1950","1953","","10.1103/PhysRevLett.63.1950","","","658","21.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","17","18","27","25","20","30","18","25","46","34","33","18","30","26","24","32","28","29","13","14","17","19","26","19","12","19","13","12","5"
"INTENSITY ENHANCEMENT IN TEXTURED OPTICAL SHEETS FOR SOLAR-CELLS","YABLONOVITCH, E; CODY, GD","","","","IEEE TRANSACTIONS ON ELECTRON DEVICES","1982","1982","29","2","","","","300","305","","10.1109/T-ED.1982.20700","","","596","15.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","6","7","7","5","0","1","8","4","3","10","6","6","7","5","11","9","9","5","7","8","3","5","4","12","11","12","29","38","51","47","59","55","42","42","40","12"
"30-PERCENT EXTERNAL QUANTUM EFFICIENCY FROM SURFACE TEXTURED, THIN-FILM LIGHT-EMITTING-DIODES","SCHNITZER, I; YABLONOVITCH, E; CANEAU, C; GMITTER, TJ; SCHERER, A","","","","APPLIED PHYSICS LETTERS","OCT 18 1993","1993","63","16","","","","2174","2176","","10.1063/1.110575","","","558","20.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","3","4","13","21","20","25","16","23","25","33","39","42","35","33","48","25","41","32","12","20","24","9","7"
"EXTREME SELECTIVITY IN THE LIFT-OFF OF EPITAXIAL GAAS FILMS","YABLONOVITCH, E; GMITTER, T; HARBISON, JP; BHAT, R","","","","APPLIED PHYSICS LETTERS","DEC 28 1987","1987","51","26","","","","2222","2224","","10.1063/1.98946","","","554","16.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","16","22","18","28","20","21","23","20","16","22","19","13","18","18","18","9","12","11","17","10","17","15","28","16","20","13","26","23","22","10"
"Strong interlayer coupling in van der Waals heterostructures built from single-layer chalcogenides","Fang, Hui; Battaglia, Corsin; Carraro, Carlo; Nemsak, Slavomir; Ozdol, Burak; Kang, Jeong Seuk; Bechtel, Hans A.; Desai, Sujay B.; Kronast, Florian; Unal, Ahmet A.; Conti, Giuseppina; Conlon, Catherine; Palsson, Gunnar K.; Martin, Michael C.; Minor, Andrew M.; Fadley, Charles S.; Yablonovitch, Eli; Maboudian, Roya; Javey, Ali","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","APR 29 2014","2014","111","17","","","","6198","6202","","10.1073/pnas.1405435111","","","496","82.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","75","98","116","138","54"
