# 2019-07-16
PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Pendry, JB								Negative refraction makes a perfect lens								PHYSICAL REVIEW LETTERS				85	18			3966	3969		10.1103/PhysRevLett.85.3966			OCT 30 2000	2000										8108							WOS:000090146300056		
J	Wolf, SA; Awschalom, DD; Buhrman, RA; Daughton, JM; von Molnar, S; Roukes, ML; Chtchelkanova, AY; Treger, DM								Spintronics: A spin-based electronics vision for the future								SCIENCE				294	5546			1488	1495		10.1126/science.1065389			NOV 16 2001	2001										8063							WOS:000172240500038		
J	JOHN, S								STRONG LOCALIZATION OF PHOTONS IN CERTAIN DISORDERED DIELECTRIC SUPERLATTICES								PHYSICAL REVIEW LETTERS				58	23			2486	2489		10.1103/PhysRevLett.58.2486			JUN 8 1987	1987										7450							WOS:A1987H622900027		
J	CANHAM, LT								SILICON QUANTUM WIRE ARRAY FABRICATION BY ELECTROCHEMICAL AND CHEMICAL DISSOLUTION OF WAFERS								APPLIED PHYSICS LETTERS				57	10			1046	1048		10.1063/1.103561			SEP 3 1990	1990										7213							WOS:A1990DW57000034		
J	Zutic, I; Fabian, J; Das Sarma, S								Spintronics: Fundamentals and applications								REVIEWS OF MODERN PHYSICS				76	2			323	410		10.1103/RevModPhys.76.323			APR 2004	2004										6844							WOS:000222471500001		
J	Ebbesen, TW; Lezec, HJ; Ghaemi, HF; Thio, T; Wolff, PA								Extraordinary optical transmission through sub-wavelength hole arrays								NATURE				391	6668			667	669		10.1038/35570			FEB 12 1998	1998										5801							WOS:000071982500043		
J	Pendry, JB; Holden, AJ; Robbins, DJ; Stewart, WJ								Magnetism from conductors and enhanced nonlinear phenomena								IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES				47	11			2075	2084		10.1109/22.798002			NOV 1999	1999										5366							WOS:000083406900003		
J	Atwater, Harry A.; Polman, Albert								Plasmonics for improved photovoltaic devices								NATURE MATERIALS				9	3			205	213		10.1038/NMAT2629			MAR 2010	2010										5355							WOS:000274700900014		
J	NAZEERUDDIN, MK; KAY, A; RODICIO, I; HUMPHRYBAKER, R; MULLER, E; LISKA, P; VLACHOPOULOS, N; GRATZEL, M								CONVERSION OF LIGHT TO ELECTRICITY BY CIS-X2BIS(2,2'-BIPYRIDYL-4,4'-DICARBOXYLATE)RUTHENIUM(II) CHARGE-TRANSFER SENSITIZERS (X = CL-, BR-, I-, CN-, AND SCN-) ON NANOCRYSTALLINE TIO2 ELECTRODES								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				115	14			6382	6390		10.1021/ja00067a063			JUL 14 1993	1993										5295							WOS:A1993LT17300063		
J	Vahala, KJ								Optical microcavities								NATURE				424	6950			839	846		10.1038/nature01939			AUG 14 2003	2003										2940							WOS:000184733900053		
J	Adachi, C; Baldo, MA; Thompson, ME; Forrest, SR								Nearly 100% internal phosphorescence efficiency in an organic light-emitting device								JOURNAL OF APPLIED PHYSICS				90	10			5048	5051		10.1063/1.1409582			NOV 15 2001	2001										2466							WOS:000171918700023		
J	Schuller, Jon A.; Barnard, Edward S.; Cai, Wenshan; Jun, Young Chul; White, Justin S.; Brongersma, Mark L.								Plasmonics for extreme light concentration and manipulation								NATURE MATERIALS				9	3			193	204		10.1038/NMAT2630			MAR 2010	2010										2437							WOS:000274700900013		
J	Joannopoulos, JD; Villeneuve, PR; Fan, SH								Photonic crystals: Putting a new twist on light								NATURE				386	6621			143	149		10.1038/386143a0			MAR 13 1997	1997										2299							WOS:A1997WM97300053		
J	Chu, Steven; Majumdar, Arun								Opportunities and challenges for a sustainable energy future								NATURE				488	7411			294	303		10.1038/nature11475			AUG 16 2012	2012										2295							WOS:000307501000028		
J	Cullis, AG; Canham, LT; Calcott, PDJ								The structural and luminescence properties of porous silicon								JOURNAL OF APPLIED PHYSICS				82	3			909	965		10.1063/1.366536			AUG 1 1997	1997										2202							WOS:A1997XP10600001		
J	Knight, JC; Birks, TA; Russell, PS; Atkin, DM								All-silica single-mode optical fiber with photonic crystal cladding								OPTICS LETTERS				21	19			1547	1549		10.1364/OL.21.001547			OCT 1 1996	1996										2156							WOS:A1996VK95000009		
J	Cushing, BL; Kolesnichenko, VL; O'Connor, CJ								Recent advances in the liquid-phase syntheses of inorganic nanoparticles								CHEMICAL REVIEWS				104	9			3893	3946		10.1021/cr030027b			SEP 2004	2004										2038							WOS:000223812900006		
J	HO, KM; CHAN, CT; SOUKOULIS, CM								EXISTENCE OF A PHOTONIC GAP IN PERIODIC DIELECTRIC STRUCTURES								PHYSICAL REVIEW LETTERS				65	25			3152	3155		10.1103/PhysRevLett.65.3152			DEC 17 1990	1990										1934							WOS:A1990EM76100023		
J	Painter, O; Lee, RK; Scherer, A; Yariv, A; O'Brien, JD; Dapkus, PD; Kim, I								Two-dimensional photonic band-gap defect mode laser								SCIENCE				284	5421			1819	1821		10.1126/science.284.5421.1819			JUN 11 1999	1999										1901							WOS:000080809000044		
J	Akahane, Y; Asano, T; Song, BS; Noda, S								High-Q photonic nanocavity in a two-dimensional photonic crystal								NATURE				425	6961			944	947		10.1038/nature02063			OCT 30 2003	2003										1847							WOS:000186230600037		
J	Xia, YN; Gates, B; Yin, YD; Lu, Y								Monodispersed colloidal spheres: Old materials with new applications								ADVANCED MATERIALS				12	10			693	713		10.1002/(SICI)1521-4095(200005)12:10<693::AID-ADMA693>3.3.CO;2-A			MAY 17 2000	2000										1813							WOS:000087146900005		
J	Cumpston, BH; Ananthavel, SP; Barlow, S; Dyer, DL; Ehrlich, JE; Erskine, LL; Heikal, AA; Kuebler, SM; Lee, IYS; McCord-Maughon, D; Qin, JQ; Rockel, H; Rumi, M; Wu, XL; Marder, SR; Perry, JW								Two-photon polymerization initiators for three-dimensional optical data storage and microfabrication								NATURE				398	6722			51	54					MAR 4 1999	1999										1780							WOS:000079033900047		
J	WEISBUCH, C; NISHIOKA, M; ISHIKAWA, A; ARAKAWA, Y								OBSERVATION OF THE COUPLED EXCITON-PHOTON MODE SPLITTING IN A SEMICONDUCTOR QUANTUM MICROCAVITY								PHYSICAL REVIEW LETTERS				69	23			3314	3317		10.1103/PhysRevLett.69.3314			DEC 7 1992	1992										1711							WOS:A1992KB20300012		
